0 425000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_13/K:2+8-35
38225000 39525000 ry^o-o+n=i/A:-1+3+2/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|11_12/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
39525000 39825000 o^o-n+i=s/A:0+4+1/B:03-xx_xx/C:13_xx+xx/D:20+3_2/E:5_5!0_xx-1/F:4_4#0_xx@3_3|11_12/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
39825000 40824999 o^n-i+s=a/A:0+4+1/B:03-xx_xx/C:13_xx+xx/D:20+3_2/E:5_5!0_xx-1/F:4_4#0_xx@3_3|11_12/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
40824999 41224999 n^i-s+a=s/A:-3+1+4/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
41224999 41625000 i^s-a+s=a/A:-3+1+4/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
41625000 42525000 s^a-s+a=g/A:-2+2+3/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
42525000 43025000 a^s-a+g=e/A:-2+2+3/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
43025000 43324999 s^a-g+e=r/A:-1+3+2/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
43324999 45025000 a^g-e+r=u/A:-1+3+2/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
45025000 45325000 g^e-r+u=ts/A:0+4+1/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
45325000 45625000 e^r-u+ts=u/A:0+4+1/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_2|15_8/G:4_4%0_xx_1/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
45625000 46325000 r^u-ts+u=m/A:-3+1+4/B:20-3_2/C:22_xx+xx/D:10+7_2/E:4_4!0_xx-1/F:4_4#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
46325000 46625000 u^ts-u+m=o/A:-3+1+4/B:20-3_2/C:22_xx+xx/D:10+7_2/E:4_4!0_xx-1/F:4_4#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
46625000 47325000 ts^u-m+o=r/A:-2+2+3/B:20-3_2/C:22_xx+xx/D:10+7_2/E:4_4!0_xx-1/F:4_4#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
47325000 47825000 u^m-o+r=i/A:-2+2+3/B:20-3_2/C:22_xx+xx/D:10+7_2/E:4_4!0_xx-1/F:4_4#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
47825000 48724999 m^o-r+i=d/A:-1+3+2/B:20-3_2/C:22_xx+xx/D:10+7_2/E:4_4!0_xx-1/F:4_4#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
48724999 50925000 o^r-i+d=a/A:-1+3+2/B:20-3_2/C:22_xx+xx/D:10+7_2/E:4_4!0_xx-1/F:4_4#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:3_13/I:5-22@2+1&4-5|14+22/J:xx_xx/K:2+8-35
