0 825000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_20/K:1+6-20
8025000 8425000 u^r-a+m=u/A:-1+4+5/B:07-xx_xx/C:03_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
8425000 9125000 r^a-m+u=s/A:0+5+4/B:03-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
9125000 9425000 a^m-u+s=u/A:0+5+4/B:03-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
9425000 11025000 m^u-s+u=m/A:1+6+3/B:03-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
11025000 11325000 u^s-u+m=e/A:1+6+3/B:03-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
11325000 11924999 s^u-m+e=w/A:2+7+2/B:03-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
11924999 12525000 u^m-e+w=a/A:2+7+2/B:03-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
12525000 13625000 m^e-w+a=n/A:3+8+1/B:02-xx_xx/C:24_xx+xx/D:04+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
13625000 15125000 e^w-a+n=a/A:3+8+1/B:02-xx_xx/C:24_xx+xx/D:04+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
15125000 17225000 w^a-n+a=n/A:0+1+2/B:24-xx_xx/C:04_xx+xx/D:20+1_0/E:8_5!0_xx-1/F:2_1#0_xx@3_4|11_10/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
17225000 17725000 a^n-a+n=i/A:0+1+2/B:24-xx_xx/C:04_xx+xx/D:20+1_0/E:8_5!0_xx-1/F:2_1#0_xx@3_4|11_10/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
17725000 18525000 n^a-n+i=k/A:1+2+1/B:24-xx_xx/C:04_xx+xx/D:20+1_0/E:8_5!0_xx-1/F:2_1#0_xx@3_4|11_10/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
18525000 19425000 a^n-i+k=u/A:1+2+1/B:24-xx_xx/C:04_xx+xx/D:20+1_0/E:8_5!0_xx-1/F:2_1#0_xx@3_4|11_10/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
19425000 20325000 n^i-k+u=w/A:-2+1+3/B:04-xx_xx/C:20_1+0/D:10+7_2/E:2_1!0_xx-1/F:3_3#0_xx@4_3|13_8/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
20325000 20625000 i^k-u+w=a/A:-2+1+3/B:04-xx_xx/C:20_1+0/D:10+7_2/E:2_1!0_xx-1/F:3_3#0_xx@4_3|13_8/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
20625000 20924999 k^u-w+a=n/A:-1+2+2/B:04-xx_xx/C:20_1+0/D:10+7_2/E:2_1!0_xx-1/F:3_3#0_xx@4_3|13_8/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
20924999 21525000 u^w-a+n=u/A:-1+2+2/B:04-xx_xx/C:20_1+0/D:10+7_2/E:2_1!0_xx-1/F:3_3#0_xx@4_3|13_8/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
21525000 22125000 w^a-n+u=k/A:0+3+1/B:20-1_0/C:10_7+2/D:02+xx_xx/E:2_1!0_xx-1/F:3_3#0_xx@4_3|13_8/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
22125000 22725000 a^n-u+k=a/A:0+3+1/B:20-1_0/C:10_7+2/D:02+xx_xx/E:2_1!0_xx-1/F:3_3#0_xx@4_3|13_8/G:3_3%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
22725000 23725000 n^u-k+a=o/A:-2+1+3/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_3#0_xx@5_2|16_5/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
23725000 24025000 u^k-a+o=o/A:-2+1+3/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_3#0_xx@5_2|16_5/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
24025000 25525000 k^a-o+o=sh/A:-1+2+2/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_3#0_xx@5_2|16_5/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
25525000 26225000 a^o-o+sh=I/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:20+4_1/E:3_3!0_xx-1/F:3_3#0_xx@5_2|16_5/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
26225000 27425000 o^o-sh+I=t/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:10+7_2/E:3_3!0_xx-1/F:2_2#0_xx@6_1|19_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
27425000 27725000 o^sh-I+t=a/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:10+7_2/E:3_3!0_xx-1/F:2_2#0_xx@6_1|19_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
27725000 28224999 sh^I-t+a=sil/A:0+2+1/B:20-4_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@6_1|19_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
28224999 29425000 I^t-a+sil=xx/A:0+2+1/B:20-4_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@6_1|19_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
29425000 30425000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:6_20/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+6-20
