0 2025000 xx^xx-sil+h=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:5+29-115
16325000 17125000 o^o-j+i=N/A:1+5+4/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
17125000 17425000 o^j-i+N=d/A:1+5+4/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
17425000 17725000 j^i-N+d=e/A:2+6+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
17725000 18825000 i^N-d+e=w/A:3+7+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
18825000 19225000 N^d-e+w=a/A:3+7+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
19225000 19825000 d^e-w+a=n/A:4+8+1/B:13-xx_xx/C:24_xx+xx/D:01+7_2/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
19825000 20825000 e^w-a+n=a/A:4+8+1/B:13-xx_xx/C:24_xx+xx/D:01+7_2/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
20825000 21425000 w^a-n+a=i/A:0+1+2/B:24-xx_xx/C:01_7+2/D:02+xx_xx/E:8_4!0_xx-1/F:2_1#0_xx@2_9|9_35/G:5_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
21425000 22025000 a^n-a+i=h/A:0+1+2/B:24-xx_xx/C:01_7+2/D:02+xx_xx/E:8_4!0_xx-1/F:2_1#0_xx@2_9|9_35/G:5_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
22025000 22325000 n^a-i+h=I/A:1+2+1/B:24-xx_xx/C:01_7+2/D:02+xx_xx/E:8_4!0_xx-1/F:2_1#0_xx@2_9|9_35/G:5_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
22325000 23025000 a^i-h+I=t/A:-1+1+5/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
23025000 23325000 i^h-I+t=o/A:-1+1+5/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
23325000 24125000 h^I-t+o=b/A:0+2+4/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
24125000 24625000 I^t-o+b=i/A:0+2+4/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
24625000 25325000 t^o-b+i=t/A:1+3+3/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
25325000 26125000 o^b-i+t=o/A:1+3+3/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
26125000 26625000 b^i-t+o=g/A:2+4+2/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
26625000 28525000 i^t-o+g=a/A:2+4+2/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
28525000 30525000 t^o-g+a=j/A:3+5+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
30525000 30825000 o^g-a+j=i/A:3+5+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_1!0_xx-1/F:5_2#0_xx@3_8|11_33/G:5_3%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
30825000 31725000 g^a-j+i=b/A:-2+1+5/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
31725000 32025000 a^j-i+b=u/A:-2+1+5/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
32025000 32925000 j^i-b+u=N/A:-1+2+4/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
32925000 33525000 i^b-u+N=t/A:-1+2+4/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
33525000 33925000 b^u-N+t=a/A:0+3+3/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
33925000 35025000 u^N-t+a=ch/A:1+4+2/B:02-xx_xx/C:15_xx+xx/D:19+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
35025000 35325000 N^t-a+ch=i/A:1+4+2/B:02-xx_xx/C:15_xx+xx/D:19+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
35325000 36125000 t^a-ch+i=d/A:2+5+1/B:02-xx_xx/C:15_xx+xx/D:19+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
36125000 36825000 a^ch-i+d=o/A:2+5+1/B:02-xx_xx/C:15_xx+xx/D:19+xx_xx/E:5_2!0_xx-1/F:5_3#0_xx@4_7|16_28/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
36825000 37325000 ch^i-d+o=k/A:0+1+4/B:15-xx_xx/C:19_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
37325000 37825000 i^d-o+k=u/A:0+1+4/B:15-xx_xx/C:19_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
37825000 38725000 d^o-k+u=j/A:1+2+3/B:15-xx_xx/C:19_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
38725000 39025000 o^k-u+j=i/A:1+2+3/B:15-xx_xx/C:19_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
39025000 39625000 k^u-j+i=n/A:2+3+2/B:15-xx_xx/C:19_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
39625000 40325000 u^j-i+n=o/A:2+3+2/B:15-xx_xx/C:19_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
40325000 40824999 j^i-n+o=b/A:3+4+1/B:19-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
40824999 41224999 i^n-o+b=u/A:3+4+1/B:19-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_3!0_xx-1/F:4_1#0_xx@5_6|21_23/G:4_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
41224999 42325000 n^o-b+u=N/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@6_5|25_19/G:4_4%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
42325000 43025000 o^b-u+N=k/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@6_5|25_19/G:4_4%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
43025000 43425000 b^u-N+k=a/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@6_5|25_19/G:4_4%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
43425000 44225000 u^N-k+a=n/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@6_5|25_19/G:4_4%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
44225000 44525000 N^k-a+n=i/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@6_5|25_19/G:4_4%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
44525000 45625000 k^a-n+i=h/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@6_5|25_19/G:4_4%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
45625000 46325000 a^n-i+h=o/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@6_5|25_19/G:4_4%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
46325000 46925000 n^i-h+o=k/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@7_4|29_15/G:6_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
46925000 47325000 i^h-o+k=o/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@7_4|29_15/G:6_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
47325000 47925000 h^o-k+o=r/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@7_4|29_15/G:6_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
47925000 48425000 o^k-o+r=i/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@7_4|29_15/G:6_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
48425000 49325000 k^o-r+i=o/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@7_4|29_15/G:6_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
49325000 50325000 o^r-i+o=m/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@7_4|29_15/G:6_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
50325000 51125000 r^i-o+m=o/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@7_4|29_15/G:6_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
51125000 51725000 i^o-m+o=ch/A:-1+1+6/B:13-xx_xx/C:20_1+1/D:17+3_1/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
51725000 52025000 o^m-o+ch=i/A:-1+1+6/B:13-xx_xx/C:20_1+1/D:17+3_1/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
52025000 53225000 m^o-ch+i=h/A:0+2+5/B:13-xx_xx/C:20_1+1/D:17+3_1/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
53225000 53724999 o^ch-i+h=a/A:0+2+5/B:13-xx_xx/C:20_1+1/D:17+3_1/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
53724999 54425000 ch^i-h+a=j/A:1+3+4/B:20-1_1/C:17_3+1/D:12+xx_xx/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
54425000 54725000 i^h-a+j=i/A:1+3+4/B:20-1_1/C:17_3+1/D:12+xx_xx/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
54725000 55325000 h^a-j+i=m/A:2+4+3/B:20-1_1/C:17_3+1/D:12+xx_xx/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
55325000 56125000 a^j-i+m=e/A:2+4+3/B:20-1_1/C:17_3+1/D:12+xx_xx/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
56125000 56525000 j^i-m+e=t/A:3+5+2/B:20-1_1/C:17_3+1/D:12+xx_xx/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
56525000 57525000 i^m-e+t=e/A:3+5+2/B:20-1_1/C:17_3+1/D:12+xx_xx/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
57525000 57825000 m^e-t+e=k/A:4+6+1/B:17-3_1/C:12_xx+xx/D:17+5_1/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
57825000 58625000 e^t-e+k=i/A:4+6+1/B:17-3_1/C:12_xx+xx/D:17+5_1/E:4_4!0_xx-1/F:6_2#0_xx@8_3|33_11/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
58625000 59225000 t^e-k+i=t/A:0+1+2/B:12-xx_xx/C:17_5+1/D:10+7_2/E:6_2!0_xx-1/F:2_1#0_xx@9_2|39_5/G:3_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
59225000 60125000 e^k-i+t=a/A:0+1+2/B:12-xx_xx/C:17_5+1/D:10+7_2/E:6_2!0_xx-1/F:2_1#0_xx@9_2|39_5/G:3_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
60125000 60525000 k^i-t+a=t/A:1+2+1/B:17-5_1/C:10_7+2/D:22+xx_xx/E:6_2!0_xx-1/F:2_1#0_xx@9_2|39_5/G:3_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
60525000 61224999 i^t-a+t=a/A:1+2+1/B:17-5_1/C:10_7+2/D:22+xx_xx/E:6_2!0_xx-1/F:2_1#0_xx@9_2|39_5/G:3_2%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
61224999 61925000 t^a-t+a=m/A:-1+1+3/B:10-7_2/C:22_xx+xx/D:23+xx_xx/E:2_1!0_xx-1/F:3_2#0_xx@10_1|41_3/G:2_2%0_xx_0/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
61925000 62425000 a^t-a+m=e/A:-1+1+3/B:10-7_2/C:22_xx+xx/D:23+xx_xx/E:2_1!0_xx-1/F:3_2#0_xx@10_1|41_3/G:2_2%0_xx_0/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
62425000 63324999 t^a-m+e=t/A:0+2+2/B:10-7_2/C:22_xx+xx/D:23+xx_xx/E:2_1!0_xx-1/F:3_2#0_xx@10_1|41_3/G:2_2%0_xx_0/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
63324999 64525000 a^m-e+t=o/A:0+2+2/B:10-7_2/C:22_xx+xx/D:23+xx_xx/E:2_1!0_xx-1/F:3_2#0_xx@10_1|41_3/G:2_2%0_xx_0/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
64525000 67725000 m^e-t+o=pau/A:1+3+1/B:22-xx_xx/C:23_xx+xx/D:08+xx_xx/E:2_1!0_xx-1/F:3_2#0_xx@10_1|41_3/G:2_2%0_xx_0/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
67725000 68225000 e^t-o+pau=m/A:1+3+1/B:22-xx_xx/C:23_xx+xx/D:08+xx_xx/E:2_1!0_xx-1/F:3_2#0_xx@10_1|41_3/G:2_2%0_xx_0/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
68225000 68825000 t^o-pau+m=a/A:xx+xx+xx/B:23-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:10_43/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_7/K:5+29-115
68825000 69525000 o^pau-m+a=t/A:-1+1+2/B:23-xx_xx/C:08_xx+xx/D:02+xx_xx/E:3_2!0_xx-0/F:2_2#0_xx@1_2|1_7/G:5_2%0_xx_1/H:10_43/I:2-7@3+3&12-18|49+67/J:12_49/K:5+29-115
69525000 69925000 pau^m-a+t=a/A:-1+1+2/B:23-xx_xx/C:08_xx+xx/D:02+xx_xx/E:3_2!0_xx-0/F:2_2#0_xx@1_2|1_7/G:5_2%0_xx_1/H:10_43/I:2-7@3+3&12-18|49+67/J:12_49/K:5+29-115
69925000 70625000 m^a-t+a=h/A:0+2+1/B:23-xx_xx/C:08_xx+xx/D:02+xx_xx/E:3_2!0_xx-0/F:2_2#0_xx@1_2|1_7/G:5_2%0_xx_1/H:10_43/I:2-7@3+3&12-18|49+67/J:12_49/K:5+29-115
70625000 70925000 a^t-a+h=I/A:0+2+1/B:23-xx_xx/C:08_xx+xx/D:02+xx_xx/E:3_2!0_xx-0/F:2_2#0_xx@1_2|1_7/G:5_2%0_xx_1/H:10_43/I:2-7@3+3&12-18|49+67/J:12_49/K:5+29-115
70925000 71725000 t^a-h+I=t/A:-1+1+5/B:08-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_2#0_xx@2_1|3_5/G:4_1%0_xx_0/H:10_43/I:2-7@3+3&12-18|49+67/J:12_49/K:5+29-115
71725000 72325000 a^h-I+t=o/A:-1+1+5/B:08-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_2#0_xx@2_1|3_5/G:4_1%0_xx_0/H:10_43/I:2-7@3+3&12-18|49+67/J:12_49/K:5+29-115
