0 525000 xx^xx-sil+k=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_15/K:2+8-33
14424999 14725000 N^sh-I+t=a/A:-1+1+3/B:03-xx_xx/C:20_4+1/D:10+7_2/E:4_4!0_xx-1/F:3_2#0_xx@4_1|13_3/G:7_3%0_xx_0/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
14725000 15025000 sh^I-t+a=g/A:0+2+2/B:20-4_1/C:10_7+2/D:12+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_1|13_3/G:7_3%0_xx_0/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
15025000 15725000 I^t-a+g=a/A:0+2+2/B:20-4_1/C:10_7+2/D:12+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_1|13_3/G:7_3%0_xx_0/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
15725000 16425000 t^a-g+a=pau/A:1+3+1/B:10-7_2/C:12_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_1|13_3/G:7_3%0_xx_0/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
16425000 18125000 a^g-a+pau=k/A:1+3+1/B:10-7_2/C:12_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_1|13_3/G:7_3%0_xx_0/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
18125000 21425000 g^a-pau+k=e/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_3%0_xx_xx/H:4_15/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_18/K:2+8-33
21425000 22325000 a^pau-k+e=cl/A:-2+1+7/B:12-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
22325000 23025000 pau^k-e+cl=k/A:-2+1+7/B:12-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
23025000 23325000 k^e-cl+k=a/A:-1+2+6/B:12-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
23325000 24425000 e^cl-k+a=t/A:0+3+5/B:12-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
24425000 24925000 cl^k-a+t=e/A:0+3+5/B:12-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
24925000 25525000 k^a-t+e=k/A:1+4+4/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
25525000 26225000 a^t-e+k=i/A:1+4+4/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
26225000 26725000 t^e-k+i=n/A:2+5+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
26725000 27125000 e^k-i+n=i/A:2+5+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
27125000 27525000 k^i-n+i=w/A:3+6+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
27525000 27925000 i^n-i+w=a/A:3+6+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
27925000 28424999 n^i-w+a=t/A:4+7+1/B:13-xx_xx/C:24_xx+xx/D:07+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
28424999 29525000 i^w-a+t=a/A:4+7+1/B:13-xx_xx/C:24_xx+xx/D:07+xx_xx/E:3_2!0_xx-0/F:7_3#0_xx@1_4|1_18/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
29525000 30425000 w^a-t+a=i/A:0+1+4/B:24-xx_xx/C:07_xx+xx/D:22+xx_xx/E:7_3!0_xx-1/F:4_1#0_xx@2_3|8_11/G:3_2%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
30425000 31325000 a^t-a+i=sh/A:0+1+4/B:24-xx_xx/C:07_xx+xx/D:22+xx_xx/E:7_3!0_xx-1/F:4_1#0_xx@2_3|8_11/G:3_2%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
31325000 31925000 t^a-i+sh=I/A:1+2+3/B:24-xx_xx/C:07_xx+xx/D:22+xx_xx/E:7_3!0_xx-1/F:4_1#0_xx@2_3|8_11/G:3_2%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
31925000 32525000 a^i-sh+I=t/A:2+3+2/B:24-xx_xx/C:07_xx+xx/D:22+xx_xx/E:7_3!0_xx-1/F:4_1#0_xx@2_3|8_11/G:3_2%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
32525000 32825000 i^sh-I+t=a/A:2+3+2/B:24-xx_xx/C:07_xx+xx/D:22+xx_xx/E:7_3!0_xx-1/F:4_1#0_xx@2_3|8_11/G:3_2%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
32825000 33325000 sh^I-t+a=k/A:3+4+1/B:24-xx_xx/C:07_xx+xx/D:22+xx_xx/E:7_3!0_xx-1/F:4_1#0_xx@2_3|8_11/G:3_2%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
33325000 33825000 I^t-a+k=o/A:3+4+1/B:24-xx_xx/C:07_xx+xx/D:22+xx_xx/E:7_3!0_xx-1/F:4_1#0_xx@2_3|8_11/G:3_2%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
33825000 34525000 t^a-k+o=t/A:-1+1+3/B:07-xx_xx/C:22_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_2|12_7/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
34525000 35125000 a^k-o+t=o/A:-1+1+3/B:07-xx_xx/C:22_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_2|12_7/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
35125000 35825000 k^o-t+o=w/A:0+2+2/B:07-xx_xx/C:22_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_2|12_7/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
35825000 36125000 o^t-o+w=a/A:0+2+2/B:07-xx_xx/C:22_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_2|12_7/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
36125000 36825000 t^o-w+a=n/A:1+3+1/B:22-xx_xx/C:24_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_2#0_xx@3_2|12_7/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
36825000 37425000 o^w-a+n=a/A:1+3+1/B:22-xx_xx/C:24_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_2#0_xx@3_2|12_7/G:4_1%0_xx_1/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
37425000 38125000 w^a-n+a=k/A:0+1+4/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@4_1|15_4/G:xx_xx%xx_xx_xx/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
38125000 38925000 a^n-a+k=a/A:0+1+4/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@4_1|15_4/G:xx_xx%xx_xx_xx/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
38925000 39925000 n^a-k+a=cl/A:1+2+3/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@4_1|15_4/G:xx_xx%xx_xx_xx/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
39925000 40425000 a^k-a+cl=t/A:1+2+3/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@4_1|15_4/G:xx_xx%xx_xx_xx/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
40425000 41625000 k^a-cl+t=a/A:2+3+2/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@4_1|15_4/G:xx_xx%xx_xx_xx/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
41625000 42125000 a^cl-t+a=sil/A:3+4+1/B:01-7_1/C:10_7+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@4_1|15_4/G:xx_xx%xx_xx_xx/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
42125000 43025000 cl^t-a+sil=xx/A:3+4+1/B:01-7_1/C:10_7+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@4_1|15_4/G:xx_xx%xx_xx_xx/H:4_15/I:4-18@2+1&5-4|16+18/J:xx_xx/K:2+8-33
43025000 44925000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:4_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:4_18/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:2+8-33
