0 1125000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_9/K:4+5-26
18625000 19725000 N^d-o+pau=o/A:0+4+1/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:4_4#0_xx@1_1|1_4/G:2_2%0_xx_0/H:2_9/I:1-4@2+3&3-3|10+17/J:1_2/K:4+5-26
19725000 20325000 d^o-pau+o=b/A:xx+xx+xx/B:02-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:4_4!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:1_4/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_2/K:4+5-26
20325000 20924999 o^pau-o+b=u/A:-1+1+2/B:02-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:2_2#0_xx@1_1|1_2/G:11_10%0_xx_0/H:1_4/I:1-2@3+2&4-2|14+13/J:1_11/K:4+5-26
20924999 22225000 pau^o-b+u=pau/A:0+2+1/B:02-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:2_2#0_xx@1_1|1_2/G:11_10%0_xx_0/H:1_4/I:1-2@3+2&4-2|14+13/J:1_11/K:4+5-26
22225000 23025000 o^b-u+pau=my/A:0+2+1/B:02-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:2_2#0_xx@1_1|1_2/G:11_10%0_xx_0/H:1_4/I:1-2@3+2&4-2|14+13/J:1_11/K:4+5-26
23025000 23925000 b^u-pau+my=u/A:xx+xx+xx/B:02-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:11_10%0_xx_xx/H:1_2/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_11/K:4+5-26
23925000 24725000 u^pau-my+u=u/A:-9+1+11/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
24725000 25025000 pau^my-u+u=j/A:-9+1+11/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
25025000 25525000 my^u-u+j=i/A:-8+2+10/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
25525000 25825000 u^u-j+i=cl/A:-7+3+9/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
25825000 26225000 u^j-i+cl=k/A:-7+3+9/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
26225000 27125000 j^i-cl+k=u/A:-6+4+8/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
27125000 27425000 i^cl-k+u=d/A:-5+5+7/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
27425000 27925000 cl^k-u+d=e/A:-5+5+7/B:02-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
27925000 28725000 k^u-d+e=g/A:-4+6+6/B:02-xx_xx/C:10_7+1/D:10+1_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
28725000 29425000 u^d-e+g=o/A:-4+6+6/B:02-xx_xx/C:10_7+1/D:10+1_1/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
29425000 29725000 d^e-g+o=z/A:-3+7+5/B:10-7_1/C:10_1+1/D:10+7_2/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
29725000 30525000 e^g-o+z=a/A:-3+7+5/B:10-7_1/C:10_1+1/D:10+7_2/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
30525000 31225000 g^o-z+a=i/A:-2+8+4/B:10-7_1/C:10_1+1/D:10+7_2/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
31225000 32925000 o^z-a+i=m/A:-2+8+4/B:10-7_1/C:10_1+1/D:10+7_2/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
32925000 33224999 z^a-i+m=a/A:-1+9+3/B:10-7_1/C:10_1+1/D:10+7_2/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
33224999 35725000 a^i-m+a=s/A:0+10+2/B:10-1_1/C:10_7+2/D:xx+xx_xx/E:2_2!0_xx-0/F:11_10#0_xx@1_1|1_11/G:xx_xx%xx_xx_xx/H:1_2/I:1-11@4+1&5-1|16+11/J:xx_xx/K:4+5-26
