0 3225000 xx^xx-sil+a=n/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:2+8-33
16525000 16925000 i^k-a+k=e/A:-1+3+3/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
16925000 17525000 k^a-k+e=t/A:0+4+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
17525000 18525000 a^k-e+t=e/A:0+4+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
18525000 18925000 k^e-t+e=i/A:1+5+1/B:20-3_1/C:12_xx+xx/D:17+3_2/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
18925000 19925000 e^t-e+i=r/A:1+5+1/B:20-3_1/C:12_xx+xx/D:17+3_2/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
19925000 20325000 t^e-i+r=u/A:-1+1+3/B:12-xx_xx/C:17_3+2/D:23+xx_xx/E:5_4!0_xx-1/F:3_2#0_xx@4_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
20325000 20625000 e^i-r+u=k/A:0+2+2/B:12-xx_xx/C:17_3+2/D:23+xx_xx/E:5_4!0_xx-1/F:3_2#0_xx@4_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
20625000 21025000 i^r-u+k=a/A:0+2+2/B:12-xx_xx/C:17_3+2/D:23+xx_xx/E:5_4!0_xx-1/F:3_2#0_xx@4_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
21025000 22025000 r^u-k+a=pau/A:1+3+1/B:17-3_2/C:23_xx+xx/D:06+xx_xx/E:5_4!0_xx-1/F:3_2#0_xx@4_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
22025000 23725000 u^k-a+pau=m/A:1+3+1/B:17-3_2/C:23_xx+xx/D:06+xx_xx/E:5_4!0_xx-1/F:3_2#0_xx@4_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
23725000 26125000 k^a-pau+m=o/A:xx+xx+xx/B:23-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:4_17/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_16/K:2+8-33
26125000 26825000 a^pau-m+o=cl/A:0+1+3/B:23-xx_xx/C:06_xx+xx/D:01+7_2/E:3_2!0_xx-0/F:3_1#0_xx@1_4|1_16/G:3_3%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
26825000 27925000 pau^m-o+cl=t/A:0+1+3/B:23-xx_xx/C:06_xx+xx/D:01+7_2/E:3_2!0_xx-0/F:3_1#0_xx@1_4|1_16/G:3_3%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
27925000 28424999 m^o-cl+t=o/A:1+2+2/B:23-xx_xx/C:06_xx+xx/D:01+7_2/E:3_2!0_xx-0/F:3_1#0_xx@1_4|1_16/G:3_3%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
28424999 28925000 o^cl-t+o=o/A:2+3+1/B:23-xx_xx/C:06_xx+xx/D:01+7_2/E:3_2!0_xx-0/F:3_1#0_xx@1_4|1_16/G:3_3%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
28925000 29325000 cl^t-o+o=m/A:2+3+1/B:23-xx_xx/C:06_xx+xx/D:01+7_2/E:3_2!0_xx-0/F:3_1#0_xx@1_4|1_16/G:3_3%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
29325000 29825000 t^o-o+m=o/A:-2+1+3/B:06-xx_xx/C:01_7+2/D:03+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@2_3|4_13/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
29825000 30825000 o^o-m+o=i/A:-1+2+2/B:06-xx_xx/C:01_7+2/D:03+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@2_3|4_13/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
30825000 31825000 o^m-o+i=by/A:-1+2+2/B:06-xx_xx/C:01_7+2/D:03+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@2_3|4_13/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
31825000 32125000 m^o-i+by=o/A:0+3+1/B:06-xx_xx/C:01_7+2/D:03+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@2_3|4_13/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
32125000 33525000 o^i-by+o=o/A:-3+1+5/B:01-7_2/C:03_xx+xx/D:11+xx_xx/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
33525000 34225000 i^by-o+o=k/A:-3+1+5/B:01-7_2/C:03_xx+xx/D:11+xx_xx/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
34225000 35225000 by^o-o+k=I/A:-2+2+4/B:01-7_2/C:03_xx+xx/D:11+xx_xx/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
35225000 35525000 o^o-k+I=k/A:-1+3+3/B:01-7_2/C:03_xx+xx/D:11+xx_xx/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
35525000 36025000 o^k-I+k=a/A:-1+3+3/B:01-7_2/C:03_xx+xx/D:11+xx_xx/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
36025000 36425000 k^I-k+a=m/A:0+4+2/B:03-xx_xx/C:11_xx+xx/D:20+3_1/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
36425000 36925000 I^k-a+m=o/A:0+4+2/B:03-xx_xx/C:11_xx+xx/D:20+3_1/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
36925000 37325000 k^a-m+o=sh/A:1+5+1/B:03-xx_xx/C:11_xx+xx/D:20+3_1/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
37325000 38425000 a^m-o+sh=i/A:1+5+1/B:03-xx_xx/C:11_xx+xx/D:20+3_1/E:3_3!0_xx-1/F:5_4#0_xx@3_2|7_10/G:5_4%0_xx_1/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
38425000 38725000 m^o-sh+i=r/A:-3+1+5/B:11-xx_xx/C:20_3+1/D:10+7_0/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
38725000 39025000 o^sh-i+r=e/A:-3+1+5/B:11-xx_xx/C:20_3+1/D:10+7_0/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
39025000 39325000 sh^i-r+e=m/A:-2+2+4/B:11-xx_xx/C:20_3+1/D:10+7_0/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
39325000 40125000 i^r-e+m=a/A:-2+2+4/B:11-xx_xx/C:20_3+1/D:10+7_0/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
40125000 40725000 r^e-m+a=s/A:-1+3+3/B:20-3_1/C:10_7+0/D:10+6_2/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
40725000 41825000 e^m-a+s=e/A:-1+3+3/B:20-3_1/C:10_7+0/D:10+6_2/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
41825000 42125000 m^a-s+e=N/A:0+4+2/B:20-3_1/C:10_7+0/D:10+6_2/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
42125000 43025000 a^s-e+N=sil/A:0+4+2/B:20-3_1/C:10_7+0/D:10+6_2/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
43025000 45125000 s^e-N+sil=xx/A:1+5+1/B:10-7_0/C:10_6+2/D:xx+xx_xx/E:5_4!0_xx-1/F:5_4#0_xx@4_1|12_5/G:xx_xx%xx_xx_xx/H:4_17/I:4-16@2+1&5-4|18+16/J:xx_xx/K:2+8-33
