0 1424999 xx^xx-sil+u=cl/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:8_32/K:2+11-45
40824999 41525000 sh^i-pau+m=i/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:4_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:8_32/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_13/K:2+11-45
41525000 42225000 i^pau-m+i=r/A:0+1+4/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-0/F:4_1#0_xx@1_3|1_13/G:4_4%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
42225000 42525000 pau^m-i+r=u/A:0+1+4/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-0/F:4_1#0_xx@1_3|1_13/G:4_4%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
42525000 43425000 m^i-r+u=k/A:1+2+3/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-0/F:4_1#0_xx@1_3|1_13/G:4_4%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
43425000 43724999 i^r-u+k=u/A:1+2+3/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-0/F:4_1#0_xx@1_3|1_13/G:4_4%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
43724999 44025000 r^u-k+u=o/A:2+3+2/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-0/F:4_1#0_xx@1_3|1_13/G:4_4%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
44025000 45125000 u^k-u+o=t/A:2+3+2/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-0/F:4_1#0_xx@1_3|1_13/G:4_4%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
45125000 46224999 k^u-o+t=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_2!0_xx-0/F:4_1#0_xx@1_3|1_13/G:4_4%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
46224999 46625000 u^o-t+a=k/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_9/G:5_3%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
46625000 47225000 o^t-a+k=U/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_9/G:5_3%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
47225000 47525000 t^a-k+U=s/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_9/G:5_3%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
47525000 48324999 a^k-U+s=a/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_9/G:5_3%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
48324999 49125000 k^U-s+a=N/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_9/G:5_3%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
49125000 50025000 U^s-a+N=n/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_9/G:5_3%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
50025000 50425000 s^a-N+n=o/A:0+4+1/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_9/G:5_3%0_xx_1/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
50425000 50725000 a^N-n+o=m/A:-2+1+5/B:02-xx_xx/C:20_1+1/D:10+7_1/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
50725000 51625000 N^n-o+m=i/A:-2+1+5/B:02-xx_xx/C:20_1+1/D:10+7_1/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
51625000 52125000 n^o-m+i=m/A:-1+2+4/B:02-xx_xx/C:20_1+1/D:10+7_1/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
52125000 52725000 o^m-i+m=a/A:-1+2+4/B:02-xx_xx/C:20_1+1/D:10+7_1/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
52725000 53525000 m^i-m+a=sh/A:0+3+3/B:20-1_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
53525000 54425000 i^m-a+sh=I/A:0+3+3/B:20-1_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
54425000 54725000 m^a-sh+I=t/A:1+4+2/B:20-1_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
54725000 55325000 a^sh-I+t=a/A:1+4+2/B:20-1_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
55325000 56325000 sh^I-t+a=sil/A:2+5+1/B:10-7_1/C:10_7+2/D:xx+xx_xx/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
56325000 58125000 I^t-a+sil=xx/A:2+5+1/B:10-7_1/C:10_7+2/D:xx+xx_xx/E:4_4!0_xx-1/F:5_3#0_xx@3_1|9_5/G:xx_xx%xx_xx_xx/H:8_32/I:3-13@2+1&9-3|33+13/J:xx_xx/K:2+11-45
