0 1724999 xx^xx-sil+t=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_15/K:2+6-36
12125000 12725000 m^o-t+a=n/A:-3+1+7/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
12725000 13525000 o^t-a+n=o/A:-3+1+7/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
13525000 14025000 t^a-n+o=sh/A:-2+2+6/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
14025000 15025000 a^n-o+sh=i/A:-2+2+6/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
15025000 15325000 n^o-sh+i=m/A:-1+3+5/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
15325000 16025000 o^sh-i+m=e/A:-1+3+5/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
16025000 16625000 sh^i-m+e=n/A:0+4+4/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
16625000 17225000 i^m-e+n=a/A:0+4+4/B:24-xx_xx/C:20_3+0/D:10+7_2/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
17225000 18325000 m^e-n+a=i/A:1+5+3/B:20-3_0/C:10_7+2/D:12+xx_xx/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
18325000 18625000 e^n-a+i=sh/A:1+5+3/B:20-3_0/C:10_7+2/D:12+xx_xx/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
18625000 20025000 n^a-i+sh=i/A:2+6+2/B:20-3_0/C:10_7+2/D:12+xx_xx/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
20025000 21425000 a^i-sh+i=pau/A:3+7+1/B:10-7_2/C:12_xx+xx/D:04+xx_xx/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
21425000 22325000 i^sh-i+pau=w/A:3+7+1/B:10-7_2/C:12_xx+xx/D:04+xx_xx/E:3_2!0_xx-1/F:7_4#0_xx@3_1|9_7/G:6_3%0_xx_0/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
22325000 22825000 sh^i-pau+w=a/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:7_4!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:3_15/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_21/K:2+6-36
22825000 23325000 i^pau-w+a=t/A:-2+1+6/B:12-xx_xx/C:04_xx+xx/D:15+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
23325000 24025000 pau^w-a+t=a/A:-2+1+6/B:12-xx_xx/C:04_xx+xx/D:15+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
24025000 24725000 w^a-t+a=sh/A:-1+2+5/B:12-xx_xx/C:04_xx+xx/D:15+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
24725000 25025000 a^t-a+sh=i/A:-1+2+5/B:12-xx_xx/C:04_xx+xx/D:15+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
25025000 25325000 t^a-sh+i=t/A:0+3+4/B:12-xx_xx/C:04_xx+xx/D:15+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
25325000 25825000 a^sh-i+t=a/A:0+3+4/B:12-xx_xx/C:04_xx+xx/D:15+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
25825000 26425000 sh^i-t+a=ch/A:1+4+3/B:04-xx_xx/C:15_xx+xx/D:23+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
26425000 27125000 i^t-a+ch=i/A:1+4+3/B:04-xx_xx/C:15_xx+xx/D:23+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
27125000 27425000 t^a-ch+i=n/A:2+5+2/B:04-xx_xx/C:15_xx+xx/D:23+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
27425000 28125000 a^ch-i+n=o/A:2+5+2/B:04-xx_xx/C:15_xx+xx/D:23+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
28125000 28825000 ch^i-n+o=k/A:3+6+1/B:15-xx_xx/C:23_xx+xx/D:02+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
28825000 29625000 i^n-o+k=o/A:3+6+1/B:15-xx_xx/C:23_xx+xx/D:02+xx_xx/E:7_4!0_xx-0/F:6_3#0_xx@1_3|1_21/G:7_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
29625000 29925000 n^o-k+o=d/A:-3+1+7/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
29925000 30525000 o^k-o+d=o/A:-3+1+7/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
30525000 30825000 k^o-d+o=m/A:-2+2+6/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
30825000 31625000 o^d-o+m=o/A:-2+2+6/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
31625000 32425000 d^o-m+o=j/A:-1+3+5/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
32425000 33424999 o^m-o+j=i/A:-1+3+5/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
33424999 33725000 m^o-j+i=d/A:0+4+4/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
33725000 34125000 o^j-i+d=a/A:0+4+4/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
34125000 35225000 j^i-d+a=i/A:1+5+3/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
35225000 35525000 i^d-a+i=m/A:1+5+3/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
35525000 36325000 d^a-i+m=o/A:2+6+2/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
36325000 37225000 a^i-m+o=t/A:3+7+1/B:02-xx_xx/C:24_xx+xx/D:20+3_0/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
37225000 38025000 i^m-o+t=a/A:3+7+1/B:02-xx_xx/C:24_xx+xx/D:20+3_0/E:6_3!0_xx-1/F:7_4#0_xx@2_2|7_15/G:8_4%0_xx_1/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
38025000 38725000 m^o-t+a=n/A:-3+1+8/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
38725000 39525000 o^t-a+n=o/A:-3+1+8/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
39525000 39825000 t^a-n+o=sh/A:-2+2+7/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
39825000 41224999 a^n-o+sh=i/A:-2+2+7/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
41224999 41525000 n^o-sh+i=m/A:-1+3+6/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
41525000 42025000 o^sh-i+m=e/A:-1+3+6/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
42025000 42825000 sh^i-m+e=n/A:0+4+5/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
42825000 43225000 i^m-e+n=a/A:0+4+5/B:24-xx_xx/C:20_3+0/D:10+7_2/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
43225000 44225000 m^e-n+a=i/A:1+5+4/B:20-3_0/C:10_7+2/D:14+xx_xx/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
44225000 44525000 e^n-a+i=n/A:1+5+4/B:20-3_0/C:10_7+2/D:14+xx_xx/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
44525000 45225000 n^a-i+n=o/A:2+6+3/B:20-3_0/C:10_7+2/D:14+xx_xx/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
45225000 45525000 a^i-n+o=y/A:3+7+2/B:10-7_2/C:14_xx+xx/D:14+xx_xx/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
45525000 46625000 i^n-o+y=o/A:3+7+2/B:10-7_2/C:14_xx+xx/D:14+xx_xx/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
46625000 47625000 n^o-y+o=sil/A:4+8+1/B:14-xx_xx/C:14_xx+xx/D:xx+xx_xx/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
47625000 53925000 o^y-o+sil=xx/A:4+8+1/B:14-xx_xx/C:14_xx+xx/D:xx+xx_xx/E:7_4!0_xx-1/F:8_4#0_xx@3_1|14_8/G:xx_xx%xx_xx_xx/H:3_15/I:3-21@2+1&4-3|16+21/J:xx_xx/K:2+6-36
