0 4325000 xx^xx-sil+n=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_18/K:4+18-77
53724999 54125000 m^u-w+a=h/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:7_1!0_xx-0/F:4_1#0_xx@1_13|1_47/G:3_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
54125000 54525000 u^w-a+h=I/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:7_1!0_xx-0/F:4_1#0_xx@1_13|1_47/G:3_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
54525000 55525000 w^a-h+I=t/A:-2+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_12|5_43/G:5_5%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
55525000 55824999 a^h-I+t=o/A:-2+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_12|5_43/G:5_5%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
55824999 56825000 h^I-t+o=n/A:-1+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_12|5_43/G:5_5%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
56825000 57125000 I^t-o+n=o/A:-1+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_12|5_43/G:5_5%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
57125000 57925000 t^o-n+o=k/A:0+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_12|5_43/G:5_5%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
57925000 58625000 o^n-o+k=U/A:0+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_12|5_43/G:5_5%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
58625000 59025000 n^o-k+U=ch/A:-4+1+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
59025000 59425000 o^k-U+ch=i/A:-4+1+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
59425000 60425000 k^U-ch+i=m/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
60425000 62025000 U^ch-i+m=a/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
62025000 62425000 ch^i-m+a=n/A:-2+3+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
62425000 62925000 i^m-a+n=e/A:-2+3+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
62925000 63625000 m^a-n+e=o/A:-1+4+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
63625000 64025000 a^n-e+o=s/A:-1+4+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
64025000 64825000 n^e-o+s=u/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+4_2/E:3_3!0_xx-1/F:5_5#0_xx@3_11|8_40/G:7_7%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
64825000 65625000 e^o-s+u=r/A:-6+1+7/B:13-xx_xx/C:20_4+2/D:11+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
65625000 66325000 o^s-u+r=u/A:-6+1+7/B:13-xx_xx/C:20_4+2/D:11+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
66325000 66625000 s^u-r+u=d/A:-5+2+6/B:13-xx_xx/C:20_4+2/D:11+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
66625000 67325000 u^r-u+d=a/A:-5+2+6/B:13-xx_xx/C:20_4+2/D:11+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
67325000 67925000 r^u-d+a=k/A:-4+3+5/B:20-4_2/C:11_xx+xx/D:10+7_1/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
67925000 68725000 u^d-a+k=e/A:-4+3+5/B:20-4_2/C:11_xx+xx/D:10+7_1/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
68725000 69825000 d^a-k+e=d/A:-3+4+4/B:20-4_2/C:11_xx+xx/D:10+7_1/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
69825000 71125000 a^k-e+d=e/A:-3+4+4/B:20-4_2/C:11_xx+xx/D:10+7_1/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
71125000 75925000 k^e-d+e=n/A:-2+5+3/B:11-xx_xx/C:10_7+1/D:10+7_1/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
75925000 76625000 e^d-e+n=a/A:-2+5+3/B:11-xx_xx/C:10_7+1/D:10+7_1/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
76625000 77225000 d^e-n+a=k/A:-1+6+2/B:10-7_1/C:10_7+1/D:02+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
77225000 77825000 e^n-a+k=U/A:-1+6+2/B:10-7_1/C:10_7+1/D:02+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
77825000 78225000 n^a-k+U=k/A:0+7+1/B:10-7_1/C:10_7+1/D:02+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
78225000 78925000 a^k-U+k=o/A:0+7+1/B:10-7_1/C:10_7+1/D:02+xx_xx/E:5_5!0_xx-1/F:7_7#0_xx@4_10|13_35/G:4_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
78925000 79525000 k^U-k+o=t/A:-2+1+4/B:10-7_1/C:02_xx+xx/D:23+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
79525000 79825000 U^k-o+t=o/A:-2+1+4/B:10-7_1/C:02_xx+xx/D:23+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
79825000 81325000 k^o-t+o=b/A:-1+2+3/B:10-7_1/C:02_xx+xx/D:23+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
81325000 82025000 o^t-o+b=a/A:-1+2+3/B:10-7_1/C:02_xx+xx/D:23+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
82025000 82625000 t^o-b+a=n/A:0+3+2/B:10-7_1/C:02_xx+xx/D:23+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
82625000 83325000 o^b-a+n=o/A:0+3+2/B:10-7_1/C:02_xx+xx/D:23+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
83325000 84225000 b^a-n+o=i/A:1+4+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
84225000 84825000 a^n-o+i=m/A:1+4+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:7_7!0_xx-1/F:4_3#0_xx@5_9|20_28/G:3_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
84825000 85225000 n^o-i+m=i/A:0+1+3/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@6_8|24_24/G:3_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
85225000 85725000 o^i-m+i=o/A:1+2+2/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@6_8|24_24/G:3_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
85725000 86625000 i^m-i+o=m/A:1+2+2/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@6_8|24_24/G:3_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
