0 4625000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:1+4-17
20425000 21125000 h^o-ch+I=k/A:-2+1+5/B:15-xx_xx/C:20_1+1/D:10+7_2/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
21125000 21425000 o^ch-I+k=a/A:-2+1+5/B:15-xx_xx/C:20_1+1/D:10+7_2/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
21425000 22125000 ch^I-k+a=y/A:-1+2+4/B:15-xx_xx/C:20_1+1/D:10+7_2/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
22125000 22425000 I^k-a+y=o/A:-1+2+4/B:15-xx_xx/C:20_1+1/D:10+7_2/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
22425000 22925000 k^a-y+o=cl/A:0+3+3/B:15-xx_xx/C:20_1+1/D:10+7_2/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
22925000 24125000 a^y-o+cl=t/A:0+3+3/B:15-xx_xx/C:20_1+1/D:10+7_2/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
24125000 25225000 y^o-cl+t=a/A:1+4+2/B:15-xx_xx/C:20_1+1/D:10+7_2/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
25225000 25625000 o^cl-t+a=sil/A:2+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
25625000 27025000 cl^t-a+sil=xx/A:2+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:2_1!0_xx-1/F:5_3#0_xx@4_1|13_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
27025000 31025000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:5_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:4_17/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+4-17
