0 6125000 xx^xx-sil+sh=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:3+8-28
17225000 18025000 a^pau-k+o=n/A:-1+1+2/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:5_5!0_xx-0/F:2_2#0_xx@1_5|1_15/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
18025000 18525000 pau^k-o+n=o/A:-1+1+2/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:5_5!0_xx-0/F:2_2#0_xx@1_5|1_15/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
18525000 18925000 k^o-n+o=f/A:0+2+1/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:5_5!0_xx-0/F:2_2#0_xx@1_5|1_15/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
18925000 19425000 o^n-o+f=e/A:0+2+1/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:5_5!0_xx-0/F:2_2#0_xx@1_5|1_15/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
19425000 20325000 n^o-f+e=s/A:0+1+3/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_4|3_13/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
20325000 21125000 o^f-e+s=u/A:0+1+3/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_4|3_13/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
21125000 22225000 f^e-s+u=n/A:1+2+2/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_4|3_13/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
22225000 22525000 e^s-u+n=o/A:1+2+2/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_4|3_13/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
22525000 22825000 s^u-n+o=ky/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_4|3_13/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
22825000 23325000 u^n-o+ky=a/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_4|3_13/G:3_1%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
23325000 24225000 n^o-ky+a=p/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@3_3|6_10/G:4_3%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
24225000 25025000 o^ky-a+p=a/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@3_3|6_10/G:4_3%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
25025000 25525000 ky^a-p+a=g/A:1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@3_3|6_10/G:4_3%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
25525000 25924999 a^p-a+g=a/A:1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@3_3|6_10/G:4_3%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
25924999 26425000 p^a-g+a=ch/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:01+7_2/E:3_1!0_xx-1/F:3_1#0_xx@3_3|6_10/G:4_3%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
26425000 27325000 a^g-a+ch=i/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:01+7_2/E:3_1!0_xx-1/F:3_1#0_xx@3_3|6_10/G:4_3%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
27325000 28424999 g^a-ch+i=i/A:-2+1+4/B:13-xx_xx/C:01_7+2/D:22+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@4_2|9_7/G:3_2%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
28424999 28925000 a^ch-i+i=s/A:-2+1+4/B:13-xx_xx/C:01_7+2/D:22+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@4_2|9_7/G:3_2%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
28925000 29525000 ch^i-i+s=a/A:-1+2+3/B:13-xx_xx/C:01_7+2/D:22+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@4_2|9_7/G:3_2%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
29525000 30325000 i^i-s+a=i/A:0+3+2/B:13-xx_xx/C:01_7+2/D:22+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@4_2|9_7/G:3_2%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
30325000 31225000 i^s-a+i=k/A:0+3+2/B:13-xx_xx/C:01_7+2/D:22+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@4_2|9_7/G:3_2%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
31225000 31625000 s^a-i+k=o/A:1+4+1/B:13-xx_xx/C:01_7+2/D:22+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@4_2|9_7/G:3_2%0_xx_1/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
31625000 32225000 a^i-k+o=t/A:-1+1+3/B:01-7_2/C:22_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@5_1|13_3/G:5_1%0_xx_0/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
32225000 32925000 i^k-o+t=o/A:-1+1+3/B:01-7_2/C:22_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@5_1|13_3/G:5_1%0_xx_0/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
32925000 33325000 k^o-t+o=o/A:0+2+2/B:01-7_2/C:22_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@5_1|13_3/G:5_1%0_xx_0/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
33325000 34925000 o^t-o+o=pau/A:0+2+2/B:01-7_2/C:22_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@5_1|13_3/G:5_1%0_xx_0/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
34925000 36125000 t^o-o+pau=s/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:18+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@5_1|13_3/G:5_1%0_xx_0/H:1_5/I:5-15@2+2&2-7|6+23/J:2_8/K:3+8-28
36125000 36425000 o^o-pau+s=e/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:5_15/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_8/K:3+8-28
36425000 38025000 o^pau-s+e=sh/A:0+1+5/B:13-xx_xx/C:18_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
38025000 38625000 pau^s-e+sh=i/A:0+1+5/B:13-xx_xx/C:18_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
38625000 39525000 s^e-sh+i=r/A:1+2+4/B:13-xx_xx/C:18_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
39525000 40225000 e^sh-i+r=u/A:1+2+4/B:13-xx_xx/C:18_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
40225000 40625000 sh^i-r+u=k/A:2+3+3/B:13-xx_xx/C:18_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
40625000 41224999 i^r-u+k=a/A:2+3+3/B:13-xx_xx/C:18_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
41224999 41725000 r^u-k+a=r/A:3+4+2/B:18-xx_xx/C:13_xx+xx/D:20+1_1/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
41725000 42125000 u^k-a+r=a/A:3+4+2/B:18-xx_xx/C:13_xx+xx/D:20+1_1/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
42125000 42525000 k^a-r+a=k/A:4+5+1/B:18-xx_xx/C:13_xx+xx/D:20+1_1/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
42525000 43025000 a^r-a+k=i/A:4+5+1/B:18-xx_xx/C:13_xx+xx/D:20+1_1/E:3_2!0_xx-0/F:5_1#0_xx@1_2|1_8/G:3_3%0_xx_1/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
43025000 44425000 r^a-k+i=i/A:-2+1+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:5_1!0_xx-1/F:3_3#0_xx@2_1|6_3/G:xx_xx%xx_xx_xx/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
44425000 44825000 a^k-i+i=t/A:-2+1+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:5_1!0_xx-1/F:3_3#0_xx@2_1|6_3/G:xx_xx%xx_xx_xx/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
44825000 46125000 k^i-i+t=a/A:-1+2+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:5_1!0_xx-1/F:3_3#0_xx@2_1|6_3/G:xx_xx%xx_xx_xx/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
46125000 46725000 i^i-t+a=sil/A:0+3+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:5_1!0_xx-1/F:3_3#0_xx@2_1|6_3/G:xx_xx%xx_xx_xx/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
46725000 48425000 i^t-a+sil=xx/A:0+3+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:5_1!0_xx-1/F:3_3#0_xx@2_1|6_3/G:xx_xx%xx_xx_xx/H:5_15/I:2-8@3+1&7-2|21+8/J:xx_xx/K:3+8-28
48425000 54925000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:3_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:2_8/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:3+8-28
