0 3625000 xx^xx-sil+e=h/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_26/K:1+6-26
18425000 19325000 o^n-o+r=u/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@3_4|10_17/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
19325000 19625000 n^o-r+u=a/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_3|15_12/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
19625000 20625000 o^r-u+a=a/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_3|15_12/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
20625000 22325000 r^u-a+a=o/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_3|15_12/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
22325000 23025000 u^a-a+o=m/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_3|15_12/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
23025000 24025000 a^a-o+m=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_3|15_12/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
24025000 24525000 a^o-m+a=cl/A:0+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@5_2|19_8/G:4_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
24525000 24825000 o^m-a+cl=sh/A:0+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@5_2|19_8/G:4_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
24825000 26025000 m^a-cl+sh=u/A:1+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@5_2|19_8/G:4_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
26025000 26325000 a^cl-sh+u=n/A:2+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@5_2|19_8/G:4_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
26325000 26825000 cl^sh-u+n=i/A:2+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_1#0_xx@5_2|19_8/G:4_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
26825000 27125000 sh^u-n+i=o/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_1#0_xx@5_2|19_8/G:4_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
27125000 28525000 u^n-i+o=k/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_1#0_xx@5_2|19_8/G:4_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
28525000 29225000 n^i-o+k=u/A:-3+1+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_4#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
29225000 30325000 i^o-k+u=cl/A:-2+2+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_4#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
30325000 31025000 o^k-u+cl=t/A:-2+2+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_4#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
31025000 31725000 k^u-cl+t=a/A:-1+3+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_4#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
31725000 33125000 u^cl-t+a=sil/A:0+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
33125000 36125000 cl^t-a+sil=xx/A:0+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
