0 1724999 xx^xx-sil+b=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_7%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_15/K:1+2-15
11525000 12125000 a^h-a+n=a/A:-4+1+8/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
12125000 12525000 h^a-n+a=sh/A:-3+2+7/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
12525000 13425000 a^n-a+sh=I/A:-3+2+7/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
13425000 13725000 n^a-sh+I=k/A:-2+3+6/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
13725000 14225000 a^sh-I+k=a/A:-2+3+6/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
14225000 15025000 sh^I-k+a=k/A:-1+4+5/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
15025000 15525000 I^k-a+k=e/A:-1+4+5/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
15525000 16225000 k^a-k+e=n/A:0+5+4/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
16225000 16625000 a^k-e+n=a/A:0+5+4/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
16625000 17725000 k^e-n+a=i/A:1+6+3/B:20-3_0/C:10_7+1/D:12+xx_xx/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
17725000 18225000 e^n-a+i=d/A:1+6+3/B:20-3_0/C:10_7+1/D:12+xx_xx/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
18225000 18625000 n^a-i+d=e/A:2+7+2/B:20-3_0/C:10_7+1/D:12+xx_xx/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
18625000 19725000 a^i-d+e=sil/A:3+8+1/B:10-7_1/C:12_xx+xx/D:xx+xx_xx/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
19725000 21025000 i^d-e+sil=xx/A:3+8+1/B:10-7_1/C:12_xx+xx/D:xx+xx_xx/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
