0 1225000 xx^xx-sil+p=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_27/K:1+7-27
25525000 25825000 o^o-t+a=i/A:-2+3+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@5_3|17_11/G:4_4%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
25825000 26525000 o^t-a+i=o/A:-2+3+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@5_3|17_11/G:4_4%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
26525000 27925000 t^a-i+o=f/A:-1+4+2/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@5_3|17_11/G:4_4%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
27925000 28424999 a^i-o+f=u/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@5_3|17_11/G:4_4%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
28424999 29325000 i^o-f+u=cl/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:4_4#0_xx@6_2|22_6/G:2_2%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
29325000 30225000 o^f-u+cl=ky/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:4_4#0_xx@6_2|22_6/G:2_2%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
30225000 30724999 f^u-cl+ky=u/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:4_4#0_xx@6_2|22_6/G:2_2%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
30724999 31025000 u^cl-ky+u=u/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:4_4#0_xx@6_2|22_6/G:2_2%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
31025000 32425000 cl^ky-u+u=s/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:4_4#0_xx@6_2|22_6/G:2_2%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
32425000 32825000 ky^u-u+s=u/A:0+4+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:4_4#0_xx@6_2|22_6/G:2_2%0_xx_1/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
32825000 33625000 u^u-s+u=r/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_2#0_xx@7_1|26_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
33625000 34525000 u^s-u+r=u/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_2#0_xx@7_1|26_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
34525000 38825000 s^u-r+u=sil/A:0+2+1/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_2#0_xx@7_1|26_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-27@1+1&1-7|1+27/J:xx_xx/K:1+7-27
