0 4425000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:9_28/K:1+9-28
11924999 12525000 m^a-k+u=n/A:0+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:3_2#0_xx@2_8|5_24/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
12525000 13025000 a^k-u+n=o/A:0+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:3_2#0_xx@2_8|5_24/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
13025000 13725000 k^u-n+o=a/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:3_2#0_xx@2_8|5_24/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
13725000 14625000 u^n-o+a=i/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:3_2#0_xx@2_8|5_24/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
14625000 15525000 n^o-a+i=d/A:-3+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@3_7|8_21/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
15525000 16125000 o^a-i+d=a/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@3_7|8_21/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
16125000 16525000 a^i-d+a=n/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@3_7|8_21/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
16525000 16925000 i^d-a+n=i/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@3_7|8_21/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
16925000 17825000 d^a-n+i=k/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@3_7|8_21/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
17825000 19625000 a^n-i+k=i/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@3_7|8_21/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
19625000 20525000 n^i-k+i=d/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@4_6|12_17/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
20525000 21225000 i^k-i+d=o/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@4_6|12_17/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
21225000 21625000 k^i-d+o=n/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@4_6|12_17/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
21625000 22725000 i^d-o+n=o/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@4_6|12_17/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
22725000 23025000 d^o-n+o=s/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@4_6|12_17/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
23025000 23525000 o^n-o+s=o/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@4_6|12_17/G:3_1%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
23525000 24825000 n^o-s+o=t/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@5_5|15_14/G:3_3%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
24825000 25525000 o^s-o+t=o/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@5_5|15_14/G:3_3%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
25525000 25924999 s^o-t+o=o/A:1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@5_5|15_14/G:3_3%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
25924999 26725000 o^t-o+o=s/A:1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@5_5|15_14/G:3_3%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
26725000 27525000 t^o-o+s=a/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@5_5|15_14/G:3_3%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
27525000 28725000 o^o-s+a=N/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:3_3#0_xx@6_4|18_11/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
28725000 29525000 o^s-a+N=p/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:3_3#0_xx@6_4|18_11/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
29525000 30225000 s^a-N+p=o/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:3_3#0_xx@6_4|18_11/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
30225000 30825000 a^N-p+o=sh/A:0+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:3_3#0_xx@6_4|18_11/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
30825000 31425000 N^p-o+sh=I/A:0+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:3_3#0_xx@6_4|18_11/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
31425000 32225000 p^o-sh+I=t/A:-1+1+2/B:03-xx_xx/C:20_4+1/D:12+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@7_3|21_8/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
32225000 32525000 o^sh-I+t=e/A:-1+1+2/B:03-xx_xx/C:20_4+1/D:12+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@7_3|21_8/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
32525000 32825000 sh^I-t+e=i/A:0+2+1/B:20-4_1/C:12_xx+xx/D:17+3_2/E:3_3!0_xx-1/F:2_2#0_xx@7_3|21_8/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
32825000 34325000 I^t-e+i=r/A:0+2+1/B:20-4_1/C:12_xx+xx/D:17+3_2/E:3_3!0_xx-1/F:2_2#0_xx@7_3|21_8/G:2_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
34325000 34625000 t^e-i+r=u/A:-1+1+2/B:12-xx_xx/C:17_3+2/D:22+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@8_2|23_6/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
34625000 34925000 e^i-r+u=n/A:0+2+1/B:12-xx_xx/C:17_3+2/D:22+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@8_2|23_6/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
34925000 35325000 i^r-u+n=o/A:0+2+1/B:12-xx_xx/C:17_3+2/D:22+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@8_2|23_6/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
35325000 36225000 r^u-n+o=d/A:-3+1+4/B:17-3_2/C:22_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:4_4#0_xx@9_1|25_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
36225000 36825000 u^n-o+d=e/A:-3+1+4/B:17-3_2/C:22_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:4_4#0_xx@9_1|25_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
36825000 37525000 n^o-d+e=a/A:-2+2+3/B:22-xx_xx/C:10_7+1/D:10+1_2/E:2_2!0_xx-1/F:4_4#0_xx@9_1|25_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
37525000 38025000 o^d-e+a=r/A:-2+2+3/B:22-xx_xx/C:10_7+1/D:10+1_2/E:2_2!0_xx-1/F:4_4#0_xx@9_1|25_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
38025000 39025000 d^e-a+r=u/A:-1+3+2/B:10-7_1/C:10_1+2/D:xx+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@9_1|25_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
39025000 39525000 e^a-r+u=sil/A:0+4+1/B:10-7_1/C:10_1+2/D:xx+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@9_1|25_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
39525000 40625000 a^r-u+sil=xx/A:0+4+1/B:10-7_1/C:10_1+2/D:xx+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@9_1|25_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
40625000 44625000 r^u-sil+xx=xx/A:xx+xx+xx/B:10-1_2/C:xx_xx+xx/D:xx+xx_xx/E:4_4!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:9_28/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+9-28
