0 2325000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_26/K:1+7-26
9425000 10325000 o^sh-o+n=i/A:0+4+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
10325000 10625000 sh^o-n+i=w/A:1+5+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
10625000 11625000 o^n-i+w=a/A:1+5+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
11625000 12325000 n^i-w+a=hy/A:2+6+1/B:13-xx_xx/C:24_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
12325000 14025000 i^w-a+hy=a/A:2+6+1/B:13-xx_xx/C:24_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
14025000 14625000 w^a-hy+a=k/A:-1+1+4/B:24-xx_xx/C:05_xx+xx/D:15+xx_xx/E:6_4!0_xx-1/F:4_2#0_xx@3_5|9_18/G:4_1%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
14625000 15225000 a^hy-a+k=u/A:-1+1+4/B:24-xx_xx/C:05_xx+xx/D:15+xx_xx/E:6_4!0_xx-1/F:4_2#0_xx@3_5|9_18/G:4_1%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
15225000 15725000 hy^a-k+u=n/A:0+2+3/B:24-xx_xx/C:05_xx+xx/D:15+xx_xx/E:6_4!0_xx-1/F:4_2#0_xx@3_5|9_18/G:4_1%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
15725000 16325000 a^k-u+n=i/A:0+2+3/B:24-xx_xx/C:05_xx+xx/D:15+xx_xx/E:6_4!0_xx-1/F:4_2#0_xx@3_5|9_18/G:4_1%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
16325000 16625000 k^u-n+i=N/A:1+3+2/B:05-xx_xx/C:15_xx+xx/D:22+xx_xx/E:6_4!0_xx-1/F:4_2#0_xx@3_5|9_18/G:4_1%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
16625000 16925000 u^n-i+N=i/A:1+3+2/B:05-xx_xx/C:15_xx+xx/D:22+xx_xx/E:6_4!0_xx-1/F:4_2#0_xx@3_5|9_18/G:4_1%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
16925000 18125000 n^i-N+i=j/A:2+4+1/B:05-xx_xx/C:15_xx+xx/D:22+xx_xx/E:6_4!0_xx-1/F:4_2#0_xx@3_5|9_18/G:4_1%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
18125000 18725000 i^N-i+j=o/A:0+1+4/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_4|13_14/G:3_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
18725000 19825000 N^i-j+o=o/A:1+2+3/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_4|13_14/G:3_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
19825000 20125000 i^j-o+o=n/A:1+2+3/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_4|13_14/G:3_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
20125000 20625000 j^o-o+n=o/A:2+3+2/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_4|13_14/G:3_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
20625000 21225000 o^o-n+o=h/A:3+4+1/B:22-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_4|13_14/G:3_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
21225000 21525000 o^n-o+h=I/A:3+4+1/B:22-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_4|13_14/G:3_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
21525000 22125000 n^o-h+I=t/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@5_3|17_10/G:4_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
22125000 22625000 o^h-I+t=o/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@5_3|17_10/G:4_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
22625000 22925000 h^I-t+o=g/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@5_3|17_10/G:4_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
22925000 23525000 I^t-o+g=a/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@5_3|17_10/G:4_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
23525000 24625000 t^o-g+a=ts/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:4_1!0_xx-1/F:3_3#0_xx@5_3|17_10/G:4_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
24625000 24925000 o^g-a+ts=U/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:4_1!0_xx-1/F:3_3#0_xx@5_3|17_10/G:4_3%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
24925000 25325000 g^a-ts+U=t/A:-2+1+4/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
25325000 25825000 a^ts-U+t=o/A:-2+1+4/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
25825000 26325000 ts^U-t+o=m/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
26325000 27025000 U^t-o+m=e/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
27025000 27625000 t^o-m+e=t/A:0+3+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
27625000 28325000 o^m-e+t=e/A:0+3+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
28325000 28825000 m^e-t+e=i/A:1+4+1/B:20-3_1/C:12_xx+xx/D:17+3_1/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
28825000 29825000 e^t-e+i=m/A:1+4+1/B:20-3_1/C:12_xx+xx/D:17+3_1/E:3_3!0_xx-1/F:4_3#0_xx@6_2|20_7/G:3_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
29825000 30625000 t^e-i+m=a/A:-1+1+3/B:12-xx_xx/C:17_3+1/D:10+7_2/E:4_3!0_xx-1/F:3_2#0_xx@7_1|24_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
30625000 33725000 e^i-m+a=s/A:0+2+2/B:17-3_1/C:10_7+2/D:xx+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@7_1|24_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
33725000 34025000 i^m-a+s=U/A:0+2+2/B:17-3_1/C:10_7+2/D:xx+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@7_1|24_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
34025000 38325000 m^a-s+U=sil/A:1+3+1/B:17-3_1/C:10_7+2/D:xx+xx_xx/E:4_3!0_xx-1/F:3_2#0_xx@7_1|24_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
