0 3325000 xx^xx-sil+i=ch/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_14/K:2+8-36
13825000 15025000 r^u-i+by=a/A:0+4+1/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:6_6!0_xx-1/F:4_4#0_xx@2_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
15025000 15825000 u^i-by+a=k/A:0+1+4/B:01-7_2/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
15825000 16225000 i^by-a+k=u/A:0+1+4/B:01-7_2/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
16225000 17025000 by^a-k+u=y/A:1+2+3/B:01-7_2/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
17025000 17525000 a^k-u+y=a/A:1+2+3/B:01-7_2/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
17525000 18425000 k^u-y+a=w/A:2+3+2/B:01-7_2/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
18425000 19225000 u^y-a+w=a/A:2+3+2/B:01-7_2/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
19225000 20425000 y^a-w+a=pau/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
20425000 21125000 a^w-a+pau=i/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@3_1|11_4/G:4_1%0_xx_0/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
21125000 22725000 w^a-pau+i=cl/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:4_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:3_14/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_22/K:2+8-36
22725000 23325000 a^pau-i+cl=s/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-0/F:4_1#0_xx@1_5|1_22/G:5_1%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
23325000 23625000 pau^i-cl+s=a/A:1+2+3/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-0/F:4_1#0_xx@1_5|1_22/G:5_1%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
23625000 25125000 i^cl-s+a=i/A:2+3+2/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-0/F:4_1#0_xx@1_5|1_22/G:5_1%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
25125000 25825000 cl^s-a+i=t/A:2+3+2/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-0/F:4_1#0_xx@1_5|1_22/G:5_1%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
25825000 26825000 s^a-i+t=a/A:3+4+1/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-0/F:4_1#0_xx@1_5|1_22/G:5_1%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
26825000 27325000 a^i-t+a=i/A:0+1+5/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
27325000 28125000 i^t-a+i=y/A:0+1+5/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
28125000 28825000 t^a-i+y=o/A:1+2+4/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
28825000 29425000 a^i-y+o=o/A:2+3+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
29425000 30225000 i^y-o+o=g/A:2+3+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
30225000 30625000 y^o-o+g=a/A:3+4+2/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
30625000 31025000 o^o-g+a=sh/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:20+1_0/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
31025000 32325000 o^g-a+sh=i/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:20+1_0/E:4_1!0_xx-1/F:5_1#0_xx@2_4|5_18/G:5_5%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
32325000 32625000 g^a-sh+i=z/A:-4+1+5/B:13-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
32625000 33525000 a^sh-i+z=u/A:-4+1+5/B:13-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
33525000 33825000 sh^i-z+u=m/A:-3+2+4/B:13-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
33825000 34525000 i^z-u+m=a/A:-3+2+4/B:13-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
34525000 34925000 z^u-m+a=n/A:-2+3+3/B:13-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
34925000 35525000 u^m-a+n=a/A:-2+3+3/B:13-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
35525000 36625000 m^a-n+a=i/A:-1+4+2/B:20-1_0/C:10_7+2/D:22+xx_xx/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
36625000 36925000 a^n-a+i=k/A:-1+4+2/B:20-1_0/C:10_7+2/D:22+xx_xx/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
36925000 37525000 n^a-i+k=o/A:0+5+1/B:20-1_0/C:10_7+2/D:22+xx_xx/E:5_1!0_xx-1/F:5_5#0_xx@3_3|10_13/G:3_2%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
37525000 38225000 a^i-k+o=t/A:-1+1+3/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@4_2|15_8/G:5_4%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
38225000 38925000 i^k-o+t=o/A:-1+1+3/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@4_2|15_8/G:5_4%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
38925000 39325000 k^o-t+o=d/A:0+2+2/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@4_2|15_8/G:5_4%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
39325000 39625000 o^t-o+d=e/A:0+2+2/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@4_2|15_8/G:5_4%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
39625000 40025000 t^o-d+e=o/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:20+1_1/E:5_5!0_xx-1/F:3_2#0_xx@4_2|15_8/G:5_4%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
40025000 41025000 o^d-e+o=k/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:20+1_1/E:5_5!0_xx-1/F:3_2#0_xx@4_2|15_8/G:5_4%0_xx_1/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
41025000 41725000 d^e-o+k=o/A:-3+1+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
41725000 42025000 e^o-k+o=r/A:-2+2+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
42025000 42825000 o^k-o+r=i/A:-2+2+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
42825000 43225000 k^o-r+i=m/A:-1+3+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
43225000 44025000 o^r-i+m=a/A:-1+3+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
44025000 44925000 r^i-m+a=s/A:0+4+2/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
44925000 46625000 i^m-a+s=U/A:0+4+2/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
46625000 46925000 m^a-s+U=sil/A:1+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
46925000 49125000 a^s-U+sil=xx/A:1+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_2!0_xx-1/F:5_4#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:3_14/I:5-22@2+1&4-5|15+22/J:xx_xx/K:2+8-36
