0 1925000 xx^xx-sil+ky=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_17/K:2+8-28
8725000 9025000 u^e-d+e=hy/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:09+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@2_4|5_13/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
9025000 9625000 e^d-e+hy=u/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:09+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@2_4|5_13/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
9625000 10925000 d^e-hy+u=hy/A:0+1+4/B:13-xx_xx/C:09_xx+xx/D:18+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@3_3|8_10/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
10925000 11225000 e^hy-u+hy=u/A:0+1+4/B:13-xx_xx/C:09_xx+xx/D:18+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@3_3|8_10/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
11225000 12425000 hy^u-hy+u=u/A:1+2+3/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@3_3|8_10/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
12425000 14524999 u^hy-u+u=t/A:1+2+3/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@3_3|8_10/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
14524999 15025000 hy^u-u+t=o/A:2+3+2/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@3_3|8_10/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
15025000 15525000 u^u-t+o=k/A:3+4+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@3_3|8_10/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
15525000 16225000 u^t-o+k=a/A:3+4+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@3_3|8_10/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
16225000 16725000 t^o-k+a=z/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@4_2|12_6/G:3_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
16725000 17525000 o^k-a+z=e/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@4_2|12_6/G:3_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
17525000 17925000 k^a-z+e=g/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@4_2|12_6/G:3_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
17925000 18425000 a^z-e+g=a/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@4_2|12_6/G:3_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
18425000 18825000 z^e-g+a=f/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:4_1!0_xx-1/F:3_3#0_xx@4_2|12_6/G:3_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
18825000 19725000 e^g-a+f=u/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:4_1!0_xx-1/F:3_3#0_xx@4_2|12_6/G:3_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
19725000 20025000 g^a-f+u=k/A:0+1+3/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@5_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
20025000 20425000 a^f-u+k=U/A:0+1+3/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@5_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
20425000 21425000 f^u-k+U=t/A:1+2+2/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@5_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
21425000 21925000 u^k-U+t=o/A:1+2+2/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@5_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
21925000 23325000 k^U-t+o=pau/A:2+3+1/B:20-1_2/C:12_xx+xx/D:04+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@5_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
23325000 26025000 U^t-o+pau=k/A:2+3+1/B:20-1_2/C:12_xx+xx/D:04+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@5_1|15_3/G:3_1%0_xx_0/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
26025000 27025000 t^o-pau+k=a/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:3_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:5_17/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_11/K:2+8-28
27025000 27425000 o^pau-k+a=r/A:0+1+3/B:12-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_1!0_xx-0/F:3_1#0_xx@1_3|1_11/G:4_1%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
27425000 27825000 pau^k-a+r=e/A:0+1+3/B:12-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_1!0_xx-0/F:3_1#0_xx@1_3|1_11/G:4_1%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
27825000 28224999 k^a-r+e=w/A:1+2+2/B:12-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_1!0_xx-0/F:3_1#0_xx@1_3|1_11/G:4_1%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
28224999 29025000 a^r-e+w=a/A:1+2+2/B:12-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_1!0_xx-0/F:3_1#0_xx@1_3|1_11/G:4_1%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
29025000 29325000 r^e-w+a=s/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:3_1#0_xx@1_3|1_11/G:4_1%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
29325000 30724999 e^w-a+s=e/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:3_1#0_xx@1_3|1_11/G:4_1%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
30724999 31325000 w^a-s+e=s/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_8/G:4_2%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
31325000 32525000 a^s-e+s=u/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_8/G:4_2%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
32525000 32825000 s^e-s+u=j/A:1+2+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_8/G:4_2%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
32825000 33325000 e^s-u+j=i/A:1+2+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_8/G:4_2%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
33325000 33725000 s^u-j+i=o/A:2+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_8/G:4_2%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
33725000 34725000 u^j-i+o=n/A:2+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_8/G:4_2%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
34725000 35225000 j^i-o+n=o/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_8/G:4_2%0_xx_1/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
35225000 35825000 i^o-n+o=b/A:-1+1+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
35825000 36325000 o^n-o+b=a/A:-1+1+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
36325000 37025000 n^o-b+a=sh/A:0+2+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
37025000 37825000 o^b-a+sh=I/A:0+2+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
37825000 38125000 b^a-sh+I=t/A:1+3+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
38125000 38525000 a^sh-I+t=a/A:1+3+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
38525000 39525000 sh^I-t+a=sil/A:2+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
39525000 42925000 I^t-a+sil=xx/A:2+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@3_1|8_4/G:xx_xx%xx_xx_xx/H:5_17/I:3-11@2+1&6-3|18+11/J:xx_xx/K:2+8-28
