0 2625000 xx^xx-sil+k=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:9_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_23/K:1+5-23
15825000 16425000 a^ts-u+r=u/A:-1+2+2/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:9_5!0_xx-1/F:3_3#0_xx@2_4|10_14/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
16425000 17025000 ts^u-r+u=t/A:0+3+1/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:9_5!0_xx-1/F:3_3#0_xx@2_4|10_14/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
17025000 17625000 u^r-u+t=a/A:0+3+1/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:9_5!0_xx-1/F:3_3#0_xx@2_4|10_14/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
17625000 18125000 r^u-t+a=m/A:-1+1+3/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@3_3|13_11/G:5_5%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
18125000 19025000 u^t-a+m=e/A:-1+1+3/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@3_3|13_11/G:5_5%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
19025000 19325000 t^a-m+e=n/A:0+2+2/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@3_3|13_11/G:5_5%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
19325000 19625000 a^m-e+n=i/A:0+2+2/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@3_3|13_11/G:5_5%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
19625000 20825000 m^e-n+i=t/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@3_3|13_11/G:5_5%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
20825000 21425000 e^n-i+t=o/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@3_3|13_11/G:5_5%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
21425000 22825000 n^i-t+o=o/A:-4+1+5/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@4_2|16_8/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
22825000 23525000 i^t-o+o=r/A:-4+1+5/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@4_2|16_8/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
23525000 25225000 t^o-o+r=o/A:-3+2+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@4_2|16_8/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
25225000 26125000 o^o-r+o=o/A:-2+3+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@4_2|16_8/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
26125000 26725000 o^r-o+o=o/A:-2+3+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@4_2|16_8/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
26725000 27525000 r^o-o+o=n/A:-1+4+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@4_2|16_8/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
27525000 27925000 o^o-o+n=a/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:3_2!0_xx-1/F:5_5#0_xx@4_2|16_8/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
27925000 28424999 o^o-n+a=g/A:-1+1+3/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@5_1|21_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
28424999 30225000 o^n-a+g=a/A:-1+1+3/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@5_1|21_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
30225000 31125000 n^a-g+a=s/A:0+2+2/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@5_1|21_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
31125000 35325000 a^g-a+s=u/A:0+2+2/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:3_2#0_xx@5_1|21_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
