0 3525000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+1_3/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:1_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_1/K:3+6-20
14725000 15625000 t^o-e+ch=o/A:3+5+1/B:23-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
15625000 16525000 o^e-ch+o=o/A:0+1+5/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
16525000 17225000 e^ch-o+o=ch/A:0+1+5/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
17225000 18525000 ch^o-o+ch=o/A:1+2+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
18525000 19425000 o^o-ch+o=o/A:2+3+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
19425000 20425000 o^ch-o+o=n/A:2+3+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
20425000 21225000 ch^o-o+n=i/A:3+4+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
21225000 22025000 o^o-n+i=ts/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
22025000 22825000 o^n-i+ts=u/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:5_2!0_xx-1/F:5_1#0_xx@2_3|6_12/G:3_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
22825000 23224999 n^i-ts+u=i/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:5_1!0_xx-1/F:3_1#0_xx@3_2|11_7/G:4_4%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
23224999 24125000 i^ts-u+i=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:5_1!0_xx-1/F:3_1#0_xx@3_2|11_7/G:4_4%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
24125000 24425000 ts^u-i+t=e/A:1+2+2/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:5_1!0_xx-1/F:3_1#0_xx@3_2|11_7/G:4_4%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
24425000 24925000 u^i-t+e=m/A:2+3+1/B:20-1_1/C:12_xx+xx/D:20+1_1/E:5_1!0_xx-1/F:3_1#0_xx@3_2|11_7/G:4_4%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
24925000 25924999 i^t-e+m=a/A:2+3+1/B:20-1_1/C:12_xx+xx/D:20+1_1/E:5_1!0_xx-1/F:3_1#0_xx@3_2|11_7/G:4_4%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
25924999 26525000 t^e-m+a=n/A:-3+1+4/B:12-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:4_4#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
26525000 27125000 e^m-a+n=a/A:-3+1+4/B:12-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:4_4#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
27125000 28025000 m^a-n+a=N/A:-2+2+3/B:12-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:4_4#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
28025000 28825000 a^n-a+N=d/A:-2+2+3/B:12-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:4_4#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
28825000 29225000 n^a-N+d=a/A:-1+3+2/B:12-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:4_4#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
29225000 31125000 a^N-d+a=sil/A:0+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
31125000 34425000 N^d-a+sil=xx/A:0+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
