0 925000 xx^xx-sil+p=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_20/K:1+3-20
16725000 18025000 N^t-i+N=w/A:3+4+3/B:02-xx_xx/C:18_xx+xx/D:24+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
18025000 18725000 t^i-N+w=a/A:4+5+2/B:02-xx_xx/C:18_xx+xx/D:24+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
18725000 19125000 i^N-w+a=b/A:5+6+1/B:18-xx_xx/C:24_xx+xx/D:02+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
19125000 20525000 N^w-a+b=u/A:5+6+1/B:18-xx_xx/C:24_xx+xx/D:02+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
20525000 21725000 w^a-b+u=r/A:-2+1+7/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
21725000 22425000 a^b-u+r=u/A:-2+1+7/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
22425000 23325000 b^u-r+u=u/A:-1+2+6/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
23325000 24625000 u^r-u+u=a/A:-1+2+6/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
24625000 26025000 r^u-u+a=i/A:0+3+5/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
26025000 26325000 u^u-a+i=d/A:1+4+4/B:02-xx_xx/C:02_xx+xx/D:10+7_2/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
26325000 26925000 u^a-i+d=e/A:2+5+3/B:02-xx_xx/C:02_xx+xx/D:10+7_2/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
26925000 27725000 a^i-d+e=s/A:3+6+2/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
27725000 30325000 i^d-e+s=U/A:3+6+2/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
30325000 30625000 d^e-s+U=sil/A:4+7+1/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
30625000 31125000 e^s-U+sil=xx/A:4+7+1/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@3_1|14_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
