0 3625000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_3/K:2+6-33
14325000 15325000 a^N-s+o=ch/A:-1+8+6/B:02-xx_xx/C:02_xx+xx/D:03+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
15325000 15725000 N^s-o+ch=u/A:-1+8+6/B:02-xx_xx/C:02_xx+xx/D:03+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
15725000 16925000 s^o-ch+u=u/A:0+9+5/B:02-xx_xx/C:03_xx+xx/D:13+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
16925000 17325000 o^ch-u+u=d/A:0+9+5/B:02-xx_xx/C:03_xx+xx/D:13+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
17325000 17925000 ch^u-u+d=o/A:1+10+4/B:02-xx_xx/C:03_xx+xx/D:13+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
17925000 18325000 u^u-d+o=k/A:2+11+3/B:02-xx_xx/C:03_xx+xx/D:13+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
18325000 18825000 u^d-o+k=u/A:2+11+3/B:02-xx_xx/C:03_xx+xx/D:13+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
18825000 19425000 d^o-k+u=n/A:3+12+2/B:02-xx_xx/C:03_xx+xx/D:13+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
19425000 19725000 o^k-u+n=i/A:3+12+2/B:02-xx_xx/C:03_xx+xx/D:13+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
19725000 20025000 k^u-n+i=n/A:4+13+1/B:03-xx_xx/C:13_xx+xx/D:20+1_2/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
20025000 20425000 u^n-i+n=a/A:4+13+1/B:03-xx_xx/C:13_xx+xx/D:20+1_2/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
20425000 21425000 n^i-n+a=r/A:0+1+3/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:13_9!0_xx-1/F:3_1#0_xx@2_4|14_17/G:2_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
21425000 22125000 i^n-a+r=u/A:0+1+3/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:13_9!0_xx-1/F:3_1#0_xx@2_4|14_17/G:2_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
22125000 22525000 n^a-r+u=t/A:1+2+2/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:13_9!0_xx-1/F:3_1#0_xx@2_4|14_17/G:2_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
22525000 23424999 a^r-u+t=o/A:1+2+2/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:13_9!0_xx-1/F:3_1#0_xx@2_4|14_17/G:2_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
23424999 23825000 r^u-t+o=y/A:2+3+1/B:20-1_2/C:13_xx+xx/D:20+1_2/E:13_9!0_xx-1/F:3_1#0_xx@2_4|14_17/G:2_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
23825000 24125000 u^t-o+y=u/A:2+3+1/B:20-1_2/C:13_xx+xx/D:20+1_2/E:13_9!0_xx-1/F:3_1#0_xx@2_4|14_17/G:2_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
24125000 25025000 t^o-y+u=u/A:-1+1+2/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@3_3|17_14/G:6_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
25025000 25525000 o^y-u+u=h/A:-1+1+2/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@3_3|17_14/G:6_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
25525000 25825000 y^u-u+h=a/A:0+2+1/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@3_3|17_14/G:6_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
25825000 26925000 u^u-h+a=p/A:0+1+6/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
26925000 27525000 u^h-a+p=u/A:0+1+6/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
27525000 28224999 h^a-p+u=n/A:1+2+5/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
28224999 28525000 a^p-u+n=i/A:1+2+5/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
28525000 29025000 p^u-n+i=N/A:2+3+4/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
29025000 29425000 u^n-i+N=g/A:2+3+4/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
29425000 30525000 n^i-N+g=u/A:3+4+3/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
30525000 30825000 i^N-g+u=w/A:4+5+2/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
30825000 31125000 N^g-u+w=a/A:4+5+2/B:20-1_2/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
31125000 31525000 g^u-w+a=o/A:5+6+1/B:02-xx_xx/C:24_xx+xx/D:20+3_0/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
31525000 31825000 u^w-a+o=k/A:5+6+1/B:02-xx_xx/C:24_xx+xx/D:20+3_0/E:2_2!0_xx-1/F:6_1#0_xx@4_2|19_12/G:6_2%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
31825000 33125000 w^a-o+k=i/A:-1+1+6/B:24-xx_xx/C:20_3+0/D:10+7_1/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
33125000 33825000 a^o-k+i=n/A:0+2+5/B:24-xx_xx/C:20_3+0/D:10+7_1/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
33825000 34125000 o^k-i+n=a/A:0+2+5/B:24-xx_xx/C:20_3+0/D:10+7_1/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
34125000 34825000 k^i-n+a=k/A:1+3+4/B:20-3_0/C:10_7+1/D:10+7_2/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
34825000 35525000 i^n-a+k=a/A:1+3+4/B:20-3_0/C:10_7+1/D:10+7_2/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
35525000 36225000 n^a-k+a=cl/A:2+4+3/B:20-3_0/C:10_7+1/D:10+7_2/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
36225000 36925000 a^k-a+cl=t/A:2+4+3/B:20-3_0/C:10_7+1/D:10+7_2/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
36925000 38025000 k^a-cl+t=a/A:3+5+2/B:20-3_0/C:10_7+1/D:10+7_2/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
38025000 38525000 a^cl-t+a=sil/A:4+6+1/B:10-7_1/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
38525000 39625000 cl^t-a+sil=xx/A:4+6+1/B:10-7_1/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:6_2#0_xx@5_1|25_6/G:xx_xx%xx_xx_xx/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
39625000 43025000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:6_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_30/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:2+6-33
