0 2725000 xx^xx-sil+n=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_6/K:2+4-18
19725000 21425000 e^my-u+N=e/A:-2+5+3/B:02-xx_xx/C:09_xx+xx/D:22+xx_xx/E:6_3!0_xx-0/F:7_7#0_xx@1_3|1_12/G:3_3%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
21425000 21725000 my^u-N+e=ry/A:-1+6+2/B:09-xx_xx/C:22_xx+xx/D:13+xx_xx/E:6_3!0_xx-0/F:7_7#0_xx@1_3|1_12/G:3_3%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
21725000 22925000 u^N-e+ry=o/A:0+7+1/B:22-xx_xx/C:13_xx+xx/D:03+xx_xx/E:6_3!0_xx-0/F:7_7#0_xx@1_3|1_12/G:3_3%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
22925000 23725000 N^e-ry+o=k/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:7_7!0_xx-1/F:3_3#0_xx@2_2|8_5/G:2_2%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
23725000 24325000 e^ry-o+k=o/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:7_7!0_xx-1/F:3_3#0_xx@2_2|8_5/G:2_2%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
24325000 25225000 ry^o-k+o=o/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:7_7!0_xx-1/F:3_3#0_xx@2_2|8_5/G:2_2%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
25225000 26725000 o^k-o+o=sh/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:7_7!0_xx-1/F:3_3#0_xx@2_2|8_5/G:2_2%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
26725000 27825000 k^o-o+sh=I/A:0+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:7_7!0_xx-1/F:3_3#0_xx@2_2|8_5/G:2_2%0_xx_1/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
27825000 28125000 o^o-sh+I=t/A:-1+1+2/B:03-xx_xx/C:20_4+1/D:10+7_2/E:3_3!0_xx-1/F:2_2#0_xx@3_1|11_2/G:xx_xx%xx_xx_xx/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
28125000 28625000 o^sh-I+t=a/A:-1+1+2/B:03-xx_xx/C:20_4+1/D:10+7_2/E:3_3!0_xx-1/F:2_2#0_xx@3_1|11_2/G:xx_xx%xx_xx_xx/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
28625000 29925000 sh^I-t+a=sil/A:0+2+1/B:20-4_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@3_1|11_2/G:xx_xx%xx_xx_xx/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
29925000 32225000 I^t-a+sil=xx/A:0+2+1/B:20-4_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@3_1|11_2/G:xx_xx%xx_xx_xx/H:1_6/I:3-12@2+1&2-3|7+12/J:xx_xx/K:2+4-18
