0 3525000 xx^xx-sil+w=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_22/K:1+5-22
10425000 11025000 t^o-m+o=n/A:1+3+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@2_4|5_18/G:5_5%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
11025000 11525000 o^m-o+n=i/A:1+3+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@2_4|5_18/G:5_5%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
11525000 12525000 m^o-n+i=w/A:2+4+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@2_4|5_18/G:5_5%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
12525000 12825000 o^n-i+w=a/A:2+4+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@2_4|5_18/G:5_5%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
12825000 13925000 n^i-w+a=sh/A:3+5+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@2_4|5_18/G:5_5%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
13925000 15525000 i^w-a+sh=i/A:3+5+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@2_4|5_18/G:5_5%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
15525000 17625000 w^a-sh+i=o/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
17625000 18225000 a^sh-i+o=z/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
18225000 19125000 sh^i-o+z=u/A:-3+2+4/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
19125000 20025000 i^o-z+u=k/A:-2+3+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
20025000 20425000 o^z-u+k=e/A:-2+3+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
20425000 21025000 z^u-k+e=n/A:-1+4+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
21025000 21825000 u^k-e+n=o/A:-1+4+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
21825000 22225000 k^e-n+o=ky/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
22225000 23025000 e^n-o+ky=u/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@3_3|10_13/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
23025000 24725000 n^o-ky+u=u/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_2|15_8/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
24725000 25525000 o^ky-u+u=r/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_2|15_8/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
25525000 25825000 ky^u-u+r=i/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_2|15_8/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
25825000 26125000 u^u-r+i=g/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_2|15_8/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
26125000 26825000 u^r-i+g=a/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@4_2|15_8/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
26825000 27125000 r^i-g+a=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:5_5!0_xx-1/F:4_1#0_xx@4_2|15_8/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
27125000 27625000 i^g-a+a=i/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:5_5!0_xx-1/F:4_1#0_xx@4_2|15_8/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
27625000 28925000 g^a-a+i=m/A:-2+1+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_3#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
28925000 29925000 a^a-i+m=a/A:-1+2+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_1!0_xx-1/F:4_3#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
29925000 30724999 a^i-m+a=s/A:0+3+2/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_3#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
30724999 31625000 i^m-a+s=U/A:0+3+2/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_3#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
31625000 34025000 m^a-s+U=sil/A:1+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_3#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
34025000 34325000 a^s-U+sil=xx/A:1+4+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:4_3#0_xx@5_1|19_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
34325000 35725000 s^U-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:4_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_22/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+5-22
