0 2125000 xx^xx-sil+r=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:10_7%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_18/K:1+3-18
13825000 15325000 w^a-t+o=o/A:-4+1+5/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
15325000 16325000 a^t-o+o=ky/A:-4+1+5/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
16325000 17525000 t^o-o+ky=o/A:-3+2+4/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
17525000 18025000 o^o-ky+o=o/A:-2+3+3/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
18025000 18425000 o^ky-o+o=n/A:-2+3+3/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
18425000 19225000 ky^o-o+n=o/A:-1+4+2/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
19225000 20325000 o^o-n+o=m/A:0+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
20325000 21725000 o^n-o+m=e/A:0+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:10_7!0_xx-1/F:5_5#0_xx@2_2|11_8/G:3_3%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
21725000 22925000 n^o-m+e=e/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:xx+xx_xx/E:5_5!0_xx-1/F:3_3#0_xx@3_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
22925000 23825000 o^m-e+e=sh/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:xx+xx_xx/E:5_5!0_xx-1/F:3_3#0_xx@3_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
