0 4525000 xx^xx-sil+n=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+3_0/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:8_29/K:1+8-29
32025000 32925000 ry^o-o+t=o/A:1+2+2/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@6_3|20_10/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
32925000 33725000 o^o-t+o=o/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@6_3|20_10/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
33725000 34625000 o^t-o+o=N/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@6_3|20_10/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
34625000 34925000 t^o-o+N=d/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@7_2|23_7/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
34925000 35725000 o^o-N+d=o/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@7_2|23_7/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
35725000 36325000 o^N-d+o=g/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@7_2|23_7/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
36325000 36825000 N^d-o+g=a/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@7_2|23_7/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
36825000 37225000 d^o-g+a=d/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:19+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@7_2|23_7/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
37225000 38625000 o^g-a+d=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:19+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@7_2|23_7/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
38625000 39125000 g^a-d+a=i/A:-2+1+3/B:13-xx_xx/C:19_xx+xx/D:xx+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@8_1|27_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
39125000 40125000 a^d-a+i=j/A:-2+1+3/B:13-xx_xx/C:19_xx+xx/D:xx+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@8_1|27_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
40125000 41325000 d^a-i+j=i/A:-1+2+2/B:13-xx_xx/C:19_xx+xx/D:xx+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@8_1|27_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
41325000 43125000 a^i-j+i=sil/A:0+3+1/B:13-xx_xx/C:19_xx+xx/D:xx+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@8_1|27_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
