0 3125000 xx^xx-sil+y=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:8_29/K:1+8-29
12125000 12925000 N^i-N+w=a/A:2+6+2/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
12925000 13325000 i^N-w+a=g/A:3+7+1/B:15-xx_xx/C:24_xx+xx/D:03+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
13325000 14025000 N^w-a+g=o/A:3+7+1/B:15-xx_xx/C:24_xx+xx/D:03+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
14025000 14925000 w^a-g+o=o/A:0+1+4/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_4!0_xx-1/F:4_1#0_xx@3_6|11_19/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
14925000 16525000 a^g-o+o=g/A:0+1+4/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_4!0_xx-1/F:4_1#0_xx@3_6|11_19/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
16525000 17025000 g^o-o+g=i/A:1+2+3/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_4!0_xx-1/F:4_1#0_xx@3_6|11_19/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
17025000 17725000 o^o-g+i=o/A:2+3+2/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_4!0_xx-1/F:4_1#0_xx@3_6|11_19/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
17725000 18225000 o^g-i+o=s/A:2+3+2/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_4!0_xx-1/F:4_1#0_xx@3_6|11_19/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
18225000 19725000 g^i-o+s=u/A:3+4+1/B:03-xx_xx/C:13_xx+xx/D:20+4_2/E:7_4!0_xx-1/F:4_1#0_xx@3_6|11_19/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
19725000 20025000 i^o-s+u=r/A:-1+1+2/B:13-xx_xx/C:20_4+2/D:22+xx_xx/E:4_1!0_xx-1/F:2_2#0_xx@4_5|15_15/G:3_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
20025000 20325000 o^s-u+r=u/A:-1+1+2/B:13-xx_xx/C:20_4+2/D:22+xx_xx/E:4_1!0_xx-1/F:2_2#0_xx@4_5|15_15/G:3_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
20325000 21025000 s^u-r+u=t/A:0+2+1/B:13-xx_xx/C:20_4+2/D:22+xx_xx/E:4_1!0_xx-1/F:2_2#0_xx@4_5|15_15/G:3_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
21025000 21525000 u^r-u+t=a/A:0+2+1/B:13-xx_xx/C:20_4+2/D:22+xx_xx/E:4_1!0_xx-1/F:2_2#0_xx@4_5|15_15/G:3_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
21525000 22125000 r^u-t+a=m/A:-1+1+3/B:20-4_2/C:22_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@5_4|17_13/G:5_5%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
22125000 22825000 u^t-a+m=e/A:-1+1+3/B:20-4_2/C:22_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@5_4|17_13/G:5_5%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
22825000 23125000 t^a-m+e=n/A:0+2+2/B:20-4_2/C:22_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@5_4|17_13/G:5_5%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
23125000 23825000 a^m-e+n=i/A:0+2+2/B:20-4_2/C:22_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@5_4|17_13/G:5_5%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
23825000 24125000 m^e-n+i=h/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@5_4|17_13/G:5_5%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
24125000 25125000 e^n-i+h=o/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@5_4|17_13/G:5_5%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
25125000 26625000 n^i-h+o=o/A:-4+1+5/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@6_3|20_10/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
26625000 27525000 i^h-o+o=t/A:-4+1+5/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@6_3|20_10/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
27525000 28424999 h^o-o+t=e/A:-3+2+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@6_3|20_10/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
28424999 29925000 o^o-t+e=e/A:-2+3+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@6_3|20_10/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
29925000 30325000 o^t-e+e=o/A:-2+3+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@6_3|20_10/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
30325000 31225000 t^e-e+o=d/A:-1+4+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@6_3|20_10/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
31225000 31625000 e^e-o+d=e/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:3_2!0_xx-1/F:5_5#0_xx@6_3|20_10/G:2_2%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
31625000 32425000 e^o-d+e=t/A:-1+1+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:2_2#0_xx@7_2|25_5/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
32425000 33424999 o^d-e+t=e/A:-1+1+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:2_2#0_xx@7_2|25_5/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
33424999 34325000 d^e-t+e=i/A:0+2+1/B:20-3_1/C:12_xx+xx/D:17+1_1/E:5_5!0_xx-1/F:2_2#0_xx@7_2|25_5/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
34325000 35025000 e^t-e+i=cl/A:0+2+1/B:20-3_1/C:12_xx+xx/D:17+1_1/E:5_5!0_xx-1/F:2_2#0_xx@7_2|25_5/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
35025000 36225000 t^e-i+cl=t/A:-2+1+3/B:12-xx_xx/C:17_1+1/D:10+7_2/E:2_2!0_xx-1/F:3_3#0_xx@8_1|27_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
36225000 43025000 e^i-cl+t=a/A:-1+2+2/B:12-xx_xx/C:17_1+1/D:10+7_2/E:2_2!0_xx-1/F:3_3#0_xx@8_1|27_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
