0 2225000 xx^xx-sil+m=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_24/K:1+6-24
21025000 21425000 a^k-U+t=o/A:-1+4+2/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
21425000 22125000 k^U-t+o=t/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
22125000 22525000 U^t-o+t=a/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
22525000 23224999 t^o-t+a=i/A:0+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:3_1#0_xx@5_2|20_5/G:2_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
23224999 24225000 o^t-a+i=j/A:0+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:3_1#0_xx@5_2|20_5/G:2_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
24225000 24725000 t^a-i+j=i/A:1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:3_1#0_xx@5_2|20_5/G:2_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
24725000 25525000 a^i-j+i=s/A:2+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:3_1#0_xx@5_2|20_5/G:2_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
25525000 25924999 i^j-i+s=u/A:2+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_5!0_xx-1/F:3_1#0_xx@5_2|20_5/G:2_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
25924999 26825000 j^i-s+u=r/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@6_1|23_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
26825000 27525000 i^s-u+r=u/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@6_1|23_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
27525000 28224999 s^u-r+u=sil/A:0+2+1/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@6_1|23_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
28224999 29525000 u^r-u+sil=xx/A:0+2+1/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@6_1|23_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
29525000 34225000 r^u-sil+xx=xx/A:xx+xx+xx/B:20-4_2/C:xx_xx+xx/D:xx+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:6_24/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+6-24
