0 3125000 xx^xx-sil+h=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_22/K:1+5-22
10425000 11025000 d^o-cl+ch=i/A:1+2+3/B:13-xx_xx/C:04_xx+xx/D:23+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_4|6_17/G:3_2%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
11025000 11725000 o^cl-ch+i=n/A:2+3+2/B:13-xx_xx/C:04_xx+xx/D:23+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_4|6_17/G:3_2%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
11725000 12024999 cl^ch-i+n=o/A:2+3+2/B:13-xx_xx/C:04_xx+xx/D:23+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_4|6_17/G:3_2%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
12024999 12525000 ch^i-n+o=h/A:3+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_4|6_17/G:3_2%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
12525000 12825000 i^n-o+h=e/A:3+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_4|6_17/G:3_2%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
12825000 13625000 n^o-h+e=y/A:-1+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_3|10_13/G:5_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
13625000 13925000 o^h-e+y=a/A:-1+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_3|10_13/G:5_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
13925000 14725000 h^e-y+a=e/A:0+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_3|10_13/G:5_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
14725000 15425000 e^y-a+e=h/A:0+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@3_3|10_13/G:5_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
15425000 16025000 y^a-e+h=a/A:1+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:3_2#0_xx@3_3|10_13/G:5_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
16025000 17325000 a^e-h+a=i/A:0+1+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
17325000 18025000 e^h-a+i=cl/A:0+1+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
18025000 18625000 h^a-i+cl=t/A:1+2+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
18625000 19225000 a^i-cl+t=a/A:2+3+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
19225000 19825000 i^cl-t+a=k/A:3+4+2/B:20-1_1/C:10_7+2/D:23+xx_xx/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
19825000 20325000 cl^t-a+k=a/A:3+4+2/B:20-1_1/C:10_7+2/D:23+xx_xx/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
20325000 20924999 t^a-k+a=w/A:4+5+1/B:10-7_2/C:23_xx+xx/D:20+1_0/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
20924999 21725000 a^k-a+w=a/A:4+5+1/B:10-7_2/C:23_xx+xx/D:20+1_0/E:3_2!0_xx-1/F:5_1#0_xx@4_2|13_10/G:5_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
21725000 22325000 k^a-w+a=k/A:-2+1+5/B:23-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
22325000 23025000 a^w-a+k=a/A:-2+1+5/B:23-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
23025000 23625000 w^a-k+a=r/A:-1+2+4/B:23-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
23625000 24025000 a^k-a+r=a/A:-1+2+4/B:23-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
24025000 24325000 k^a-r+a=n/A:0+3+3/B:23-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
24325000 25125000 a^r-a+n=a/A:0+3+3/B:23-xx_xx/C:20_1+0/D:10+7_2/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
25125000 25825000 r^a-n+a=i/A:1+4+2/B:20-1_0/C:10_7+2/D:xx+xx_xx/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
25825000 26625000 a^n-a+i=sil/A:1+4+2/B:20-1_0/C:10_7+2/D:xx+xx_xx/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
26625000 27825000 n^a-i+sil=xx/A:2+5+1/B:20-1_0/C:10_7+2/D:xx+xx_xx/E:5_1!0_xx-1/F:5_3#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
27825000 30325000 a^i-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:5_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_22/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+5-22
