0 625000 xx^xx-sil+m=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:1+5-18
4525000 4825000 o^ry-o+k=u/A:-2+3+3/B:23-xx_xx/C:03_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
4825000 5125000 ry^o-k+u=n/A:-1+4+2/B:23-xx_xx/C:03_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
5125000 5425000 o^k-u+n=o/A:-1+4+2/B:23-xx_xx/C:03_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
5425000 5725000 k^u-n+o=o/A:0+5+1/B:03-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
5725000 6025000 u^n-o+o=k/A:0+5+1/B:03-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
6025000 6525000 n^o-o+k=a/A:-3+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|9_10/G:3_3%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
6525000 7325000 o^o-k+a=g/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|9_10/G:3_3%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
7325000 7825000 o^k-a+g=e/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|9_10/G:3_3%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
7825000 8225000 k^a-g+e=d/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|9_10/G:3_3%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
8225000 9225000 a^g-e+d=e/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|9_10/G:3_3%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
9225000 9625000 g^e-d+e=k/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|9_10/G:3_3%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
9625000 10525000 e^d-e+k=I/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@3_3|9_10/G:3_3%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
10525000 11325000 d^e-k+I=ky/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+3_1/E:4_4!0_xx-1/F:3_3#0_xx@4_2|13_6/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
11325000 11725000 e^k-I+ky=o/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+3_1/E:4_4!0_xx-1/F:3_3#0_xx@4_2|13_6/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
11725000 12825000 k^I-ky+o=o/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+3_1/E:4_4!0_xx-1/F:3_3#0_xx@4_2|13_6/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
12825000 14025000 I^ky-o+o=d/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+3_1/E:4_4!0_xx-1/F:3_3#0_xx@4_2|13_6/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
14025000 14524999 ky^o-o+d=e/A:0+3+1/B:13-xx_xx/C:03_xx+xx/D:20+3_1/E:4_4!0_xx-1/F:3_3#0_xx@4_2|13_6/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
14524999 15225000 o^o-d+e=k/A:-1+1+3/B:03-xx_xx/C:20_3+1/D:10+7_2/E:3_3!0_xx-1/F:3_2#0_xx@5_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
15225000 15825000 o^d-e+k=i/A:-1+1+3/B:03-xx_xx/C:20_3+1/D:10+7_2/E:3_3!0_xx-1/F:3_2#0_xx@5_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
15825000 16125000 d^e-k+i=t/A:0+2+2/B:03-xx_xx/C:20_3+1/D:10+7_2/E:3_3!0_xx-1/F:3_2#0_xx@5_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
16125000 16825000 e^k-i+t=a/A:0+2+2/B:03-xx_xx/C:20_3+1/D:10+7_2/E:3_3!0_xx-1/F:3_2#0_xx@5_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
16825000 17825000 k^i-t+a=sil/A:1+3+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@5_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
17825000 19625000 i^t-a+sil=xx/A:1+3+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@5_1|16_3/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
