0 4225000 xx^xx-sil+i=b/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_16/K:2+8-35
27125000 27725000 k^o-h+a=k/A:-4+2+5/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
27725000 28525000 o^h-a+k=U/A:-4+2+5/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
28525000 29325000 h^a-k+U=sh/A:-3+3+4/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
29325000 30125000 a^k-U+sh=o/A:-3+3+4/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
30125000 30924999 k^U-sh+o=k/A:-2+4+3/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
30924999 31825000 U^sh-o+k=u/A:-2+4+3/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
31825000 32125000 sh^o-k+u=n/A:-1+5+2/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
32125000 32825000 o^k-u+n=o/A:-1+5+2/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
32825000 33725000 k^u-n+o=d/A:0+6+1/B:15-xx_xx/C:23_xx+xx/D:02+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
33725000 34125000 u^n-o+d=o/A:0+6+1/B:15-xx_xx/C:23_xx+xx/D:02+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
34125000 34725000 n^o-d+o=r/A:0+1+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
34725000 35125000 o^d-o+r=a/A:0+1+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
35125000 36125000 d^o-r+a=g/A:1+2+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
36125000 36425000 o^r-a+g=o/A:1+2+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
36425000 37225000 r^a-g+o=N/A:2+3+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
37225000 38025000 a^g-o+N=g/A:2+3+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
38025000 38425000 g^o-N+g=a/A:3+4+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
38425000 39125000 o^N-g+a=gy/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:06+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
39125000 40725000 N^g-a+gy=u/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:06+xx_xx/E:6_6!0_xx-1/F:5_1#0_xx@2_4|7_13/G:1_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
40725000 41224999 g^a-gy+u=N/A:0+1+1/B:13-xx_xx/C:06_xx+xx/D:22+xx_xx/E:5_1!0_xx-1/F:1_1#0_xx@3_3|12_8/G:2_2%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
41224999 42225000 a^gy-u+N=t/A:0+1+1/B:13-xx_xx/C:06_xx+xx/D:22+xx_xx/E:5_1!0_xx-1/F:1_1#0_xx@3_3|12_8/G:2_2%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
42225000 43025000 gy^u-N+t=o/A:-1+1+2/B:06-xx_xx/C:22_xx+xx/D:13+xx_xx/E:1_1!0_xx-1/F:2_2#0_xx@4_2|13_7/G:5_4%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
43025000 43324999 u^N-t+o=a/A:0+2+1/B:22-xx_xx/C:13_xx+xx/D:20+3_1/E:1_1!0_xx-1/F:2_2#0_xx@4_2|13_7/G:5_4%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
43324999 44125000 N^t-o+a=r/A:0+2+1/B:22-xx_xx/C:13_xx+xx/D:20+3_1/E:1_1!0_xx-1/F:2_2#0_xx@4_2|13_7/G:5_4%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
44125000 44625000 t^o-a+r=a/A:-3+1+5/B:13-xx_xx/C:20_3+1/D:10+7_2/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
44625000 45425000 o^a-r+a=w/A:-2+2+4/B:13-xx_xx/C:20_3+1/D:10+7_2/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
45425000 45824999 a^r-a+w=a/A:-2+2+4/B:13-xx_xx/C:20_3+1/D:10+7_2/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
45824999 46325000 r^a-w+a=r/A:-1+3+3/B:13-xx_xx/C:20_3+1/D:10+7_2/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
46325000 46725000 a^w-a+r=e/A:-1+3+3/B:13-xx_xx/C:20_3+1/D:10+7_2/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
46725000 47525000 w^a-r+e=t/A:0+4+2/B:13-xx_xx/C:20_3+1/D:10+7_2/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
47525000 48225000 a^r-e+t=a/A:0+4+2/B:13-xx_xx/C:20_3+1/D:10+7_2/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
48225000 49125000 r^e-t+a=sil/A:1+5+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
49125000 58025000 e^t-a+sil=xx/A:1+5+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:2_2!0_xx-1/F:5_4#0_xx@5_1|15_5/G:xx_xx%xx_xx_xx/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
