0 1225000 xx^xx-sil+sh=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:1+5-18
14925000 15725000 n^i-u+s=o/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@4_2|12_7/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
15725000 16925000 i^u-s+o=w/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@4_2|12_7/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
16925000 17425000 u^s-o+w=a/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@4_2|12_7/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
17425000 17925000 s^o-w+a=n/A:2+3+1/B:02-xx_xx/C:24_xx+xx/D:01+7_1/E:4_3!0_xx-1/F:3_1#0_xx@4_2|12_7/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
17925000 18425000 o^w-a+n=a/A:2+3+1/B:02-xx_xx/C:24_xx+xx/D:01+7_1/E:4_3!0_xx-1/F:3_1#0_xx@4_2|12_7/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
18425000 19125000 w^a-n+a=k/A:0+1+4/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_1#0_xx@5_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
19125000 19925000 a^n-a+k=a/A:0+1+4/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_1#0_xx@5_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
19925000 20625000 n^a-k+a=cl/A:1+2+3/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_1#0_xx@5_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
20625000 21525000 a^k-a+cl=t/A:1+2+3/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_1#0_xx@5_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
21525000 22525000 k^a-cl+t=a/A:2+3+2/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_1#0_xx@5_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
22525000 23125000 a^cl-t+a=sil/A:3+4+1/B:01-7_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@5_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
23125000 24325000 cl^t-a+sil=xx/A:3+4+1/B:01-7_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@5_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
24325000 26325000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:4_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_18/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+5-18
