0 4625000 xx^xx-sil+s=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_24/K:1+4-24
22925000 23625000 e^N-t+o=o/A:4+5+2/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:6_1#0_xx@3_2|12_13/G:7_3%0_xx_1/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
23625000 24125000 N^t-o+o=t/A:4+5+2/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:6_1#0_xx@3_2|12_13/G:7_3%0_xx_1/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
24125000 24925000 t^o-o+t=a/A:5+6+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:5_2!0_xx-1/F:6_1#0_xx@3_2|12_13/G:7_3%0_xx_1/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
24925000 25625000 o^o-t+a=z/A:-2+1+7/B:13-xx_xx/C:20_3+1/D:20+1_1/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
25625000 26125000 o^t-a+z=u/A:-2+1+7/B:13-xx_xx/C:20_3+1/D:20+1_1/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
26125000 27325000 t^a-z+u=n/A:-1+2+6/B:13-xx_xx/C:20_3+1/D:20+1_1/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
27325000 27625000 a^z-u+n=e/A:-1+2+6/B:13-xx_xx/C:20_3+1/D:20+1_1/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
27625000 28025000 z^u-n+e=a/A:0+3+5/B:13-xx_xx/C:20_3+1/D:20+1_1/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
28025000 28325000 u^n-e+a=r/A:0+3+5/B:13-xx_xx/C:20_3+1/D:20+1_1/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
28325000 29725000 n^e-a+r=u/A:1+4+4/B:20-3_1/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
29725000 30325000 e^a-r+u=i/A:2+5+3/B:20-3_1/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
30325000 30825000 a^r-u+i=t/A:2+5+3/B:20-3_1/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
30825000 31725000 r^u-i+t=a/A:3+6+2/B:20-3_1/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
31725000 32525000 u^i-t+a=sil/A:4+7+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
32525000 33424999 i^t-a+sil=xx/A:4+7+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:7_3#0_xx@4_1|18_7/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-24@1+1&1-4|1+24/J:xx_xx/K:1+4-24
33424999 35025000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:7_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:4_24/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+4-24
