0 3525000 xx^xx-sil+h=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:9_7%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_18/K:1+3-18
17625000 18325000 t^a-i+a=N/A:-3+2+4/B:10-7_1/C:02_xx+xx/D:24+xx_xx/E:9_7!0_xx-1/F:5_5#0_xx@2_2|10_9/G:4_1%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
18325000 18725000 a^i-a+N=m/A:-2+3+3/B:10-7_1/C:02_xx+xx/D:24+xx_xx/E:9_7!0_xx-1/F:5_5#0_xx@2_2|10_9/G:4_1%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
18725000 19225000 i^a-N+m=o/A:-1+4+2/B:10-7_1/C:02_xx+xx/D:24+xx_xx/E:9_7!0_xx-1/F:5_5#0_xx@2_2|10_9/G:4_1%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
19225000 19925000 a^N-m+o=d/A:0+5+1/B:02-xx_xx/C:24_xx+xx/D:20+1_2/E:9_7!0_xx-1/F:5_5#0_xx@2_2|10_9/G:4_1%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
19925000 20325000 N^m-o+d=a/A:0+5+1/B:02-xx_xx/C:24_xx+xx/D:20+1_2/E:9_7!0_xx-1/F:5_5#0_xx@2_2|10_9/G:4_1%0_xx_1/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
20325000 20924999 m^o-d+a=s/A:0+1+4/B:24-xx_xx/C:20_1+2/D:10+6_3/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
20924999 22025000 o^d-a+s=u/A:0+1+4/B:24-xx_xx/C:20_1+2/D:10+6_3/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
22025000 22325000 d^a-s+u=b/A:1+2+3/B:24-xx_xx/C:20_1+2/D:10+6_3/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
22325000 22725000 a^s-u+b=e/A:1+2+3/B:24-xx_xx/C:20_1+2/D:10+6_3/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
22725000 23725000 s^u-b+e=k/A:2+3+2/B:20-1_2/C:10_6+3/D:xx+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
23725000 24325000 u^b-e+k=i/A:2+3+2/B:20-1_2/C:10_6+3/D:xx+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
24325000 25425000 b^e-k+i=sil/A:3+4+1/B:20-1_2/C:10_6+3/D:xx+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
25425000 27225000 e^k-i+sil=xx/A:3+4+1/B:20-1_2/C:10_6+3/D:xx+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@3_1|15_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:3-18@1+1&1-3|1+18/J:xx_xx/K:1+3-18
