0 3025000 xx^xx-sil+ky=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_11/K:2+8-21
16325000 17025000 e^n-i+pau=z/A:1+2+1/B:09-xx_xx/C:13_xx+xx/D:02+xx_xx/E:1_1!0_xx-1/F:2_1#0_xx@4_1|10_2/G:3_1%0_xx_0/H:xx_xx/I:4-11@1+2&1-8|1+21/J:4_10/K:2+8-21
17025000 18925000 n^i-pau+z=a/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:4_11/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_10/K:2+8-21
18925000 19925000 i^pau-z+a=r/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_4|1_10/G:2_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
19925000 20525000 pau^z-a+r=i/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_4|1_10/G:2_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
20525000 20924999 z^a-r+i=py/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_4|1_10/G:2_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
20924999 21425000 a^r-i+py=e/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_4|1_10/G:2_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
21425000 22525000 r^i-py+e=k/A:2+3+1/B:02-xx_xx/C:09_xx+xx/D:08+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_4|1_10/G:2_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
22525000 23825000 i^py-e+k=a/A:2+3+1/B:02-xx_xx/C:09_xx+xx/D:08+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_4|1_10/G:2_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
23825000 24525000 py^e-k+a=r/A:0+1+2/B:09-xx_xx/C:08_xx+xx/D:09+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_3|4_7/G:3_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
24525000 25025000 e^k-a+r=a/A:0+1+2/B:09-xx_xx/C:08_xx+xx/D:09+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_3|4_7/G:3_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
25025000 25325000 k^a-r+a=my/A:1+2+1/B:09-xx_xx/C:08_xx+xx/D:09+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_3|4_7/G:3_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
25325000 25825000 a^r-a+my=e/A:1+2+1/B:09-xx_xx/C:08_xx+xx/D:09+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_3|4_7/G:3_1%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
25825000 27325000 r^a-my+e=i/A:0+1+3/B:08-xx_xx/C:09_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:3_1#0_xx@3_2|6_5/G:2_2%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
27325000 27625000 a^my-e+i=n/A:0+1+3/B:08-xx_xx/C:09_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:3_1#0_xx@3_2|6_5/G:2_2%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
27625000 28625000 my^e-i+n=i/A:1+2+2/B:08-xx_xx/C:09_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:3_1#0_xx@3_2|6_5/G:2_2%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
28625000 29325000 e^i-n+i=i/A:2+3+1/B:09-xx_xx/C:13_xx+xx/D:20+1_2/E:2_1!0_xx-1/F:3_1#0_xx@3_2|6_5/G:2_2%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
29325000 29725000 i^n-i+i=k/A:2+3+1/B:09-xx_xx/C:13_xx+xx/D:20+1_2/E:2_1!0_xx-1/F:3_1#0_xx@3_2|6_5/G:2_2%0_xx_1/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
29725000 30325000 n^i-i+k=u/A:-1+1+2/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@4_1|9_2/G:xx_xx%xx_xx_xx/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
30325000 31125000 i^i-k+u=sil/A:0+2+1/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@4_1|9_2/G:xx_xx%xx_xx_xx/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
31125000 32425000 i^k-u+sil=xx/A:0+2+1/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@4_1|9_2/G:xx_xx%xx_xx_xx/H:4_11/I:4-10@2+1&5-4|12+10/J:xx_xx/K:2+8-21
32425000 36525000 k^u-sil+xx=xx/A:xx+xx+xx/B:20-1_2/C:xx_xx+xx/D:xx+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:4_10/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:2+8-21
