0 1925000 xx^xx-sil+y=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_26/K:1+6-26
14325000 14925000 my^u-N+h=e/A:1+2+4/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
14925000 15225000 u^N-h+e=N/A:2+3+3/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
15225000 16125000 N^h-e+N=n/A:2+3+3/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
16125000 16825000 h^e-N+n=o/A:3+4+2/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
16825000 17125000 e^N-n+o=h/A:4+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
17125000 17625000 N^n-o+h=I/A:4+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
17625000 18425000 n^o-h+I=t/A:-1+1+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
18425000 18725000 o^h-I+t=o/A:-1+1+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
18725000 19325000 h^I-t+o=t/A:0+2+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
19325000 19825000 I^t-o+t=a/A:0+2+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
19825000 20225000 t^o-t+a=ch/A:1+3+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
20225000 21025000 o^t-a+ch=i/A:1+3+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
21025000 22025000 t^a-ch+i=g/A:2+4+2/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
22025000 22325000 a^ch-i+g=a/A:2+4+2/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
22325000 22625000 ch^i-g+a=k/A:3+5+1/B:15-xx_xx/C:13_xx+xx/D:03+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
22625000 23925000 i^g-a+k=o/A:3+5+1/B:15-xx_xx/C:13_xx+xx/D:03+xx_xx/E:5_1!0_xx-1/F:5_2#0_xx@4_3|13_14/G:5_5%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
23925000 25225000 g^a-k+o=o/A:-4+1+5/B:13-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
25225000 26525000 a^k-o+o=g/A:-4+1+5/B:13-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
26525000 27025000 k^o-o+g=e/A:-3+2+4/B:13-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
27025000 27825000 o^o-g+e=k/A:-2+3+3/B:13-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
27825000 28525000 o^g-e+k=i/A:-2+3+3/B:13-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
28525000 28925000 g^e-k+i=o/A:-1+4+2/B:13-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
28925000 29825000 e^k-i+o=sh/A:-1+4+2/B:13-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
29825000 30525000 k^i-o+sh=I/A:0+5+1/B:03-xx_xx/C:13_xx+xx/D:20+3_1/E:5_2!0_xx-1/F:5_5#0_xx@5_2|18_9/G:4_3%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
30525000 30825000 i^o-sh+I=k/A:-2+1+4/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
30825000 31325000 o^sh-I+k=a/A:-2+1+4/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
31325000 31925000 sh^I-k+a=k/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
31925000 32525000 I^k-a+k=e/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
32525000 33224999 k^a-k+e=t/A:0+3+2/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
33224999 33825000 a^k-e+t=a/A:0+3+2/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
33825000 34825000 k^e-t+a=sil/A:1+4+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
34825000 39125000 e^t-a+sil=xx/A:1+4+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_3#0_xx@6_1|23_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
