0 2425000 xx^xx-sil+s=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_24/K:1+6-24
19325000 19925000 o^r-i+n=i/A:3+6+2/B:20-1_1/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
19925000 20225000 r^i-n+i=n/A:4+7+1/B:15-xx_xx/C:13_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
20225000 20625000 i^n-i+n=e/A:4+7+1/B:15-xx_xx/C:13_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
20625000 21425000 n^i-n+e=r/A:-2+1+3/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:7_3!0_xx-1/F:3_3#0_xx@4_3|16_9/G:4_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
21425000 22425000 i^n-e+r=a/A:-2+1+3/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:7_3!0_xx-1/F:3_3#0_xx@4_3|16_9/G:4_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
22425000 22825000 n^e-r+a=u/A:-1+2+2/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:7_3!0_xx-1/F:3_3#0_xx@4_3|16_9/G:4_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
22825000 24025000 e^r-a+u=g/A:-1+2+2/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:7_3!0_xx-1/F:3_3#0_xx@4_3|16_9/G:4_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
24025000 24825000 r^a-u+g=i/A:0+3+1/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:7_3!0_xx-1/F:3_3#0_xx@4_3|16_9/G:4_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
24825000 25125000 a^u-g+i=j/A:0+1+4/B:20-1_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
25125000 26025000 u^g-i+j=u/A:0+1+4/B:20-1_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
26025000 26525000 g^i-j+u=ts/A:1+2+3/B:20-1_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
26525000 26925000 i^j-u+ts=u/A:1+2+3/B:20-1_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
26925000 28025000 j^u-ts+u=g/A:2+3+2/B:20-1_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
28025000 28424999 u^ts-u+g=a/A:2+3+2/B:20-1_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
28424999 28725000 ts^u-g+a=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
28725000 29325000 u^g-a+a=r/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:3_3!0_xx-1/F:4_1#0_xx@5_2|19_6/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
29325000 30325000 g^a-a+r=u/A:0+1+2/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:4_1!0_xx-1/F:2_1#0_xx@6_1|23_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
30325000 30724999 a^a-r+u=sil/A:1+2+1/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:4_1!0_xx-1/F:2_1#0_xx@6_1|23_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
30724999 31625000 a^r-u+sil=xx/A:1+2+1/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:4_1!0_xx-1/F:2_1#0_xx@6_1|23_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
31625000 32725000 r^u-sil+xx=xx/A:xx+xx+xx/B:20-1_2/C:xx_xx+xx/D:xx+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:6_24/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+6-24
