0 1225000 xx^xx-sil+p=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_21/K:1+5-21
18125000 18525000 a^y-u+u=sh/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@4_2|13_9/G:5_5%1_xx_1/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
18525000 19925000 y^u-u+sh=o/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@4_2|13_9/G:5_5%1_xx_1/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
19925000 20724999 u^u-sh+o=o/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@4_2|13_9/G:5_5%1_xx_1/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
20724999 22225000 u^sh-o+o=s/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@4_2|13_9/G:5_5%1_xx_1/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
22225000 22625000 sh^o-o+s=u/A:0+4+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@4_2|13_9/G:5_5%1_xx_1/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
22625000 23224999 o^o-s+u=r/A:-4+1+5/B:03-xx_xx/C:20_4+2/D:10+7_0/E:4_4!0_xx-1/F:5_5#1_xx@5_1|17_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
23224999 23625000 o^s-u+r=u/A:-4+1+5/B:03-xx_xx/C:20_4+2/D:10+7_0/E:4_4!0_xx-1/F:5_5#1_xx@5_1|17_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
23625000 24425000 s^u-r+u=d/A:-3+2+4/B:03-xx_xx/C:20_4+2/D:10+7_0/E:4_4!0_xx-1/F:5_5#1_xx@5_1|17_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
24425000 25125000 u^r-u+d=a/A:-3+2+4/B:03-xx_xx/C:20_4+2/D:10+7_0/E:4_4!0_xx-1/F:5_5#1_xx@5_1|17_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
25125000 26025000 r^u-d+a=r/A:-2+3+3/B:20-4_2/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:5_5#1_xx@5_1|17_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
26025000 27925000 u^d-a+r=o/A:-2+3+3/B:20-4_2/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:5_5#1_xx@5_1|17_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
27925000 30025000 d^a-r+o=o/A:-1+4+2/B:20-4_2/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:5_5#1_xx@5_1|17_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-21@1+1&1-5|1+21/J:xx_xx/K:1+5-21
