0 3825000 xx^xx-sil+f=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_6/K:2+5-18
23625000 24125000 g^e-g+a=s/A:3+4+1/B:03-xx_xx/C:13_xx+xx/D:19+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_5%0_xx_1/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
24125000 25425000 e^g-a+s=a/A:3+4+1/B:03-xx_xx/C:13_xx+xx/D:19+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_5%0_xx_1/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
25425000 25924999 g^a-s+a=k/A:-4+1+5/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
25924999 26625000 a^s-a+k=a/A:-4+1+5/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
26625000 26925000 s^a-k+a=s/A:-3+2+4/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
26925000 27725000 a^k-a+s=a/A:-3+2+4/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
27725000 28125000 k^a-s+a=m/A:-2+3+3/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
28125000 29025000 a^s-a+m=a/A:-2+3+3/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
29025000 29425000 s^a-m+a=d/A:-1+4+2/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
29425000 29825000 a^m-a+d=a/A:-1+4+2/B:13-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
29825000 31125000 m^a-d+a=sil/A:0+5+1/B:19-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
31125000 36425000 a^d-a+sil=xx/A:0+5+1/B:19-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_6/I:3-12@2+1&3-3|7+12/J:xx_xx/K:2+5-18
