0 4525000 xx^xx-sil+h=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_8/K:2+6-27
31025000 31525000 n^o-s+a=h/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@3_3|11_9/G:3_3%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
31525000 33025000 o^s-a+h=o/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@3_3|11_9/G:3_3%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
33025000 33625000 s^a-h+o=o/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@3_3|11_9/G:3_3%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
33625000 35225000 a^h-o+o=o/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@3_3|11_9/G:3_3%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
35225000 35525000 h^o-o+o=sh/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@3_3|11_9/G:3_3%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
35525000 36125000 o^o-o+sh=i/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:8_4!0_xx-1/F:4_1#0_xx@3_3|11_9/G:3_3%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
36125000 36625000 o^o-sh+i=cl/A:-2+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@4_2|15_5/G:2_2%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
36625000 37825000 o^sh-i+cl=t/A:-2+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@4_2|15_5/G:2_2%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
37825000 38125000 sh^i-cl+t=e/A:-1+2+2/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@4_2|15_5/G:2_2%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
38125000 38425000 i^cl-t+e=i/A:0+3+1/B:20-1_1/C:12_xx+xx/D:17+3_2/E:4_1!0_xx-1/F:3_3#0_xx@4_2|15_5/G:2_2%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
38425000 39825000 cl^t-e+i=r/A:0+3+1/B:20-1_1/C:12_xx+xx/D:17+3_2/E:4_1!0_xx-1/F:3_3#0_xx@4_2|15_5/G:2_2%0_xx_1/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
39825000 44825000 t^e-i+r=u/A:-1+1+2/B:12-xx_xx/C:17_3+2/D:xx+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@5_1|18_2/G:xx_xx%xx_xx_xx/H:1_8/I:5-19@2+1&2-5|9+19/J:xx_xx/K:2+6-27
