0 3225000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:9_7%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_27/K:1+5-27
15225000 16425000 i^o-i+t=e/A:1+2+2/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:9_7!0_xx-1/F:3_1#0_xx@2_4|10_18/G:6_3%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
16425000 16725000 o^i-t+e=py/A:2+3+1/B:20-1_1/C:12_xx+xx/D:18+xx_xx/E:9_7!0_xx-1/F:3_1#0_xx@2_4|10_18/G:6_3%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
16725000 19325000 i^t-e+py=U/A:2+3+1/B:20-1_1/C:12_xx+xx/D:18+xx_xx/E:9_7!0_xx-1/F:3_1#0_xx@2_4|10_18/G:6_3%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
19325000 20325000 t^e-py+U=t/A:-2+1+6/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
20325000 20625000 e^py-U+t=a/A:-2+1+6/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
20625000 21325000 py^U-t+a=g/A:-1+2+5/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
21325000 21925000 U^t-a+g=o/A:-1+2+5/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
21925000 22225000 t^a-g+o=r/A:0+3+4/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
22225000 22925000 a^g-o+r=a/A:0+3+4/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
22925000 23424999 g^o-r+a=s/A:1+4+3/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
23424999 24225000 o^r-a+s=u/A:1+4+3/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
24225000 25325000 r^a-s+u=n/A:2+5+2/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
25325000 25625000 a^s-u+n=o/A:2+5+2/B:12-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
25625000 25924999 s^u-n+o=t/A:3+6+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
25924999 27025000 u^n-o+t=e/A:3+6+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:6_3#0_xx@3_3|13_15/G:4_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
27025000 27425000 n^o-t+e=e/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@4_2|19_9/G:5_4%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
27425000 29025000 o^t-e+e=r/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@4_2|19_9/G:5_4%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
29025000 29325000 t^e-e+r=i/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@4_2|19_9/G:5_4%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
29325000 29625000 e^e-r+i=w/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@4_2|19_9/G:5_4%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
29625000 30425000 e^r-i+w=a/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@4_2|19_9/G:5_4%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
30425000 30825000 r^i-w+a=h/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:19+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@4_2|19_9/G:5_4%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
30825000 32225000 i^w-a+h=i/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:19+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@4_2|19_9/G:5_4%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
32225000 33025000 w^a-h+i=cl/A:-3+1+5/B:24-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
33025000 33325000 a^h-i+cl=s/A:-3+1+5/B:24-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
33325000 34525000 h^i-cl+s=u/A:-2+2+4/B:24-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
34525000 35025000 i^cl-s+u=d/A:-1+3+3/B:24-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
35025000 35325000 cl^s-u+d=e/A:-1+3+3/B:24-xx_xx/C:19_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
35325000 36425000 s^u-d+e=s/A:0+4+2/B:19-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
36425000 38425000 u^d-e+s=U/A:0+4+2/B:19-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
38425000 38725000 d^e-s+U=sil/A:1+5+1/B:19-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
38725000 43525000 e^s-U+sil=xx/A:1+5+1/B:19-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:5_4#0_xx@5_1|23_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
