0 5325000 xx^xx-sil+a=s/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_24/K:1+6-24
11924999 12525000 n^i-k+a=k/A:-4+1+5/B:13-xx_xx/C:20_1+0/D:15+3_1/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
12525000 13225000 i^k-a+k=o/A:-4+1+5/B:13-xx_xx/C:20_1+0/D:15+3_1/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
13225000 13925000 k^a-k+o=m/A:-3+2+4/B:13-xx_xx/C:20_1+0/D:15+3_1/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
13925000 14225000 a^k-o+m=a/A:-3+2+4/B:13-xx_xx/C:20_1+0/D:15+3_1/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
14225000 14925000 k^o-m+a=r/A:-2+3+3/B:13-xx_xx/C:20_1+0/D:15+3_1/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
14925000 15325000 o^m-a+r=e/A:-2+3+3/B:13-xx_xx/C:20_1+0/D:15+3_1/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
15325000 15725000 m^a-r+e=t/A:-1+4+2/B:20-1_0/C:15_3+1/D:10+7_2/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
15725000 16525000 a^r-e+t=a/A:-1+4+2/B:20-1_0/C:15_3+1/D:10+7_2/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
16525000 17025000 r^e-t+a=n/A:0+5+1/B:15-3_1/C:10_7+2/D:22+xx_xx/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
17025000 17625000 e^t-a+n=a/A:0+5+1/B:15-3_1/C:10_7+2/D:22+xx_xx/E:6_3!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
17625000 18125000 t^a-n+a=k/A:0+1+3/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
18125000 18825000 a^n-a+k=a/A:0+1+3/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
18825000 19325000 n^a-k+a=n/A:1+2+2/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
19325000 19725000 a^k-a+n=i/A:1+2+2/B:10-7_2/C:22_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
19725000 20425000 k^a-n+i=k/A:2+3+1/B:22-xx_xx/C:13_xx+xx/D:02+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
20425000 21225000 a^n-i+k=e/A:2+3+1/B:22-xx_xx/C:13_xx+xx/D:02+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
21225000 21825000 n^i-k+e=y/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
21825000 22125000 i^k-e+y=a/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
22125000 23125000 k^e-y+a=k/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
23125000 23925000 e^y-a+k=i/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
23925000 24925000 y^a-k+i=n/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
24925000 25325000 a^k-i+n=o/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
25325000 25924999 k^i-n+o=k/A:0+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
25924999 26525000 i^n-o+k=i/A:0+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|15_10/G:2_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
26525000 27825000 n^o-k+i=g/A:0+1+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@5_2|19_6/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
27825000 28325000 o^k-i+g=a/A:0+1+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@5_2|19_6/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
28325000 28625000 k^i-g+a=i/A:1+2+1/B:02-xx_xx/C:13_xx+xx/D:05+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@5_2|19_6/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
28625000 29525000 i^g-a+i=cl/A:1+2+1/B:02-xx_xx/C:13_xx+xx/D:05+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@5_2|19_6/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
29525000 30525000 g^a-i+cl=p/A:-1+1+4/B:13-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_1!0_xx-1/F:4_2#0_xx@6_1|21_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
30525000 31825000 a^i-cl+p=o/A:0+2+3/B:13-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_1!0_xx-1/F:4_2#0_xx@6_1|21_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
31825000 32325000 i^cl-p+o=N/A:1+3+2/B:05-xx_xx/C:15_xx+xx/D:xx+xx_xx/E:2_1!0_xx-1/F:4_2#0_xx@6_1|21_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
32325000 33424999 cl^p-o+N=sil/A:1+3+2/B:05-xx_xx/C:15_xx+xx/D:xx+xx_xx/E:2_1!0_xx-1/F:4_2#0_xx@6_1|21_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
33424999 34025000 p^o-N+sil=xx/A:2+4+1/B:05-xx_xx/C:15_xx+xx/D:xx+xx_xx/E:2_1!0_xx-1/F:4_2#0_xx@6_1|21_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
34025000 35325000 o^N-sil+xx=xx/A:xx+xx+xx/B:15-xx_xx/C:xx_xx+xx/D:xx+xx_xx/E:4_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:6_24/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+6-24
