0 5625000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_22/K:2+10-35
19725000 20425000 e^k-i+r=u/A:0+2+2/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|10_13/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
20425000 20724999 k^i-r+u=k/A:1+3+1/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|10_13/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
20724999 21325000 i^r-u+k=o/A:1+3+1/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|10_13/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
21325000 21725000 r^u-k+o=t/A:-1+1+3/B:20-3_2/C:22_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@5_3|13_10/G:4_1%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
21725000 22525000 u^k-o+t=o/A:-1+1+3/B:20-3_2/C:22_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@5_3|13_10/G:4_1%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
22525000 22925000 k^o-t+o=w/A:0+2+2/B:20-3_2/C:22_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@5_3|13_10/G:4_1%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
22925000 23224999 o^t-o+w=a/A:0+2+2/B:20-3_2/C:22_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@5_3|13_10/G:4_1%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
23224999 23825000 t^o-w+a=n/A:1+3+1/B:22-xx_xx/C:24_xx+xx/D:01+7_1/E:3_2!0_xx-1/F:3_2#0_xx@5_3|13_10/G:4_1%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
23825000 24525000 o^w-a+n=a/A:1+3+1/B:22-xx_xx/C:24_xx+xx/D:01+7_1/E:3_2!0_xx-1/F:3_2#0_xx@5_3|13_10/G:4_1%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
24525000 25125000 w^a-n+a=k/A:0+1+4/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@6_2|16_7/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
25125000 26025000 a^n-a+k=a/A:0+1+4/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@6_2|16_7/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
26025000 26825000 n^a-k+a=cl/A:1+2+3/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@6_2|16_7/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
26825000 27325000 a^k-a+cl=t/A:1+2+3/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@6_2|16_7/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
27325000 28125000 k^a-cl+t=a/A:2+3+2/B:24-xx_xx/C:01_7+1/D:10+7_2/E:3_2!0_xx-1/F:4_1#0_xx@6_2|16_7/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
28125000 28525000 a^cl-t+a=n/A:3+4+1/B:01-7_1/C:10_7+2/D:22+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@6_2|16_7/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
28525000 28925000 cl^t-a+n=o/A:3+4+1/B:01-7_1/C:10_7+2/D:22+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@6_2|16_7/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
28925000 29625000 t^a-n+o=d/A:-1+1+3/B:10-7_2/C:22_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:3_2#0_xx@7_1|20_3/G:4_4%0_xx_0/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
29625000 30325000 a^n-o+d=e/A:-1+1+3/B:10-7_2/C:22_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:3_2#0_xx@7_1|20_3/G:4_4%0_xx_0/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
30325000 30825000 n^o-d+e=s/A:0+2+2/B:22-xx_xx/C:10_7+2/D:18+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@7_1|20_3/G:4_4%0_xx_0/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
30825000 31525000 o^d-e+s=U/A:0+2+2/B:22-xx_xx/C:10_7+2/D:18+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@7_1|20_3/G:4_4%0_xx_0/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
31525000 32925000 d^e-s+U=pau/A:1+3+1/B:22-xx_xx/C:10_7+2/D:18+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@7_1|20_3/G:4_4%0_xx_0/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
32925000 33224999 e^s-U+pau=y/A:1+3+1/B:22-xx_xx/C:10_7+2/D:18+xx_xx/E:4_1!0_xx-1/F:3_2#0_xx@7_1|20_3/G:4_4%0_xx_0/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
33224999 39625000 s^U-pau+y=u/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:18+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:7_22/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_13/K:2+10-35
39625000 40025000 U^pau-y+u=r/A:-3+1+4/B:10-7_2/C:18_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_3|1_13/G:6_4%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
40025000 40325000 pau^y-u+r=i/A:-3+1+4/B:10-7_2/C:18_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_3|1_13/G:6_4%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
40325000 40625000 y^u-r+i=e/A:-2+2+3/B:10-7_2/C:18_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_3|1_13/G:6_4%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
40625000 40925000 u^r-i+e=w/A:-2+2+3/B:10-7_2/C:18_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_3|1_13/G:6_4%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
40925000 43025000 r^i-e+w=a/A:-1+3+2/B:10-7_2/C:18_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_3|1_13/G:6_4%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
43025000 44025000 i^e-w+a=n/A:0+4+1/B:18-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_3|1_13/G:6_4%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
44025000 44825000 e^w-a+n=a/A:0+4+1/B:18-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_3|1_13/G:6_4%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
44825000 45925000 w^a-n+a=m/A:-3+1+6/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
45925000 46525000 a^n-a+m=i/A:-3+1+6/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
46525000 47325000 n^a-m+i=d/A:-2+2+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
47325000 47925000 a^m-i+d=a/A:-2+2+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
47925000 48225000 m^i-d+a=g/A:-1+3+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
48225000 49125000 i^d-a+g=o/A:-1+3+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
49125000 49525000 d^a-g+o=e/A:0+4+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
49525000 50625000 a^g-o+e=n/A:0+4+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
50625000 51025000 g^o-e+n=i/A:1+5+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
51025000 51825000 o^e-n+i=n/A:2+6+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
51825000 52425000 e^n-i+n=a/A:2+6+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:6_4#0_xx@2_2|5_9/G:3_1%0_xx_1/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
52425000 52925000 n^i-n+a=cl/A:0+1+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_4!0_xx-1/F:3_1#0_xx@3_1|11_3/G:xx_xx%xx_xx_xx/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
52925000 53925000 i^n-a+cl=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_4!0_xx-1/F:3_1#0_xx@3_1|11_3/G:xx_xx%xx_xx_xx/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
53925000 54825000 n^a-cl+t=a/A:1+2+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_4!0_xx-1/F:3_1#0_xx@3_1|11_3/G:xx_xx%xx_xx_xx/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
54825000 55325000 a^cl-t+a=sil/A:2+3+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:6_4!0_xx-1/F:3_1#0_xx@3_1|11_3/G:xx_xx%xx_xx_xx/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
55325000 56224999 cl^t-a+sil=xx/A:2+3+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:6_4!0_xx-1/F:3_1#0_xx@3_1|11_3/G:xx_xx%xx_xx_xx/H:7_22/I:3-13@2+1&8-3|23+13/J:xx_xx/K:2+10-35
56224999 57625000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:3_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:3_13/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:2+10-35
