0 6125000 xx^xx-sil+o=h/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:1_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_25/K:1+7-25
20724999 21325000 t^a-k+u=e/A:-1+2+2/B:15-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_1!0_xx-1/F:3_3#0_xx@4_4|12_14/G:4_4%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
21325000 22425000 a^k-u+e=f/A:-1+2+2/B:15-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_1!0_xx-1/F:3_3#0_xx@4_4|12_14/G:4_4%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
22425000 23125000 k^u-e+f=U/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:06+xx_xx/E:6_1!0_xx-1/F:3_3#0_xx@4_4|12_14/G:4_4%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
23125000 23424999 u^e-f+U=t/A:-3+1+4/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
23424999 24125000 e^f-U+t=a/A:-3+1+4/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
24125000 24925000 f^U-t+a=t/A:-2+2+3/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
24925000 25325000 U^t-a+t=a/A:-2+2+3/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
25325000 25625000 t^a-t+a=b/A:-1+3+2/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
25625000 26325000 a^t-a+b=i/A:-1+3+2/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
26325000 26725000 t^a-b+i=o/A:0+4+1/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
26725000 28025000 a^b-i+o=j/A:0+4+1/B:13-xx_xx/C:06_xx+xx/D:16+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@5_3|15_11/G:3_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
28025000 28525000 b^i-o+j=a/A:0+1+3/B:06-xx_xx/C:16_xx+xx/D:03+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@6_2|19_7/G:4_2%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
28525000 29025000 i^o-j+a=m/A:1+2+2/B:16-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_1#0_xx@6_2|19_7/G:4_2%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
29025000 29625000 o^j-a+m=a/A:1+2+2/B:16-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_1#0_xx@6_2|19_7/G:4_2%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
29625000 30025000 j^a-m+a=sh/A:2+3+1/B:16-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_1#0_xx@6_2|19_7/G:4_2%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
30025000 31125000 a^m-a+sh=i/A:2+3+1/B:16-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_1#0_xx@6_2|19_7/G:4_2%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
31125000 31425000 m^a-sh+i=m/A:-1+1+4/B:03-xx_xx/C:20_4+1/D:10+7_1/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
31425000 31925000 a^sh-i+m=a/A:-1+1+4/B:03-xx_xx/C:20_4+1/D:10+7_1/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
31925000 32625000 sh^i-m+a=sh/A:0+2+3/B:20-4_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
32625000 33525000 i^m-a+sh=I/A:0+2+3/B:20-4_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
33525000 33825000 m^a-sh+I=t/A:1+3+2/B:20-4_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
33825000 34225000 a^sh-I+t=a/A:1+3+2/B:20-4_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
34225000 35725000 sh^I-t+a=sil/A:2+4+1/B:10-7_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
35725000 38125000 I^t-a+sil=xx/A:2+4+1/B:10-7_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:4_2#0_xx@7_1|22_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
