0 1724999 xx^xx-sil+s=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:1+4-17
10825000 11225000 i^d-o+n=i/A:2+3+2/B:24-xx_xx/C:19_xx+xx/D:23+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_3|6_12/G:4_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
11225000 12024999 d^o-n+i=h/A:3+4+1/B:19-xx_xx/C:23_xx+xx/D:03+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_3|6_12/G:4_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
12024999 12325000 o^n-i+h=a/A:3+4+1/B:19-xx_xx/C:23_xx+xx/D:03+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_3|6_12/G:4_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
12325000 13625000 n^i-h+a=cl/A:-3+1+4/B:23-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|10_8/G:4_3%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
13625000 14225000 i^h-a+cl=s/A:-3+1+4/B:23-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|10_8/G:4_3%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
14225000 14524999 h^a-cl+s=a/A:-2+2+3/B:23-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|10_8/G:4_3%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
14524999 15825000 a^cl-s+a=N/A:-1+3+2/B:23-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|10_8/G:4_3%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
15825000 16525000 cl^s-a+N=sh/A:-1+3+2/B:23-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|10_8/G:4_3%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
16525000 17325000 s^a-N+sh=i/A:0+4+1/B:23-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|10_8/G:4_3%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
17325000 18025000 a^N-sh+i=m/A:-2+1+4/B:03-xx_xx/C:20_4+1/D:10+7_0/E:4_4!0_xx-1/F:4_3#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
18025000 18325000 N^sh-i+m=a/A:-2+1+4/B:03-xx_xx/C:20_4+1/D:10+7_0/E:4_4!0_xx-1/F:4_3#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
18325000 18825000 sh^i-m+a=sh/A:-1+2+3/B:20-4_1/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
18825000 19225000 i^m-a+sh=o/A:-1+2+3/B:20-4_1/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
19225000 20425000 m^a-sh+o=o/A:0+3+2/B:20-4_1/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
20425000 22525000 a^sh-o+o=sil/A:0+3+2/B:20-4_1/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
22525000 25425000 sh^o-o+sil=xx/A:1+4+1/B:20-4_1/C:10_7+0/D:xx+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
