0 1125000 xx^xx-sil+ch=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_7/K:2+7-29
19525000 20525000 p^a-a+g=o/A:2+5+3/B:09-xx_xx/C:18_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
20525000 20924999 a^a-g+o=g/A:3+6+2/B:18-xx_xx/C:09_xx+xx/D:13+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
20924999 22325000 a^g-o+g=a/A:3+6+2/B:18-xx_xx/C:09_xx+xx/D:13+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
22325000 23825000 g^o-g+a=k/A:4+7+1/B:09-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
23825000 24525000 o^g-a+k=o/A:4+7+1/B:09-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
24525000 25825000 g^a-k+o=cl/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:4_4#0_xx@2_3|8_15/G:3_1%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
25825000 26425000 a^k-o+cl=p/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:4_4#0_xx@2_3|8_15/G:3_1%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
26425000 26725000 k^o-cl+p=u/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:4_4#0_xx@2_3|8_15/G:3_1%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
26725000 27625000 o^cl-p+u=o/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:4_4#0_xx@2_3|8_15/G:3_1%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
27625000 28325000 cl^p-u+o=m/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:4_4#0_xx@2_3|8_15/G:3_1%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
28325000 29325000 p^u-o+m=o/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:7_3!0_xx-1/F:4_4#0_xx@2_3|8_15/G:3_1%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
29325000 29625000 u^o-m+o=cl/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@3_2|12_11/G:8_6%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
29625000 30125000 o^m-o+cl=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@3_2|12_11/G:8_6%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
30125000 30625000 m^o-cl+t=e/A:1+2+2/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@3_2|12_11/G:8_6%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
30625000 31725000 o^cl-t+e=t/A:2+3+1/B:20-1_1/C:12_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:3_1#0_xx@3_2|12_11/G:8_6%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
31725000 32325000 cl^t-e+t=a/A:2+3+1/B:20-1_1/C:12_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:3_1#0_xx@3_2|12_11/G:8_6%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
32325000 33125000 t^e-t+a=ch/A:-5+1+8/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
33125000 33424999 e^t-a+ch=i/A:-5+1+8/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
33424999 34625000 t^a-ch+i=a/A:-4+2+7/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
34625000 35025000 a^ch-i+a=g/A:-4+2+7/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
35025000 35425000 ch^i-a+g=a/A:-3+3+6/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
35425000 35925000 i^a-g+a=r/A:-2+4+5/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
35925000 36325000 a^g-a+r=i/A:-2+4+5/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
36325000 37225000 g^a-r+i=m/A:-1+5+4/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
37225000 37825000 a^r-i+m=a/A:-1+5+4/B:12-xx_xx/C:20_1+1/D:10+7_1/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
37825000 38725000 r^i-m+a=sh/A:0+6+3/B:20-1_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
38725000 39025000 i^m-a+sh=I/A:0+6+3/B:20-1_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
39025000 39425000 m^a-sh+I=t/A:1+7+2/B:20-1_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
39425000 40525000 a^sh-I+t=a/A:1+7+2/B:20-1_1/C:10_7+1/D:10+7_2/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
40525000 41725000 sh^I-t+a=sil/A:2+8+1/B:10-7_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:8_6#0_xx@4_1|15_8/G:xx_xx%xx_xx_xx/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
