0 3025000 xx^xx-sil+sh=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_22/K:1+4-22
12024999 12725000 h^o-ky+u=u/A:-2+2+3/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:4_4#0_xx@2_3|6_17/G:7_1%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
12725000 13025000 o^ky-u+u=g/A:-2+2+3/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:4_4#0_xx@2_3|6_17/G:7_1%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
13025000 13425000 ky^u-u+g=a/A:-1+3+2/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:4_4#0_xx@2_3|6_17/G:7_1%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
13425000 15725000 u^u-g+a=ky/A:0+4+1/B:03-xx_xx/C:13_xx+xx/D:02+xx_xx/E:5_2!0_xx-1/F:4_4#0_xx@2_3|6_17/G:7_1%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
15725000 18225000 u^g-a+ky=u/A:0+4+1/B:03-xx_xx/C:13_xx+xx/D:02+xx_xx/E:5_2!0_xx-1/F:4_4#0_xx@2_3|6_17/G:7_1%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
18225000 19125000 g^a-ky+u=u/A:0+1+7/B:13-xx_xx/C:02_xx+xx/D:10+7_1/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
19125000 19425000 a^ky-u+u=m/A:0+1+7/B:13-xx_xx/C:02_xx+xx/D:10+7_1/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
19425000 19925000 ky^u-u+m=u/A:1+2+6/B:13-xx_xx/C:02_xx+xx/D:10+7_1/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
19925000 20625000 u^u-m+u=d/A:2+3+5/B:13-xx_xx/C:02_xx+xx/D:10+7_1/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
20625000 20924999 u^m-u+d=e/A:2+3+5/B:13-xx_xx/C:02_xx+xx/D:10+7_1/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
20924999 21225000 m^u-d+e=a/A:3+4+4/B:02-xx_xx/C:10_7+1/D:10+1_2/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
21225000 22325000 u^d-e+a=r/A:3+4+4/B:02-xx_xx/C:10_7+1/D:10+1_2/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
22325000 22625000 d^e-a+r=u/A:4+5+3/B:10-7_1/C:10_1+2/D:13+xx_xx/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
22625000 23025000 e^a-r+u=t/A:5+6+2/B:10-7_1/C:10_1+2/D:13+xx_xx/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
23025000 24025000 a^r-u+t=o/A:5+6+2/B:10-7_1/C:10_1+2/D:13+xx_xx/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
24025000 24525000 r^u-t+o=ts/A:6+7+1/B:10-1_2/C:13_xx+xx/D:20+3_0/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
24525000 25625000 u^t-o+ts=U/A:6+7+1/B:10-1_2/C:13_xx+xx/D:20+3_0/E:4_4!0_xx-1/F:7_1#0_xx@3_2|10_13/G:6_6%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
25625000 25924999 t^o-ts+U=t/A:-5+1+6/B:13-xx_xx/C:20_3+0/D:15+3_1/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
25924999 26425000 o^ts-U+t=a/A:-5+1+6/B:13-xx_xx/C:20_3+0/D:15+3_1/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
26425000 27125000 ts^U-t+a=e/A:-4+2+5/B:13-xx_xx/C:20_3+0/D:15+3_1/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
27125000 27625000 U^t-a+e=r/A:-4+2+5/B:13-xx_xx/C:20_3+0/D:15+3_1/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
27625000 28424999 t^a-e+r=a/A:-3+3+4/B:13-xx_xx/C:20_3+0/D:15+3_1/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
28424999 28725000 a^e-r+a=r/A:-2+4+3/B:20-3_0/C:15_3+1/D:10+7_2/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
28725000 29025000 e^r-a+r=e/A:-2+4+3/B:20-3_0/C:15_3+1/D:10+7_2/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
29025000 29925000 r^a-r+e=t/A:-1+5+2/B:20-3_0/C:15_3+1/D:10+7_2/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
29925000 30625000 a^r-e+t=a/A:-1+5+2/B:20-3_0/C:15_3+1/D:10+7_2/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
30625000 32425000 r^e-t+a=sil/A:0+6+1/B:15-3_1/C:10_7+2/D:xx+xx_xx/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
32425000 36225000 e^t-a+sil=xx/A:0+6+1/B:15-3_1/C:10_7+2/D:xx+xx_xx/E:7_1!0_xx-1/F:6_6#0_xx@4_1|17_6/G:xx_xx%xx_xx_xx/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
