0 2625000 xx^xx-sil+a=N/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:2+4-22
16925000 18425000 s^u-w+a=y/A:5+6+1/B:18-xx_xx/C:24_xx+xx/D:19+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
18425000 18925000 u^w-a+y=u/A:5+6+1/B:18-xx_xx/C:24_xx+xx/D:19+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
18925000 19225000 w^a-y+u=u/A:-4+1+5/B:24-xx_xx/C:19_xx+xx/D:10+7_3/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
19225000 20225000 a^y-u+u=m/A:-4+1+5/B:24-xx_xx/C:19_xx+xx/D:10+7_3/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
20225000 21425000 y^u-u+m=e/A:-3+2+4/B:24-xx_xx/C:19_xx+xx/D:10+7_3/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
21425000 22025000 u^u-m+e=e/A:-2+3+3/B:24-xx_xx/C:19_xx+xx/D:10+7_3/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
22025000 22525000 u^m-e+e=n/A:-2+3+3/B:24-xx_xx/C:19_xx+xx/D:10+7_3/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
22525000 23325000 m^e-e+n=a/A:-1+4+2/B:24-xx_xx/C:19_xx+xx/D:10+7_3/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
23325000 24425000 e^e-n+a=h/A:0+5+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
24425000 25225000 e^n-a+h=a/A:0+5+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:6_1!0_xx-1/F:5_5#0_xx@2_2|7_11/G:6_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
25225000 25825000 n^a-h+a=i/A:-4+1+6/B:10-7_3/C:02_xx+xx/D:10+7_2/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
25825000 26125000 a^h-a+i=y/A:-4+1+6/B:10-7_3/C:02_xx+xx/D:10+7_2/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
26125000 26625000 h^a-i+y=u/A:-3+2+5/B:10-7_3/C:02_xx+xx/D:10+7_2/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
26625000 27125000 a^i-y+u=u/A:-2+3+4/B:10-7_3/C:02_xx+xx/D:10+7_2/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
27125000 28025000 i^y-u+u=d/A:-2+3+4/B:10-7_3/C:02_xx+xx/D:10+7_2/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
28025000 30025000 y^u-u+d=e/A:-1+4+3/B:10-7_3/C:02_xx+xx/D:10+7_2/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
30025000 30325000 u^u-d+e=s/A:0+5+2/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
30325000 34125000 u^d-e+s=U/A:0+5+2/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:6_5#0_xx@3_1|12_6/G:xx_xx%xx_xx_xx/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
