0 3125000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_7/K:2+7-26
11025000 11825000 e^k-i+w=a/A:-1+4+2/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
11825000 13825000 k^i-w+a=pau/A:0+5+1/B:02-xx_xx/C:24_xx+xx/D:06+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
13825000 16025000 i^w-a+pau=h/A:0+5+1/B:02-xx_xx/C:24_xx+xx/D:06+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
16025000 16825000 w^a-pau+h=I/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:5_5!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:2_7/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_19/K:2+7-26
16825000 17125000 a^pau-h+I=t/A:-1+1+3/B:24-xx_xx/C:06_xx+xx/D:05+xx_xx/E:5_5!0_xx-0/F:3_2#0_xx@1_5|1_19/G:2_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
17125000 17625000 pau^h-I+t=o/A:-1+1+3/B:24-xx_xx/C:06_xx+xx/D:05+xx_xx/E:5_5!0_xx-0/F:3_2#0_xx@1_5|1_19/G:2_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
17625000 18325000 h^I-t+o=ts/A:0+2+2/B:24-xx_xx/C:06_xx+xx/D:05+xx_xx/E:5_5!0_xx-0/F:3_2#0_xx@1_5|1_19/G:2_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
18325000 19025000 I^t-o+ts=U/A:0+2+2/B:24-xx_xx/C:06_xx+xx/D:05+xx_xx/E:5_5!0_xx-0/F:3_2#0_xx@1_5|1_19/G:2_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
19025000 19325000 t^o-ts+U=hy/A:1+3+1/B:24-xx_xx/C:06_xx+xx/D:05+xx_xx/E:5_5!0_xx-0/F:3_2#0_xx@1_5|1_19/G:2_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
19325000 20825000 o^ts-U+hy=a/A:1+3+1/B:24-xx_xx/C:06_xx+xx/D:05+xx_xx/E:5_5!0_xx-0/F:3_2#0_xx@1_5|1_19/G:2_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
20825000 21625000 ts^U-hy+a=k/A:-1+1+2/B:06-xx_xx/C:05_xx+xx/D:05+xx_xx/E:3_2!0_xx-1/F:2_2#0_xx@2_4|4_16/G:4_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
21625000 22125000 U^hy-a+k=u/A:-1+1+2/B:06-xx_xx/C:05_xx+xx/D:05+xx_xx/E:3_2!0_xx-1/F:2_2#0_xx@2_4|4_16/G:4_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
22125000 22525000 hy^a-k+u=m/A:0+2+1/B:06-xx_xx/C:05_xx+xx/D:05+xx_xx/E:3_2!0_xx-1/F:2_2#0_xx@2_4|4_16/G:4_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
22525000 23224999 a^k-u+m=a/A:0+2+1/B:06-xx_xx/C:05_xx+xx/D:05+xx_xx/E:3_2!0_xx-1/F:2_2#0_xx@2_4|4_16/G:4_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
23224999 23525000 k^u-m+a=N/A:-1+1+4/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:4_2#0_xx@3_3|6_14/G:4_1%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
23525000 23925000 u^m-a+N=e/A:-1+1+4/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:4_2#0_xx@3_3|6_14/G:4_1%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
23925000 24525000 m^a-N+e=N/A:0+2+3/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:4_2#0_xx@3_3|6_14/G:4_1%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
24525000 25025000 a^N-e+N=i/A:1+3+2/B:05-xx_xx/C:15_xx+xx/D:22+xx_xx/E:2_2!0_xx-1/F:4_2#0_xx@3_3|6_14/G:4_1%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
25025000 27925000 N^e-N+i=j/A:2+4+1/B:05-xx_xx/C:15_xx+xx/D:22+xx_xx/E:2_2!0_xx-1/F:4_2#0_xx@3_3|6_14/G:4_1%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
27925000 28525000 e^N-i+j=o/A:0+1+4/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_2|10_10/G:6_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
28525000 29525000 N^i-j+o=o/A:1+2+3/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_2|10_10/G:6_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
29525000 30525000 i^j-o+o=n/A:1+2+3/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_2|10_10/G:6_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
30525000 31225000 j^o-o+n=o/A:2+3+2/B:15-xx_xx/C:22_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_2|10_10/G:6_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
31225000 31825000 o^o-n+o=o/A:3+4+1/B:22-xx_xx/C:23_xx+xx/D:16+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_2|10_10/G:6_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
31825000 32625000 o^n-o+o=n/A:3+4+1/B:22-xx_xx/C:23_xx+xx/D:16+xx_xx/E:4_2!0_xx-1/F:4_1#0_xx@4_2|10_10/G:6_2%0_xx_1/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
32625000 33525000 n^o-o+n=e/A:-1+1+6/B:23-xx_xx/C:16_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
33525000 33925000 o^o-n+e=d/A:0+2+5/B:16-xx_xx/C:02_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
33925000 34825000 o^n-e+d=a/A:0+2+5/B:16-xx_xx/C:02_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
34825000 35525000 n^e-d+a=N/A:1+3+4/B:16-xx_xx/C:02_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
35525000 35925000 e^d-a+N=d/A:1+3+4/B:16-xx_xx/C:02_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
35925000 36625000 d^a-N+d=e/A:2+4+3/B:16-xx_xx/C:02_xx+xx/D:10+7_2/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
36625000 39025000 a^N-d+e=s/A:3+5+2/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
39025000 39325000 N^d-e+s=U/A:3+5+2/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
39325000 43425000 d^e-s+U=sil/A:4+6+1/B:02-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_1!0_xx-1/F:6_2#0_xx@5_1|14_6/G:xx_xx%xx_xx_xx/H:2_7/I:5-19@2+1&3-5|8+19/J:xx_xx/K:2+7-26
