0 7524999 xx^xx-sil+sh=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_29/K:1+5-29
21825000 22925000 o^n-i+i=ch/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@2_4|9_21/G:6_6%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
22925000 23625000 n^i-i+ch=e/A:1+2+3/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@2_4|9_21/G:6_6%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
23625000 24225000 i^i-ch+e=n/A:2+3+2/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@2_4|9_21/G:6_6%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
24225000 24925000 i^ch-e+n=o/A:2+3+2/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@2_4|9_21/G:6_6%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
24925000 25425000 ch^e-n+o=t/A:3+4+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@2_4|9_21/G:6_6%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
25425000 26125000 e^n-o+t=e/A:3+4+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@2_4|9_21/G:6_6%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
26125000 26825000 n^o-t+e=ts/A:-5+1+6/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
26825000 27825000 o^t-e+ts=u/A:-5+1+6/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
27825000 28125000 t^e-ts+u=g/A:-4+2+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
28125000 28625000 e^ts-u+g=a/A:-4+2+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
28625000 29125000 ts^u-g+a=k/A:-3+3+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
29125000 29925000 u^g-a+k=U/A:-3+3+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
29925000 30225000 g^a-k+U=sh/A:-2+4+3/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
30225000 31025000 a^k-U+sh=o/A:-2+4+3/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
31025000 31725000 k^U-sh+o=o/A:-1+5+2/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
31725000 32525000 U^sh-o+o=h/A:-1+5+2/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
32525000 33325000 sh^o-o+h=o/A:0+6+1/B:15-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:6_6#0_xx@3_3|13_17/G:6_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
33325000 34225000 o^o-h+o=N/A:0+1+6/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
34225000 35025000 o^h-o+N=d/A:0+1+6/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
35025000 35425000 h^o-N+d=a/A:1+2+5/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
35425000 36025000 o^N-d+a=n/A:2+3+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
36025000 36525000 N^d-a+n=a/A:2+3+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
36525000 37025000 d^a-n+a=k/A:3+4+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
37025000 37725000 a^n-a+k=a/A:3+4+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
37725000 38125000 n^a-k+a=r/A:4+5+2/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
38125000 38625000 a^k-a+r=a/A:4+5+2/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
38625000 39325000 k^a-r+a=t/A:5+6+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
39325000 40125000 a^r-a+t=o/A:5+6+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:6_6!0_xx-1/F:6_1#0_xx@4_2|19_11/G:5_3%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
40125000 40525000 r^a-t+o=r/A:-2+1+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
40525000 41224999 a^t-o+r=i/A:-2+1+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
41224999 41825000 t^o-r+i=d/A:-1+2+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
41825000 42125000 o^r-i+d=a/A:-1+2+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
42125000 42825000 r^i-d+a=sh/A:0+3+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
42825000 43925000 i^d-a+sh=I/A:0+3+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
43925000 44225000 d^a-sh+I=t/A:1+4+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
44225000 44525000 a^sh-I+t=a/A:1+4+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
44525000 45824999 sh^I-t+a=sil/A:2+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
45824999 50325000 I^t-a+sil=xx/A:2+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:6_1!0_xx-1/F:5_3#0_xx@5_1|25_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
