0 2025000 xx^xx-sil+k=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_23/K:1+6-23
21525000 22025000 p^o-N+n=i/A:2+4+2/B:05-xx_xx/C:15_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@4_3|13_11/G:4_4%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
22025000 22925000 o^N-n+i=g/A:3+5+1/B:15-xx_xx/C:13_xx+xx/D:03+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@4_3|13_11/G:4_4%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
22925000 24425000 N^n-i+g=o/A:3+5+1/B:15-xx_xx/C:13_xx+xx/D:03+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@4_3|13_11/G:4_4%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
24425000 25525000 n^i-g+o=o/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_2!0_xx-1/F:4_4#0_xx@5_2|18_6/G:2_2%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
25525000 26025000 i^g-o+o=ry/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_2!0_xx-1/F:4_4#0_xx@5_2|18_6/G:2_2%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
26025000 26425000 g^o-o+ry=u/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_2!0_xx-1/F:4_4#0_xx@5_2|18_6/G:2_2%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
26425000 27925000 o^o-ry+u=u/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_2!0_xx-1/F:4_4#0_xx@5_2|18_6/G:2_2%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
27925000 28224999 o^ry-u+u=s/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_2!0_xx-1/F:4_4#0_xx@5_2|18_6/G:2_2%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
28224999 28925000 ry^u-u+s=u/A:0+4+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:5_2!0_xx-1/F:4_4#0_xx@5_2|18_6/G:2_2%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
28925000 30225000 u^u-s+u=r/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_2#0_xx@6_1|22_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
30225000 31725000 u^s-u+r=u/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_2#0_xx@6_1|22_2/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
