0 2824999 xx^xx-sil+r=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:11_8%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_29/K:1+5-29
30225000 31325000 ky^u-u+k=o/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:5_1!0_xx-1/F:4_4#0_xx@4_2|22_8/G:4_2%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
31325000 32325000 u^u-k+o=o/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:5_1!0_xx-1/F:4_4#0_xx@4_2|22_8/G:4_2%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
32325000 32625000 u^k-o+o=sh/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:5_1!0_xx-1/F:4_4#0_xx@4_2|22_8/G:4_2%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
32625000 33224999 k^o-o+sh=i/A:0+4+1/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:5_1!0_xx-1/F:4_4#0_xx@4_2|22_8/G:4_2%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
33224999 33925000 o^o-sh+i=m/A:-1+1+4/B:03-xx_xx/C:20_4+1/D:10+7_1/E:4_4!0_xx-1/F:4_2#0_xx@5_1|26_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
33925000 34725000 o^sh-i+m=a/A:-1+1+4/B:03-xx_xx/C:20_4+1/D:10+7_1/E:4_4!0_xx-1/F:4_2#0_xx@5_1|26_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
34725000 35025000 sh^i-m+a=sh/A:0+2+3/B:20-4_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:4_2#0_xx@5_1|26_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
35025000 35425000 i^m-a+sh=I/A:0+2+3/B:20-4_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:4_2#0_xx@5_1|26_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
35425000 36525000 m^a-sh+I=t/A:1+3+2/B:20-4_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:4_2#0_xx@5_1|26_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
36525000 37825000 a^sh-I+t=a/A:1+3+2/B:20-4_1/C:10_7+1/D:10+7_2/E:4_4!0_xx-1/F:4_2#0_xx@5_1|26_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
