0 5425000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_20/K:1+5-20
17025000 18425000 a^w-o+o=r/A:0+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@3_3|8_13/G:3_1%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
18425000 19125000 w^o-o+r=i/A:1+2+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@3_3|8_13/G:3_1%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
19125000 20125000 o^o-r+i=a/A:2+3+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@3_3|8_13/G:3_1%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
20125000 20825000 o^r-i+a=g/A:2+3+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@3_3|8_13/G:3_1%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
20825000 21425000 r^i-a+g=a/A:3+4+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@3_3|8_13/G:3_1%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
21425000 22025000 i^a-g+a=i/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:01+7_2/E:3_1!0_xx-1/F:5_1#0_xx@3_3|8_13/G:3_1%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
22025000 22625000 a^g-a+i=i/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:01+7_2/E:3_1!0_xx-1/F:5_1#0_xx@3_3|8_13/G:3_1%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
22625000 23525000 g^a-i+i=t/A:0+1+3/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:5_1!0_xx-1/F:3_1#0_xx@4_2|13_8/G:5_4%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
23525000 24425000 a^i-i+t=o/A:1+2+2/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:5_1!0_xx-1/F:3_1#0_xx@4_2|13_8/G:5_4%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
24425000 24825000 i^i-t+o=o/A:2+3+1/B:01-7_2/C:13_xx+xx/D:20+1_1/E:5_1!0_xx-1/F:3_1#0_xx@4_2|13_8/G:5_4%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
24825000 25125000 i^t-o+o=m/A:2+3+1/B:01-7_2/C:13_xx+xx/D:20+1_1/E:5_1!0_xx-1/F:3_1#0_xx@4_2|13_8/G:5_4%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
25125000 25724999 t^o-o+m=o/A:-3+1+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
25724999 26425000 o^o-m+o=i/A:-2+2+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
26425000 27025000 o^m-o+i=m/A:-2+2+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
27025000 27525000 m^o-i+m=a/A:-1+3+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
27525000 28625000 o^i-m+a=s/A:0+4+2/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
28625000 30225000 i^m-a+s=U/A:0+4+2/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
30225000 30525000 m^a-s+U=sil/A:1+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
30525000 35725000 a^s-U+sil=xx/A:1+5+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:5_4#0_xx@5_1|16_5/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
