0 3525000 xx^xx-sil+j=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:2+9-39
16425000 17125000 w^a-k+a=i/A:-6+1+7/B:24-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
17125000 17425000 a^k-a+i=sh/A:-6+1+7/B:24-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
17425000 18425000 k^a-i+sh=a/A:-5+2+6/B:24-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
18425000 19225000 a^i-sh+a=d/A:-4+3+5/B:24-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
19225000 19625000 i^sh-a+d=e/A:-4+3+5/B:24-xx_xx/C:02_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
19625000 19925000 sh^a-d+e=a/A:-3+4+4/B:02-xx_xx/C:10_7+1/D:10+1_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
19925000 21025000 a^d-e+a=cl/A:-3+4+4/B:02-xx_xx/C:10_7+1/D:10+1_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
21025000 22225000 d^e-a+cl=t/A:-2+5+3/B:10-7_1/C:10_1+1/D:12+xx_xx/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
22225000 22825000 e^a-cl+t=e/A:-1+6+2/B:10-7_1/C:10_1+1/D:12+xx_xx/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
22825000 24425000 a^cl-t+e=pau/A:0+7+1/B:10-1_1/C:12_xx+xx/D:20+3_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
24425000 28525000 cl^t-e+pau=i/A:0+7+1/B:10-1_1/C:12_xx+xx/D:20+3_1/E:2_2!0_xx-1/F:7_7#0_xx@5_1|12_7/G:5_4%0_xx_0/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
28525000 29125000 t^e-pau+i=k/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:20+3_1/E:7_7!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_4%0_xx_xx/H:5_18/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_21/K:2+9-39
29125000 29925000 e^pau-i+k=I/A:-3+1+5/B:12-xx_xx/C:20_3+1/D:10+7_2/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
29925000 30325000 pau^i-k+I=s/A:-2+2+4/B:12-xx_xx/C:20_3+1/D:10+7_2/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
30325000 31425000 i^k-I+s=u/A:-2+2+4/B:12-xx_xx/C:20_3+1/D:10+7_2/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
31425000 31725000 k^I-s+u=g/A:-1+3+3/B:12-xx_xx/C:20_3+1/D:10+7_2/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
31725000 32125000 I^s-u+g=i/A:-1+3+3/B:12-xx_xx/C:20_3+1/D:10+7_2/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
32125000 32725000 s^u-g+i=t/A:0+4+2/B:12-xx_xx/C:20_3+1/D:10+7_2/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
32725000 33125000 u^g-i+t=a/A:0+4+2/B:12-xx_xx/C:20_3+1/D:10+7_2/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
33125000 33625000 g^i-t+a=j/A:1+5+1/B:20-3_1/C:10_7+2/D:02+xx_xx/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
33625000 34425000 i^t-a+j=i/A:1+5+1/B:20-3_1/C:10_7+2/D:02+xx_xx/E:7_7!0_xx-0/F:5_4#0_xx@1_4|1_21/G:7_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
34425000 35025000 t^a-j+i=k/A:-4+1+7/B:10-7_2/C:02_xx+xx/D:03+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
35025000 35625000 a^j-i+k=o/A:-4+1+7/B:10-7_2/C:02_xx+xx/D:03+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
35625000 36125000 j^i-k+o=hy/A:-3+2+6/B:10-7_2/C:02_xx+xx/D:03+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
36125000 37225000 i^k-o+hy=o/A:-3+2+6/B:10-7_2/C:02_xx+xx/D:03+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
37225000 38525000 k^o-hy+o=o/A:-2+3+5/B:02-xx_xx/C:03_xx+xx/D:24+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
38525000 38825000 o^hy-o+o=g/A:-2+3+5/B:02-xx_xx/C:03_xx+xx/D:24+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
38825000 39125000 hy^o-o+g=e/A:-1+4+4/B:02-xx_xx/C:03_xx+xx/D:24+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
39125000 39625000 o^o-g+e=N/A:0+5+3/B:02-xx_xx/C:03_xx+xx/D:24+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
39625000 40625000 o^g-e+N=w/A:0+5+3/B:02-xx_xx/C:03_xx+xx/D:24+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
40625000 41125000 g^e-N+w=a/A:1+6+2/B:02-xx_xx/C:03_xx+xx/D:24+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
41125000 42525000 e^N-w+a=sh/A:2+7+1/B:03-xx_xx/C:24_xx+xx/D:03+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
42525000 43324999 N^w-a+sh=i/A:2+7+1/B:03-xx_xx/C:24_xx+xx/D:03+xx_xx/E:5_4!0_xx-1/F:7_5#0_xx@2_3|6_16/G:5_5%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
43324999 43625000 w^a-sh+i=cl/A:-4+1+5/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
43625000 44325000 a^sh-i+cl=ky/A:-4+1+5/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
44325000 44725000 sh^i-cl+ky=a/A:-3+2+4/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
44725000 45225000 i^cl-ky+a=k/A:-2+3+3/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
45225000 45625000 cl^ky-a+k=u/A:-2+3+3/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
45625000 46425000 ky^a-k+u=n/A:-1+4+2/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
46425000 46825000 a^k-u+n=i/A:-1+4+2/B:24-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
46825000 48025000 k^u-n+i=ts/A:0+5+1/B:03-xx_xx/C:13_xx+xx/D:20+1_2/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
48025000 48324999 u^n-i+ts=u/A:0+5+1/B:03-xx_xx/C:13_xx+xx/D:20+1_2/E:7_5!0_xx-1/F:5_5#0_xx@3_2|13_9/G:4_4%0_xx_1/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
48324999 48724999 n^i-ts+u=n/A:-3+1+4/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@4_1|18_4/G:xx_xx%xx_xx_xx/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
48724999 49425000 i^ts-u+n=a/A:-3+1+4/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@4_1|18_4/G:xx_xx%xx_xx_xx/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
49425000 50025000 ts^u-n+a=g/A:-2+2+3/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@4_1|18_4/G:xx_xx%xx_xx_xx/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
50025000 50425000 u^n-a+g=a/A:-2+2+3/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@4_1|18_4/G:xx_xx%xx_xx_xx/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
50425000 51025000 n^a-g+a=r/A:-1+3+2/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@4_1|18_4/G:xx_xx%xx_xx_xx/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
51025000 52025000 a^g-a+r=u/A:-1+3+2/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@4_1|18_4/G:xx_xx%xx_xx_xx/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
52025000 54925000 g^a-r+u=sil/A:0+4+1/B:13-xx_xx/C:20_1+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_4#0_xx@4_1|18_4/G:xx_xx%xx_xx_xx/H:5_18/I:4-21@2+1&6-4|19+21/J:xx_xx/K:2+9-39
