0 4625000 xx^xx-sil+b=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:2+6-26
12825000 13525000 e^pau-t+o=a/A:-1+1+3/B:13-xx_xx/C:07_xx+xx/D:18+xx_xx/E:5_1!0_xx-0/F:3_2#0_xx@1_5|1_21/G:6_6%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
13525000 14625000 pau^t-o+a=r/A:-1+1+3/B:13-xx_xx/C:07_xx+xx/D:18+xx_xx/E:5_1!0_xx-0/F:3_2#0_xx@1_5|1_21/G:6_6%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
14625000 15125000 t^o-a+r=u/A:0+2+2/B:13-xx_xx/C:07_xx+xx/D:18+xx_xx/E:5_1!0_xx-0/F:3_2#0_xx@1_5|1_21/G:6_6%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
15125000 15425000 o^a-r+u=ch/A:1+3+1/B:13-xx_xx/C:07_xx+xx/D:18+xx_xx/E:5_1!0_xx-0/F:3_2#0_xx@1_5|1_21/G:6_6%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
15425000 16425000 a^r-u+ch=o/A:1+3+1/B:13-xx_xx/C:07_xx+xx/D:18+xx_xx/E:5_1!0_xx-0/F:3_2#0_xx@1_5|1_21/G:6_6%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
16425000 17225000 r^u-ch+o=p/A:-5+1+6/B:07-xx_xx/C:18_xx+xx/D:09+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
17225000 17625000 u^ch-o+p=u/A:-5+1+6/B:07-xx_xx/C:18_xx+xx/D:09+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
17625000 18425000 ch^o-p+u=s/A:-4+2+5/B:18-xx_xx/C:09_xx+xx/D:18+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
18425000 18725000 o^p-u+s=u/A:-4+2+5/B:18-xx_xx/C:09_xx+xx/D:18+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
18725000 20025000 p^u-s+u=i/A:-3+3+4/B:09-xx_xx/C:18_xx+xx/D:15+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
20025000 20425000 u^s-u+i=y/A:-3+3+4/B:09-xx_xx/C:18_xx+xx/D:15+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
20425000 21125000 s^u-i+y=a/A:-2+4+3/B:09-xx_xx/C:18_xx+xx/D:15+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
21125000 22225000 u^i-y+a=e/A:-1+5+2/B:18-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
22225000 23125000 i^y-a+e=h/A:-1+5+2/B:18-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
23125000 23424999 y^a-e+h=a/A:0+6+1/B:15-xx_xx/C:13_xx+xx/D:20+1_1/E:3_2!0_xx-1/F:6_6#0_xx@2_4|4_18/G:4_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
23424999 24625000 a^e-h+a=i/A:0+1+4/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:6_6!0_xx-1/F:4_1#0_xx@3_3|10_12/G:5_5%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
24625000 25125000 e^h-a+i=cl/A:0+1+4/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:6_6!0_xx-1/F:4_1#0_xx@3_3|10_12/G:5_5%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
25125000 25724999 h^a-i+cl=t/A:1+2+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:6_6!0_xx-1/F:4_1#0_xx@3_3|10_12/G:5_5%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
25724999 27225000 a^i-cl+t=e/A:2+3+2/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:6_6!0_xx-1/F:4_1#0_xx@3_3|10_12/G:5_5%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
27225000 27725000 i^cl-t+e=y/A:3+4+1/B:20-1_1/C:12_xx+xx/D:02+xx_xx/E:6_6!0_xx-1/F:4_1#0_xx@3_3|10_12/G:5_5%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
27725000 29625000 cl^t-e+y=u/A:3+4+1/B:20-1_1/C:12_xx+xx/D:02+xx_xx/E:6_6!0_xx-1/F:4_1#0_xx@3_3|10_12/G:5_5%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
29625000 31025000 t^e-y+u=u/A:-4+1+5/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@4_2|14_8/G:3_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
31025000 31525000 e^y-u+u=h/A:-4+1+5/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@4_2|14_8/G:3_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
31525000 31825000 y^u-u+h=a/A:-3+2+4/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@4_2|14_8/G:3_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
31825000 33525000 u^u-h+a=N/A:-2+3+3/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@4_2|14_8/G:3_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
33525000 33825000 u^h-a+N=o/A:-2+3+3/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@4_2|14_8/G:3_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
33825000 34225000 h^a-N+o=k/A:-1+4+2/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@4_2|14_8/G:3_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
34225000 35325000 a^N-o+k=u/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:5_5#0_xx@4_2|14_8/G:3_1%0_xx_1/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
35325000 36325000 N^o-k+u=cl/A:0+1+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:5_5!0_xx-1/F:3_1#0_xx@5_1|19_3/G:xx_xx%xx_xx_xx/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
36325000 37125000 o^k-u+cl=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:5_5!0_xx-1/F:3_1#0_xx@5_1|19_3/G:xx_xx%xx_xx_xx/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
37125000 38025000 k^u-cl+t=a/A:1+2+2/B:13-xx_xx/C:20_1+1/D:10+7_2/E:5_5!0_xx-1/F:3_1#0_xx@5_1|19_3/G:xx_xx%xx_xx_xx/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
38025000 38725000 u^cl-t+a=sil/A:2+3+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@5_1|19_3/G:xx_xx%xx_xx_xx/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
38725000 39725000 cl^t-a+sil=xx/A:2+3+1/B:20-1_1/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@5_1|19_3/G:xx_xx%xx_xx_xx/H:1_5/I:5-21@2+1&2-5|6+21/J:xx_xx/K:2+6-26
39725000 45025000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:3_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_21/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:2+6-26
