0 2625000 xx^xx-sil+u=s/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_15/K:2+8-26
10025000 10425000 i^cl-d+o=w/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@2_4|5_11/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
10425000 10925000 cl^d-o+w=a/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@2_4|5_11/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
10925000 11625000 d^o-w+a=k/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@2_4|5_11/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
11625000 12825000 o^w-a+k=i/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@2_4|5_11/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
12825000 14725000 w^a-k+i=b/A:0+1+3/B:24-xx_xx/C:02_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_1#0_xx@3_3|9_7/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
14725000 15125000 a^k-i+b=u/A:0+1+3/B:24-xx_xx/C:02_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_1#0_xx@3_3|9_7/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
15125000 15625000 k^i-b+u=N/A:1+2+2/B:24-xx_xx/C:02_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_1#0_xx@3_3|9_7/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
15625000 15925000 i^b-u+N=y/A:1+2+2/B:24-xx_xx/C:02_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_1#0_xx@3_3|9_7/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
15925000 17525000 b^u-N+y=o/A:2+3+1/B:24-xx_xx/C:02_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_1#0_xx@3_3|9_7/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
17525000 18325000 u^N-y+o=k/A:0+1+2/B:02-xx_xx/C:01_7+1/D:06+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@4_2|12_4/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
18325000 18825000 N^y-o+k=U/A:0+1+2/B:02-xx_xx/C:01_7+1/D:06+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@4_2|12_4/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
18825000 19625000 y^o-k+U=py/A:1+2+1/B:02-xx_xx/C:01_7+1/D:06+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@4_2|12_4/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
19625000 19925000 o^k-U+py=o/A:1+2+1/B:02-xx_xx/C:01_7+1/D:06+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@4_2|12_4/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
19925000 21725000 k^U-py+o=N/A:0+1+2/B:01-7_1/C:06_xx+xx/D:08+xx_xx/E:2_1!0_xx-1/F:2_1#0_xx@5_1|14_2/G:2_2%0_xx_0/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
21725000 22725000 U^py-o+N=pau/A:0+1+2/B:01-7_1/C:06_xx+xx/D:08+xx_xx/E:2_1!0_xx-1/F:2_1#0_xx@5_1|14_2/G:2_2%0_xx_0/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
22725000 23725000 py^o-N+pau=m/A:1+2+1/B:01-7_1/C:06_xx+xx/D:08+xx_xx/E:2_1!0_xx-1/F:2_1#0_xx@5_1|14_2/G:2_2%0_xx_0/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
23725000 25225000 o^N-pau+m=a/A:xx+xx+xx/B:06-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:5_15/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_11/K:2+8-26
25225000 25825000 N^pau-m+a=t/A:-1+1+2/B:06-xx_xx/C:08_xx+xx/D:06+xx_xx/E:2_1!0_xx-0/F:2_2#0_xx@1_3|1_11/G:3_1%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
25825000 26625000 pau^m-a+t=a/A:-1+1+2/B:06-xx_xx/C:08_xx+xx/D:06+xx_xx/E:2_1!0_xx-0/F:2_2#0_xx@1_3|1_11/G:3_1%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
26625000 27225000 m^a-t+a=py/A:0+2+1/B:06-xx_xx/C:08_xx+xx/D:06+xx_xx/E:2_1!0_xx-0/F:2_2#0_xx@1_3|1_11/G:3_1%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
27225000 28725000 a^t-a+py=o/A:0+2+1/B:06-xx_xx/C:08_xx+xx/D:06+xx_xx/E:2_1!0_xx-0/F:2_2#0_xx@1_3|1_11/G:3_1%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
28725000 29925000 t^a-py+o=N/A:0+1+3/B:08-xx_xx/C:06_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_2|3_9/G:6_6%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
29925000 30825000 a^py-o+N=t/A:0+1+3/B:08-xx_xx/C:06_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_2|3_9/G:6_6%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
30825000 31125000 py^o-N+t=o/A:1+2+2/B:08-xx_xx/C:06_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_2|3_9/G:6_6%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
31125000 32125000 o^N-t+o=t/A:2+3+1/B:06-xx_xx/C:13_xx+xx/D:20+1_1/E:2_2!0_xx-1/F:3_1#0_xx@2_2|3_9/G:6_6%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
32125000 32725000 N^t-o+t=o/A:2+3+1/B:06-xx_xx/C:13_xx+xx/D:20+1_1/E:2_2!0_xx-1/F:3_1#0_xx@2_2|3_9/G:6_6%0_xx_1/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
32725000 33825000 t^o-t+o=b/A:-5+1+6/B:13-xx_xx/C:20_1+1/D:17+3_1/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
33825000 34325000 o^t-o+b=i/A:-5+1+6/B:13-xx_xx/C:20_1+1/D:17+3_1/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
34325000 34925000 t^o-b+i=ts/A:-4+2+5/B:13-xx_xx/C:20_1+1/D:17+3_1/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
34925000 35625000 o^b-i+ts=u/A:-4+2+5/B:13-xx_xx/C:20_1+1/D:17+3_1/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
35625000 36625000 b^i-ts+u=z/A:-3+3+4/B:20-1_1/C:17_3+1/D:10+7_2/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
36625000 36925000 i^ts-u+z=u/A:-3+3+4/B:20-1_1/C:17_3+1/D:10+7_2/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
36925000 37725000 ts^u-z+u=k/A:-2+4+3/B:20-1_1/C:17_3+1/D:10+7_2/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
37725000 38125000 u^z-u+k=e/A:-2+4+3/B:20-1_1/C:17_3+1/D:10+7_2/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
38125000 38725000 z^u-k+e=t/A:-1+5+2/B:20-1_1/C:17_3+1/D:10+7_2/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
38725000 39825000 u^k-e+t=a/A:-1+5+2/B:20-1_1/C:17_3+1/D:10+7_2/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
39825000 40325000 k^e-t+a=sil/A:0+6+1/B:17-3_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
40325000 41525000 e^t-a+sil=xx/A:0+6+1/B:17-3_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:6_6#0_xx@3_1|6_6/G:xx_xx%xx_xx_xx/H:5_15/I:3-11@2+1&6-3|16+11/J:xx_xx/K:2+8-26
41525000 48825000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:6_6!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:3_11/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:2+8-26
