0 1325000 xx^xx-sil+d=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_10/K:2+8-27
28424999 29025000 o^d-e+z=o/A:4+6+1/B:10-7_2/C:12_xx+xx/D:06+xx_xx/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
29025000 30225000 d^e-z+o=cl/A:-2+1+3/B:12-xx_xx/C:06_xx+xx/D:20+4_1/E:6_2!0_xx-1/F:3_3#0_xx@4_2|13_5/G:2_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
30225000 31025000 e^z-o+cl=t/A:-2+1+3/B:12-xx_xx/C:06_xx+xx/D:20+4_1/E:6_2!0_xx-1/F:3_3#0_xx@4_2|13_5/G:2_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
31025000 31825000 z^o-cl+t=o/A:-1+2+2/B:12-xx_xx/C:06_xx+xx/D:20+4_1/E:6_2!0_xx-1/F:3_3#0_xx@4_2|13_5/G:2_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
31825000 32525000 o^cl-t+o=sh/A:0+3+1/B:12-xx_xx/C:06_xx+xx/D:20+4_1/E:6_2!0_xx-1/F:3_3#0_xx@4_2|13_5/G:2_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
32525000 32925000 cl^t-o+sh=I/A:0+3+1/B:12-xx_xx/C:06_xx+xx/D:20+4_1/E:6_2!0_xx-1/F:3_3#0_xx@4_2|13_5/G:2_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
32925000 33725000 t^o-sh+I=t/A:-1+1+2/B:06-xx_xx/C:20_4+1/D:10+7_2/E:3_3!0_xx-1/F:2_2#0_xx@5_1|16_2/G:xx_xx%xx_xx_xx/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
33725000 34025000 o^sh-I+t=a/A:-1+1+2/B:06-xx_xx/C:20_4+1/D:10+7_2/E:3_3!0_xx-1/F:2_2#0_xx@5_1|16_2/G:xx_xx%xx_xx_xx/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
34025000 34625000 sh^I-t+a=sil/A:0+2+1/B:20-4_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@5_1|16_2/G:xx_xx%xx_xx_xx/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
34625000 36025000 I^t-a+sil=xx/A:0+2+1/B:20-4_1/C:10_7+2/D:xx+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@5_1|16_2/G:xx_xx%xx_xx_xx/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
36025000 36625000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_17/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:2+8-27
