0 5225000 xx^xx-sil+k=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:10_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_32/K:1+5-32
14925000 15525000 a^d-e+w=a/A:4+9+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
15525000 16625000 d^e-w+a=i/A:5+10+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
16625000 17425000 e^w-a+i=ch/A:5+10+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
17425000 18725000 w^a-i+ch=i/A:-1+1+4/B:24-xx_xx/C:02_xx+xx/D:20+3_1/E:10_5!0_xx-1/F:4_2#0_xx@2_4|11_22/G:4_4%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
18725000 19425000 a^i-ch+i=b/A:0+2+3/B:24-xx_xx/C:02_xx+xx/D:20+3_1/E:10_5!0_xx-1/F:4_2#0_xx@2_4|11_22/G:4_4%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
19425000 19725000 i^ch-i+b=a/A:0+2+3/B:24-xx_xx/C:02_xx+xx/D:20+3_1/E:10_5!0_xx-1/F:4_2#0_xx@2_4|11_22/G:4_4%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
19725000 20125000 ch^i-b+a=N/A:1+3+2/B:24-xx_xx/C:02_xx+xx/D:20+3_1/E:10_5!0_xx-1/F:4_2#0_xx@2_4|11_22/G:4_4%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
20125000 20924999 i^b-a+N=u/A:1+3+2/B:24-xx_xx/C:02_xx+xx/D:20+3_1/E:10_5!0_xx-1/F:4_2#0_xx@2_4|11_22/G:4_4%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
20924999 21625000 b^a-N+u=r/A:2+4+1/B:24-xx_xx/C:02_xx+xx/D:20+3_1/E:10_5!0_xx-1/F:4_2#0_xx@2_4|11_22/G:4_4%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
21625000 22125000 a^N-u+r=e/A:-3+1+4/B:02-xx_xx/C:20_3+1/D:12+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_3|15_18/G:4_3%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
22125000 22725000 N^u-r+e=t/A:-2+2+3/B:02-xx_xx/C:20_3+1/D:12+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_3|15_18/G:4_3%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
22725000 23725000 u^r-e+t=e/A:-2+2+3/B:02-xx_xx/C:20_3+1/D:12+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_3|15_18/G:4_3%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
23725000 24225000 r^e-t+e=m/A:-1+3+2/B:20-3_1/C:12_xx+xx/D:24+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_3|15_18/G:4_3%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
24225000 24525000 e^t-e+m=o/A:-1+3+2/B:20-3_1/C:12_xx+xx/D:24+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_3|15_18/G:4_3%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
24525000 25225000 t^e-m+o=f/A:0+4+1/B:12-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_3|15_18/G:4_3%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
25225000 25724999 e^m-o+f=U/A:0+4+1/B:12-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_3|15_18/G:4_3%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
25724999 26625000 m^o-f+U=t/A:-2+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
26625000 26925000 o^f-U+t=a/A:-2+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
26925000 27425000 f^U-t+a=r/A:-1+2+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
27425000 27925000 U^t-a+r=i/A:-1+2+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
27925000 28325000 t^a-r+i=d/A:0+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
28325000 29225000 a^r-i+d=e/A:0+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
29225000 29525000 r^i-d+e=h/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:05+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
29525000 29825000 i^d-e+h=a/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:05+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@4_2|19_14/G:10_7%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
29825000 31125000 d^e-h+a=cl/A:-6+1+10/B:13-xx_xx/C:05_xx+xx/D:05+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
31125000 31425000 e^h-a+cl=s/A:-6+1+10/B:13-xx_xx/C:05_xx+xx/D:05+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
31425000 31725000 h^a-cl+s=e/A:-5+2+9/B:13-xx_xx/C:05_xx+xx/D:05+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
31725000 33325000 a^cl-s+e=N/A:-4+3+8/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
33325000 34125000 cl^s-e+N=e/A:-4+3+8/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
34125000 34825000 s^e-N+e=N/A:-3+4+7/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
34825000 35925000 e^N-e+N=k/A:-2+5+6/B:05-xx_xx/C:15_xx+xx/D:11+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
35925000 36925000 N^e-N+k=u/A:-1+6+5/B:05-xx_xx/C:15_xx+xx/D:11+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
36925000 37425000 e^N-k+u=r/A:0+7+4/B:15-xx_xx/C:11_xx+xx/D:10+7_2/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
37425000 38025000 N^k-u+r=a/A:0+7+4/B:15-xx_xx/C:11_xx+xx/D:10+7_2/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
38025000 38325000 k^u-r+a=i/A:1+8+3/B:15-xx_xx/C:11_xx+xx/D:10+7_2/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
38325000 39625000 u^r-a+i=d/A:1+8+3/B:15-xx_xx/C:11_xx+xx/D:10+7_2/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
39625000 40125000 r^a-i+d=a/A:2+9+2/B:15-xx_xx/C:11_xx+xx/D:10+7_2/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
40125000 40625000 a^i-d+a=sil/A:3+10+1/B:11-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
40625000 42025000 i^d-a+sil=xx/A:3+10+1/B:11-xx_xx/C:10_7+2/D:xx+xx_xx/E:4_3!0_xx-1/F:10_7#0_xx@5_1|23_10/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
42025000 43825000 d^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:10_7!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_32/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+5-32
