0 1125000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_4/K:3+7-29
17925000 18325000 sh^I-t+e=pau/A:0+2+1/B:20-4_1/C:12_xx+xx/D:02+xx_xx/E:8_5!0_xx-1/F:2_2#0_xx@2_1|9_2/G:5_2%0_xx_0/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
18325000 20225000 I^t-e+pau=f/A:0+2+1/B:20-4_1/C:12_xx+xx/D:02+xx_xx/E:8_5!0_xx-1/F:2_2#0_xx@2_1|9_2/G:5_2%0_xx_0/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
20225000 22025000 t^e-pau+f=o/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:2_10/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_15/K:3+7-29
22025000 22325000 e^pau-f+o=k/A:-1+1+5/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
22325000 23424999 pau^f-o+k=a/A:-1+1+5/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
23424999 23925000 f^o-k+a=cl/A:0+2+4/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
23925000 24825000 o^k-a+cl=ch/A:0+2+4/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
24825000 25425000 k^a-cl+ch=a/A:1+3+3/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
25425000 26125000 a^cl-ch+a=o/A:2+4+2/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
26125000 26925000 cl^ch-a+o=t/A:2+4+2/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
26925000 27725000 ch^a-o+t=a/A:3+5+1/B:02-xx_xx/C:13_xx+xx/D:20+3_0/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_15/G:4_2%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
27725000 28224999 a^o-t+a=b/A:-1+1+4/B:13-xx_xx/C:20_3+0/D:15+3_2/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
28224999 29025000 o^t-a+b=e/A:-1+1+4/B:13-xx_xx/C:20_3+0/D:15+3_2/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
29025000 29525000 t^a-b+e=r/A:0+2+3/B:13-xx_xx/C:20_3+0/D:15+3_2/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
29525000 30325000 a^b-e+r=e/A:0+2+3/B:13-xx_xx/C:20_3+0/D:15+3_2/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
30325000 30625000 b^e-r+e=r/A:1+3+2/B:20-3_0/C:15_3+2/D:02+xx_xx/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
30625000 31325000 e^r-e+r=u/A:1+3+2/B:20-3_0/C:15_3+2/D:02+xx_xx/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
31325000 31825000 r^e-r+u=b/A:2+4+1/B:20-3_0/C:15_3+2/D:02+xx_xx/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
31825000 32125000 e^r-u+b=a/A:2+4+1/B:20-3_0/C:15_3+2/D:02+xx_xx/E:5_2!0_xx-1/F:4_2#0_xx@2_3|6_10/G:4_4%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
32125000 32825000 r^u-b+a=sh/A:-3+1+4/B:15-3_2/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
32825000 33424999 u^b-a+sh=o/A:-3+1+4/B:15-3_2/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
33424999 34625000 b^a-sh+o=d/A:-2+2+3/B:15-3_2/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
34625000 34925000 a^sh-o+d=e/A:-2+2+3/B:15-3_2/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
34925000 35425000 sh^o-d+e=m/A:-1+3+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
35425000 35925000 o^d-e+m=o/A:-1+3+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
35925000 37025000 d^e-m+o=a/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:20+1_2/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
37025000 37625000 e^m-o+a=r/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:20+1_2/E:4_2!0_xx-1/F:4_4#0_xx@3_2|10_6/G:2_1%0_xx_1/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
37625000 38625000 m^o-a+r=u/A:0+1+2/B:24-xx_xx/C:20_1+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@4_1|14_2/G:xx_xx%xx_xx_xx/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
38625000 39025000 o^a-r+u=sil/A:1+2+1/B:24-xx_xx/C:20_1+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@4_1|14_2/G:xx_xx%xx_xx_xx/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
39025000 40125000 a^r-u+sil=xx/A:1+2+1/B:24-xx_xx/C:20_1+2/D:xx+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@4_1|14_2/G:xx_xx%xx_xx_xx/H:2_10/I:4-15@3+1&4-4|15+15/J:xx_xx/K:3+7-29
40125000 42325000 r^u-sil+xx=xx/A:xx+xx+xx/B:20-1_2/C:xx_xx+xx/D:xx+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:4_15/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:3+7-29
