0 1525000 xx^xx-sil+d=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_17/K:1+5-17
12225000 12525000 a^ch-i+t=o/A:0+2+2/B:06-xx_xx/C:06_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@3_3|8_10/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
12525000 13125000 ch^i-t+o=o/A:1+3+1/B:06-xx_xx/C:23_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@3_3|8_10/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
13125000 13825000 i^t-o+o=t/A:1+3+1/B:06-xx_xx/C:23_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@3_3|8_10/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
13825000 14825000 t^o-o+t=o/A:-1+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@4_2|11_7/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
14825000 15525000 o^o-t+o=g/A:0+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@4_2|11_7/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
15525000 16125000 o^t-o+g=a/A:0+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@4_2|11_7/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
16125000 16525000 t^o-g+a=k/A:1+3+1/B:02-xx_xx/C:13_xx+xx/D:20+3_2/E:3_2!0_xx-1/F:3_2#0_xx@4_2|11_7/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
16525000 17225000 o^g-a+k=I/A:1+3+1/B:02-xx_xx/C:13_xx+xx/D:20+3_2/E:3_2!0_xx-1/F:3_2#0_xx@4_2|11_7/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
17225000 18325000 g^a-k+I=k/A:-3+1+4/B:13-xx_xx/C:20_3+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@5_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
18325000 18625000 a^k-I+k=o/A:-3+1+4/B:13-xx_xx/C:20_3+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@5_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
18625000 19225000 k^I-k+o=e/A:-2+2+3/B:13-xx_xx/C:20_3+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@5_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
19225000 20425000 I^k-o+e=r/A:-2+2+3/B:13-xx_xx/C:20_3+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@5_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
20425000 21025000 k^o-e+r=u/A:-1+3+2/B:13-xx_xx/C:20_3+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@5_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
21025000 21525000 o^e-r+u=sil/A:0+4+1/B:13-xx_xx/C:20_3+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@5_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
21525000 22825000 e^r-u+sil=xx/A:0+4+1/B:13-xx_xx/C:20_3+2/D:xx+xx_xx/E:3_2!0_xx-1/F:4_4#0_xx@5_1|14_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
22825000 24225000 r^u-sil+xx=xx/A:xx+xx+xx/B:20-3_2/C:xx_xx+xx/D:xx+xx_xx/E:4_4!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:5_17/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+5-17
