0 1724999 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_23/K:1+6-23
8425000 9125000 o^b-a+n=i/A:0+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
9125000 10425000 b^a-n+i=i/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
10425000 11325000 a^n-i+i=cl/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
11325000 12325000 n^i-i+cl=sh/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:19+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@3_4|8_16/G:4_4%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
12325000 12625000 i^i-cl+sh=U/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:19+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@3_4|8_16/G:4_4%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
12625000 13925000 i^cl-sh+U=f/A:2+3+1/B:13-xx_xx/C:02_xx+xx/D:19+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@3_4|8_16/G:4_4%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
13925000 14524999 cl^sh-U+f=u/A:2+3+1/B:13-xx_xx/C:02_xx+xx/D:19+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@3_4|8_16/G:4_4%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
14524999 15025000 sh^U-f+u=sh/A:-3+1+4/B:02-xx_xx/C:19_xx+xx/D:10+7_3/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
15025000 15325000 U^f-u+sh=i/A:-3+1+4/B:02-xx_xx/C:19_xx+xx/D:10+7_3/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
15325000 16325000 f^u-sh+i=g/A:-2+2+3/B:02-xx_xx/C:19_xx+xx/D:10+7_3/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
16325000 16625000 u^sh-i+g=i/A:-2+2+3/B:02-xx_xx/C:19_xx+xx/D:10+7_3/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
16625000 17025000 sh^i-g+i=n/A:-1+3+2/B:02-xx_xx/C:19_xx+xx/D:10+7_3/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
17025000 17725000 i^g-i+n=a/A:-1+3+2/B:02-xx_xx/C:19_xx+xx/D:10+7_3/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
17725000 18125000 g^i-n+a=k/A:0+4+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
18125000 18825000 i^n-a+k=a/A:0+4+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:3_1!0_xx-1/F:4_4#0_xx@4_3|11_13/G:5_5%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
18825000 19525000 n^a-k+a=N/A:-4+1+5/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
19525000 19925000 a^k-a+N=k/A:-4+1+5/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
19925000 20724999 k^a-N+k=a/A:-3+2+4/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
20724999 21325000 a^N-k+a=k/A:-2+3+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
21325000 22025000 N^k-a+k=u/A:-2+3+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
22025000 22725000 k^a-k+u=o/A:-1+4+2/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
22725000 23025000 a^k-u+o=o/A:-1+4+2/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
23025000 23424999 k^u-o+o=b/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:4_4!0_xx-1/F:5_5#0_xx@5_2|15_9/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
23424999 24525000 u^o-o+b=o/A:-2+1+4/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|20_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
24525000 24925000 o^o-b+o=e/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|20_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
24925000 25625000 o^b-o+e=t/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|20_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
25625000 26125000 b^o-e+t=a/A:0+3+2/B:13-xx_xx/C:20_3+1/D:10+7_2/E:5_5!0_xx-1/F:4_3#0_xx@6_1|20_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
26125000 27325000 o^e-t+a=sil/A:1+4+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_3#0_xx@6_1|20_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
27325000 28625000 e^t-a+sil=xx/A:1+4+1/B:20-3_1/C:10_7+2/D:xx+xx_xx/E:5_5!0_xx-1/F:4_3#0_xx@6_1|20_4/G:xx_xx%xx_xx_xx/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
28625000 31025000 t^a-sil+xx=xx/A:xx+xx+xx/B:10-7_2/C:xx_xx+xx/D:xx+xx_xx/E:4_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:xx_xx%xx_xx_xx/H:6_23/I:xx-xx@xx+xx&xx-xx|xx+xx/J:xx_xx/K:1+6-23
